日期,場次,名次,馬場/跑道/賽道,途程,場地狀況,賽事班次,檔位,騎師,實際負磅,沿途走位,完成時間,該仗步速,第一名,第二名,第三名,該仗末段
2024-06-02,717,05,"沙田草地""B""",1200,好,3,2,希威森,122,6 7 5,1.08.99,46.11,競駿先鋒,多利彩駒,星際快車,22.48
2024-06-23,772,10,"沙田草地""A""",1400,好,3,5,希威森,119,2 3 3 10,1.23.45,57.81,球星,同樣美麗,大浪圖田,25.44
2024-07-14,831,05,"沙田草地""A""",1400,好,3,11,巴度,119,13 13 11 5,1.22.07,58.24,手機錶霸,同樣美麗,盈妍威楓,23.07
2024-09-28,064,06,"沙田草地""C""",1400,好,3,8,巴度,119,1 4 3 6,1.22.16,58.22,盈妍威楓,風繼續吹,非凡之星,23.7
2024-10-13,097,03,"沙田草地""A+3""",1200,好/快,4,7,潘頓,135,5 3 3,1.09.42,46.54,佳運發,勇冠群英,富國兄弟,22.6
2024-11-03,151,11,"沙田草地""C+3""",1400,好/快,4,4,巴度,135,6 3 4 11,1.22.58,58.64,勇冠群英,皇仁歡星,但求開心,23.7
2024-12-11,252,03,"跑馬地草地""B""",1200,好,4,11,貝知仁,132,6 3 3,1.10.24,46.29,美麗之光,電訊龍駒,富國兄弟,23.71
2025-01-01,309,12,"沙田草地""C""",1200,好,4,4,貝知仁,131,5 3 12,1.11.73,46.59,膨才,旺旺快駒,金創福威,25.1
2025-04-13,582,06,"沙田草地""C""",1000,好,4,9,潘頓,133,7 5 6,0.56.92,33.98,勝萬金,展雄威,鼓浪高升,22.7
2025-05-21,693,01,"跑馬地草地""C""",1200,好/快,4,3,蔡明紹,135,3 3 1,1.09.93,46.49,富國兄弟,燭光晚餐,天下寵兒,23.04
2025-07-16,847,04,"跑馬地草地""B""",1200,好/快,3,10,蔡明紹,118,7 5 4,1.09.26,45.43,至尊瑰寶,勇霸龍,維港激流,23.39
2025-09-10,018,04,"跑馬地草地""A""",1200,好,3,7,蔡明紹,118,5 7 4,1.10.30,46.29,勇霸龍,至尊瑰寶,佛亮老撾,23.57
2025-10-08,083,09,"跑馬地草地""C+3""",1200,好/快,3,9,蔡明紹,121,9 9 9,1.09.82,46.39,至尊瑰寶,快搏,魅力寶駒,22.91
2025-10-15,102,05,"跑馬地草地""A""",1200,好/快,3,2,蔡明紹,118,5 7 5,1.09.84,45.74,安康萬里,風雲武士,幸運星球,23.46
2025-11-09,168,01,"沙田草地""C+3""",1400,好,3,10,蔡明紹,115,1 2 2 1,1.22.93,59.87,富國兄弟,鑽石星空,小鳥天堂,22.86
2025-12-10,251,04,"跑馬地草地""A""",1650,好,3,1,杜苑欣,124,2 4 3 4,1.40.34,1:15.99,銀亮奔騰,非凡豪傑,勁沙塵,23.91
2026-01-14,349,03,"跑馬地草地""B""",1650,好,3,11,蔡明紹,119,1 1 1 3,1.40.83,1:17.51,勁沙塵,銀亮奔騰,富國兄弟,23.32
2026-02-01,404,08,"沙田草地""B+2""",1400,好,3,7,巴度,119,2 2 2 8,1.21.88,58.30,綠野飛馳,韋金主,新力好,23.46
