馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好,1200,428,18/02/2024,02,好精神,2,2,2,46.13,47.09,47.09,22.59,-46.76,69.68,0.33,7 7 2,飲杯,好精神,志勝時機,田泰安,艾兆禮,4,127,130
ST,grass,好,1200,508,16/03/2024,08,好精神,2,2,11,46.25,46.65,46.65,23.39,-45.96,70.04,0.69,5 5 8,快狠準,佳運發,新力,田泰安,艾兆禮,4,129,130
ST,grass,好/快,1400,580,14/04/2024,06,好精神,2,2,4,58.3,58.82,-9.73,23.51,10.06,82.33,0.33,8 7 8 6,金勝名駒,翹峯,競駿天下,田泰安,艾兆禮,4,129,130
ST,grass,好,1200,678,19/05/2024,10,好精神,2,2,11,45.79,46.91,46.91,23.34,-46.01,70.25,0.9,8 8 10,輝煌精英,鑽石星空,獎金大少,希威森,艾兆禮,4,126,130
ST,grass,好/快,1400,766,23/06/2024,06,好精神,2,2,10,58.96,60.2,-8.35,22.24,8.79,82.44,0.44,10 9 9 6,綠族光芒,勇霸龍,遙遙領先,潘明輝,艾兆禮,4,122,130
ST,grass,好,1400,827,14/07/2024,05,好精神,2,2,1,58.81,59.29,-9.26,23.15,9.7,82.44,0.44,4 5 6 5,遙遙領先,翹峯,聚風雲,潘明輝,艾兆禮,4,121,130
ST,grass,好/快,1200,067,01/10/2024,01,好精神,2,2,2,45.66,46.34,46.34,22.74,-46.61,69.08,-0.27,6 6 1,好精神,帥帥友福,城中勇士,潘明輝,艾兆禮,4,121,130
ST,grass,好/快,1200,148,03/11/2024,03,好精神,2,2,1,45.76,46.4,46.4,22.8,-46.55,69.2,-0.15,5 5 3,增強,包裝福星,好精神,潘明輝,艾兆禮,4,125,130
ST,grass,好,1200,204,24/11/2024,05,好精神,2,2,6,45.93,46.73,46.73,23.06,-46.29,69.79,0.44,10 8 5,康樂高球,天賜喜,帥帥友福,潘明輝,艾兆禮,4,125,130
ST,grass,好,1400,300,29/12/2024,09,好精神,2,2,3,58.62,59.18,-9.37,23.65,10.2,82.83,0.83,10 9 10 9,安泰,紫荊拼搏,滿心星,潘明輝,艾兆禮,4,126,130
ST,grass,好,1200,356,19/01/2025,07,好精神,2,2,8,46.66,47.62,47.62,22.56,-46.79,70.18,0.83,10 11 7,熾烈神駒,喜尊龍,智勝攻略,潘明輝,艾兆禮,4,127,130
HV,grass,好,1200,400,05/02/2025,03,好精神,2,2,8,45.98,46.74,46.74,23.35,-46.55,70.09,0.19,8 7 3,光輝所願,飛黃,好精神,潘明輝,艾兆禮,4,123,130
HV,grass,好/快,1200,498,12/03/2025,01,好精神,2,2,7,46.16,46.76,46.76,23.31,-46.59,70.07,0.17,7 8 1,好精神,電玩精英,競馬一心,艾兆禮,艾兆禮,4,123,130
HV,grass,好/快,1200,599,16/04/2025,04,好精神,2,2,6,46.17,47.21,47.21,23.18,-46.72,70.39,0.49,7 7 4,幸運星球,有鴻利,首駿,艾兆禮,艾兆禮,4,130,130
HV,grass,好/快,1200,675,14/05/2025,10,好精神,2,2,6,46.77,47.33,47.33,23.37,-46.53,70.7,0.8,8 8 10,千杯敬典,星火燎原,洛河,艾兆禮,艾兆禮,4,129,130
HV,grass,好/快,1650,751,11/06/2025,07,好精神,2,2,9,74.52,75.6,3.5,24.52,-3.48,100.12,0.02,10 10 10 7,川河首駒,至旺財,好好紛,艾兆禮,艾兆禮,4,130,130
HV,grass,好,1200,017,10/09/2025,08,好精神,2,2,3,46.97,47.21,47.21,23.49,-46.41,70.7,0.8,5 5 8,天外迎天,東來欣賞,一生好彩,潘明輝,艾兆禮,4,128,130
ST,grass,好/快,1200,057,01/10/2025,04,好精神,2,2,13,45.59,46.99,46.99,22.56,-46.79,69.55,0.2,14 10 4,錶之極光,金風萬里,賢心星,艾兆禮,艾兆禮,4,128,130
ST,grass,好,1200,165,09/11/2025,02,好精神,2,2,11,46.58,47.06,47.06,23.18,-46.17,70.24,0.89,10 8 2,弦力寶,好精神,加州本事,杜苑欣,艾兆禮,4,124,130
ST,grass,好,1200,277,20/12/2025,04,好精神,2,2,4,46.35,46.99,46.99,22.56,-46.79,69.55,0.2,7 6 4,會當凌,葳莉非凡,實力加,杜苑欣,艾兆禮,4,124,130
HV,grass,好,1200,350,14/01/2026,03,好精神,2,2,7,45.33,46.73,46.73,23.16,-46.74,69.89,-0.01,9 7 3,紅錢到,花好月盈,好精神,艾兆禮,艾兆禮,4,126,130
