馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好,1000,782,01/07/2024,08,天下寵兒,7,6,13,33.34,34.38,34.38,22.23,-34.42,56.61,-0.04,13 13 8,最好玩,多彩多姿,不可擋,何澤堯,紀仁安,4,128,129
ST,grass,好/快,1200,097,13/10/2024,12,天下寵兒,7,6,8,46.54,46.86,46.86,23.34,-46.01,70.2,0.85,3 5 12,佳運發,勇冠群英,富國兄弟,何澤堯,紀仁安,4,127,129
HV,grass,好,1200,144,30/10/2024,10,天下寵兒,7,6,12,47.03,47.39,47.39,23.57,-46.33,70.96,1.06,4 4 10,凱旋升,飛雲,快樂奇兵,何澤堯,紀仁安,4,126,129
HV,grass,好/黏,1200,198,20/11/2024,12,天下寵兒,7,6,6,45.99,46.35,46.35,25.42,-44.48,71.77,1.87,4 5 12,怡昌精神,電訊龍駒,辣得駕勢,何澤堯,紀仁安,4,126,129
ST,grass,好,1000,262,15/12/2024,08,天下寵兒,7,6,4,33.93,34.45,34.45,22.46,-34.19,56.91,0.26,8 9 8,鴻圖新星,綫路盈樂,攻頂,田泰安,紀仁安,4,121,129
ST,grass,好,1200,321,05/01/2025,03,天下寵兒,7,6,7,46.15,46.35,46.35,23.12,-46.23,69.47,0.12,3 4 3,康樂高球,勝多多,天下寵兒,田泰安,紀仁安,4,119,129
ST,grass,好,1200,357,19/01/2025,07,天下寵兒,7,6,9,46.71,46.71,46.71,23.39,-45.96,70.1,0.75,1 1 7,天賜喜,天外迎天,飛躍成就,田泰安,紀仁安,4,119,129
ST,grass,好,1200,412,09/02/2025,02,天下寵兒,7,6,11,46.08,46.76,46.76,22.51,-46.84,69.27,-0.08,11 10 2,閃光燈,天下寵兒,巧眼光,田泰安,紀仁安,4,119,129
ST,grass,好,1200,469,02/03/2025,02,天下寵兒,7,6,6,46.75,46.95,46.95,22.17,-47.18,69.12,-0.23,3 3 2,極速贏,天下寵兒,鼓浪高升,田泰安,紀仁安,4,121,129
ST,grass,好,1200,545,30/03/2025,02,天下寵兒,7,6,1,46.76,46.96,46.96,22.75,-46.6,69.71,0.36,3 2 2,寶進,天下寵兒,快活英雄,田泰安,紀仁安,4,122,129
HV,grass,好/快,1200,598,16/04/2025,05,天下寵兒,7,6,7,46.11,46.71,46.71,23.46,-46.44,70.17,0.27,6 7 5,決一劍,光輝所願,洛河,潘頓,紀仁安,4,123,129
HV,grass,好/快,1200,635,30/04/2025,01,天下寵兒,7,6,8,45.83,46.15,46.15,23.2,-46.7,69.35,-0.55,2 2 1,天下寵兒,快搏,鄉村樂韻,潘頓,紀仁安,4,122,129
HV,grass,好/快,1200,693,21/05/2025,03,天下寵兒,7,6,6,46.49,46.69,46.69,23.39,-46.51,70.08,0.18,2 2 3,富國兄弟,燭光晚餐,天下寵兒,潘頓,紀仁安,4,130,129
HV,grass,好/黏,1200,732,04/06/2025,08,天下寵兒,7,6,6,47.4,47.72,47.72,24.3,-45.6,72.02,2.12,3 5 8,金駿星,智勝攻略,勇威神駒,艾兆禮,紀仁安,4,128,129
ST,grass,好/黏,1200,007,07/09/2025,10,天下寵兒,7,6,1,46.22,46.5,46.5,23.62,-45.73,70.12,0.77,5 4 10,高感,凱旋王者,魅力知福,霍宏聲,紀仁安,4,131,129
HV,grass,好/快,1200,078,08/10/2025,11,天下寵兒,7,6,6,45.96,46.8,46.8,23.62,-46.28,70.42,0.52,9 10 11,渡月橋,銀刺勇士,獵寶勤,何澤堯,紀仁安,4,131,129
ST,dirt,好,1200,137,30/10/2025,07,天下寵兒,7,6,1,46.26,46.9,46.9,23.91,-45.04,70.81,1.86,9 8 7,星火燎原,運來伍寶,金多囍,周俊樂,紀仁安,4,127,129
HV,grass,好,1000,193,19/11/2025,03,天下寵兒,7,6,1,33.89,34.29,34.29,23.4,-33.8,57.69,0.49,6 5 3,飛龍在天,品德寶寶,天下寵兒,周俊樂,紀仁安,4,123,129
HV,grass,好,1200,268,17/12/2025,02,天下寵兒,7,6,6,46.62,46.7,46.7,23.37,-46.53,70.07,0.17,2 2 2,閃電星福,天下寵兒,比特星,周俊樂,紀仁安,4,124,129
HV,grass,好,1200,326,07/01/2026,04,天下寵兒,7,6,2,46.12,46.28,46.28,23.69,-46.21,69.97,0.07,3 3 4,福星小子,多多好馬,電玩精英,周俊樂,紀仁安,4,124,129
