馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好/快,1400,364,19/01/2025,04,新意馬,5,5,3,58.89,58.97,-9.23,22.99,9.54,81.96,0.31,1 3 3 4,有目共賞,信心星,實力派,希威森,希威森,3,119,122
ST,dirt,濕慢,1650,426,12/02/2025,03,新意馬,5,5,5,75.3,75.3,4.6,26.26,-1.64,101.56,2.96,2 1 1 3,天威,堅闖,新意馬,蔡明紹,希威森,3,116,122
HV,grass,好,1650,446,19/02/2025,07,新意馬,5,5,7,75.63,75.63,3.68,24.61,-3.34,100.24,0.34,1 1 1 7,博望坡,勁好運,太陽勇士,希威森,希威森,3,121,122
ST,dirt,好,1650,541,26/03/2025,04,新意馬,5,5,4,74.94,75.18,4.48,23.36,-4.54,98.54,-0.06,2 2 2 4,電訊巴打,天威,勝意,蔡明紹,希威森,3,115,122
ST,grass,好/快,1400,610,20/04/2025,13,新意馬,5,5,8,58.21,58.21,-9.99,23.77,10.32,81.98,0.33,1 2 1 13,南區之星,至尊高超,紫荊歡呼,希威森,希威森,3,122,122
ST,grass,好,1400,666,10/05/2025,06,新意馬,5,5,5,58.97,58.97,-9.23,23.18,9.73,82.15,0.5,1 1 1 6,光年魅力,至尊高超,自力更生,希威森,希威森,3,118,122
ST,dirt,好,1650,720,31/05/2025,01,新意馬,5,5,14,76.88,76.88,5.78,23.65,-4.3,100.53,1.48,1 1 1 1,新意馬,天時明駒,大利好運,希威森,希威森,4,135,122
ST,dirt,濕慢,1650,796,28/06/2025,03,新意馬,5,5,7,74.39,74.43,3.73,24.47,-3.43,98.9,0.3,1 2 2 3,艾莉奧,智跑得,新意馬,班德禮,希威森,3,126,122
ST,dirt,濕慢,1650,044,21/09/2025,03,新意馬,5,5,11,74.57,74.57,3.87,24.82,-3.08,99.39,0.79,1 1 1 3,智跑得,安泰,新意馬,希威森,希威森,3,125,122
ST,dirt,濕慢,1200,092,12/10/2025,05,新意馬,5,5,4,45.24,45.6,45.6,23.9,-44.65,69.5,0.95,3 5 5,勁先生,熾烈神駒,日馳千里,希威森,希威森,3,122,122
ST,dirt,好,1650,140,30/10/2025,01,新意馬,5,5,13,75.27,75.27,4.57,24.32,-3.58,99.59,0.99,2 2 1 1,新意馬,智跑得,艾莉奧,希威森,希威森,3,118,122
ST,dirt,好,1650,243,07/12/2025,04,新意馬,5,5,3,74.26,74.26,3.56,24.28,-3.62,98.54,-0.06,2 2 1 4,不同世界,堅有利,凱明神駒,希威森,希威森,3,135,122
ST,dirt,好,1650,301,27/12/2025,01,新意馬,5,5,6,75.58,75.58,4.88,23.5,-4.4,99.08,0.48,1 1 1 1,新意馬,時時精準,不同世界,希威森,希威森,3,135,122
ST,dirt,好,1650,368,21/01/2026,01,新意馬,5,5,5,75.5,75.5,5.0,22.75,-5.15,98.25,-0.15,1 1 1 1,新意馬,華麗再勝,精英雄心,艾兆禮,希威森,2,120,122
