日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-15,ST,grass,好,1200,084,03,鈦易搵,4,6,4,45.91,46.55,-0.35,22.81,0.36,69.36,0.01,7 5 3,我為您,嘉應勇士,鈦易搵,布文,黃智弘 (-5),4,134,123
2023-12-06,HV,grass,好,1200,230,02,鈦易搵,4,6,2,46.46,46.78,-0.27,23.52,0.97,70.3,0.7,4 4 2,好友心得,鈦易搵,旋風飛影,潘頓,黃智弘 (-5),3,124,123
2024-01-01,ST,grass,好,1400,304,06,鈦易搵,4,6,14,59.33,59.65,1.15,23.49,0.34,83.14,1.49,6 7 5 6,朗朗乾坤,魅力知遇,滿歡笑,何澤堯,黃智弘 (-5),3,124,123
2024-03-06,HV,grass,好,1200,481,02,鈦易搵,4,6,1,46.1,46.1,-0.95,23.99,1.44,70.09,0.49,2 1 2,寰宇豐采,鈦易搵,金發盛世,黃智弘,黃智弘 (-5),3,116,123
2024-03-31,ST,grass,好,1200,550,03,鈦易搵,4,6,5,46.6,46.88,0.23,22.84,0.49,69.72,0.72,5 4 3,占士德,樂滿貫,鈦易搵,黃智弘,黃智弘 (-5),3,113,123
2024-04-17,HV,grass,好,1200,593,01,鈦易搵,4,6,8,47.19,47.95,0.9,22.23,-0.32,70.18,0.58,8 8 1,鈦易搵,撼天鐵翼,迎樂,黃智弘,黃智弘 (-5),3,114,123
2024-05-01,HV,grass,好/黏,1200,635,04,鈦易搵,4,6,11,45.88,47.2,0.15,23.39,0.84,70.59,0.99,11 11 4,顏色大皇,太陽拍檔,加州德至,黃智弘,黃智弘 (-5),3,120,123
2024-06-05,HV,grass,好/黏,1200,730,03,鈦易搵,4,6,12,45.54,47.26,0.21,23.38,0.83,70.64,1.04,11 12 3,天足貓,家樂龍駒,鈦易搵,布文,黃智弘 (-5),3,133,123
2024-06-26,HV,grass,好,1200,781,04,鈦易搵,4,6,3,46.06,46.3,-0.75,23.7,1.15,70.0,0.4,3 3 4,家樂龍駒,嘉應喝彩,皇帝英明,布文,黃智弘 (-5),3,135,123
2024-09-08,ST,grass,好,1200,010,14,鈦易搵,4,6,6,46.17,46.93,0.28,22.66,0.31,69.59,0.59,13 10 14,華麗再勝,輝煌精英,旭日昇,黃智弘,黃智弘 (-5),3,124,123
2024-09-18,HV,grass,好,1200,035,05,鈦易搵,4,6,4,46.4,47.04,-0.01,23.23,0.68,70.27,0.67,8 7 5,勇敢巨星,添開心,競駿非凡,布文,黃智弘 (-5),3,135,123
2024-10-01,ST,grass,好/快,1200,073,05,鈦易搵,4,6,5,46.52,47.08,0.43,23.12,0.77,70.2,1.2,9 9 5,包裝猛將,輝煌精英,祝願,黃智弘,黃智弘 (-5),3,125,123
2024-12-15,ST,grass,好,1400,266,02,鈦易搵,4,6,11,58.9,59.46,0.96,22.18,-0.97,81.64,-0.01,13 13 11 2,飛輪步,鈦易搵,大浪圖田,何澤堯,黃智弘 (-5),3,128,123
2025-01-05,ST,grass,好,1400,327,02,鈦易搵,4,6,7,60.28,60.68,2.18,21.81,-1.34,82.49,0.84,8 8 7 2,包裝福星,鈦易搵,有目共賞,何澤堯,黃智弘 (-5),3,129,123
2025-01-31,ST,grass,好,1400,397,13,鈦易搵,4,6,13,58.27,58.47,-0.03,24.58,1.43,83.05,1.4,9 3 3 13,包裝福星,不同世界,穿甲戰鷹,黃智弘,黃智弘 (-5),3,127,123
2025-03-15,ST,grass,好/黏,1400,513,05,鈦易搵,4,6,3,58.57,58.85,0.35,23.86,0.71,82.71,1.06,7 7 5 5,至尊高超,光年八十,瑪瑙,霍宏聲,黃智弘 (-5),3,133,123
2025-04-02,HV,grass,好/快,1200,561,01,鈦易搵,4,6,4,46.55,47.03,-0.02,22.28,-0.27,69.31,-0.29,5 6 1,鈦易搵,天足貓,樂勝天下,艾兆禮,黃智弘 (-5),3,133,123
