馬場/跑道/賽道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
"沙田草地""B+2""",好,1400,317,07/01/2024,04,先到先得,7,12,4,59.07,59.71,-8.84,23.09,9.64,82.8,0.8,6 6 5 4,紫荊綻放,大數據,加州動員,艾道拿,艾道拿,4,127,124
"沙田草地""A""",好,1400,355,21/01/2024,09,先到先得,7,12,4,58.65,59.33,-9.22,23.65,10.2,82.98,0.98,9 8 9 9,巴閉仔,陽光勇士,電路九號,艾道拿,艾道拿,4,127,124
"跑馬地草地""C+3""",好,1800,441,21/02/2024,05,先到先得,7,12,7,85.39,85.83,-0.92,24.28,1.38,110.11,0.46,4 5 4 4 5,八駿笑昇,龍船快,家樂飛駒,艾道拿,艾道拿,4,129,124
"跑馬地草地""B""",好,1650,482,06/03/2024,11,先到先得,7,12,8,78.03,78.27,6.17,24.87,-3.13,103.14,3.04,4 2 2 11,武林至尊,蟲草之凰,獎星,梁家俊,艾道拿,4,124,124
"沙田草地""A""",好,1200,009,08/09/2024,07,先到先得,7,12,9,46.05,47.61,47.61,21.92,-47.43,69.53,0.18,12 12 7,連連有盈,哈羅威,增強,田泰安,艾道拿,4,121,124
"沙田草地""C""",好,1400,059,28/09/2024,05,先到先得,7,12,8,58.89,59.45,-9.1,22.93,9.48,82.38,0.38,11 11 10 5,堅闖,綠族威,勁先生,巴度,艾道拿,4,120,124
"沙田草地""C+3""",好/快,1400,151,03/11/2024,05,先到先得,7,12,5,58.64,59.28,-9.27,22.84,9.39,82.12,0.12,14 12 11 5,勇冠群英,皇仁歡星,但求開心,田泰安,艾道拿,4,119,124
"跑馬地草地""C""",好/黏,1650,194,20/11/2024,01,先到先得,7,12,1,75.11,75.67,3.57,24.0,-4.0,99.67,-0.43,7 7 6 1,先到先得,瀧澤飛駒,紅海勁,田泰安,艾道拿,4,118,124
"跑馬地草地""B""",好,1650,255,11/12/2024,08,先到先得,7,12,5,77.02,78.02,5.92,23.17,-4.83,101.19,1.09,8 10 10 8,寶成智星,錢多多,天天得樂,麥道朗,艾道拿,4,123,124
"跑馬地草地""C+3""",好,1650,293,26/12/2024,03,先到先得,7,12,3,75.97,76.41,4.31,23.83,-4.17,100.24,0.14,12 12 6 3,納百川,華美之威,先到先得,艾道拿,艾道拿,4,121,124
"跑馬地草地""B""",好,1650,349,15/01/2025,01,先到先得,7,12,1,76.02,76.34,4.24,23.77,-4.23,100.11,0.01,5 4 4 1,先到先得,勝意,北海盜,艾道拿,艾道拿,4,121,124
"跑馬地草地""A""",好,1800,403,05/02/2025,12,先到先得,7,12,8,85.48,86.56,-0.19,23.67,0.77,110.23,0.58,12 11 11 11 12,北海盜,皇仁福星,妙算奇勝,艾道拿,艾道拿,4,132,124
"跑馬地草地""C""",好,1650,463,26/02/2025,09,先到先得,7,12,8,76.9,78.18,6.08,22.91,-5.09,101.09,0.99,11 11 12 9,紅海勁,連連歡呼,寶成智星,艾道拿,艾道拿,4,129,124
"跑馬地草地""A""",好,1650,014,10/09/2025,05,先到先得,7,12,2,75.55,76.15,4.05,24.65,-3.35,100.8,0.7,8 8 8 5,極速滿貫,勁進駒,豐辰,田泰安,艾道拿,4,130,124
"跑馬地草地""C+3""",好/快,1650,077,08/10/2025,06,先到先得,7,12,12,76.24,76.92,4.82,23.43,-4.57,100.35,0.25,11 11 10 6,紅海勁,凝妙星,錶之量子,艾道拿,艾道拿,4,128,124
"跑馬地草地""B""",好,1650,118,22/10/2025,03,先到先得,7,12,2,74.78,75.54,3.44,24.26,-3.74,99.8,-0.3,6 6 6 3,勁好運,古惑大師,先到先得,潘頓,艾道拿,4,128,124
"跑馬地草地""A""",好/快,1650,173,12/11/2025,04,先到先得,7,12,9,76.03,76.43,4.33,24.17,-3.83,100.6,0.5,2 4 3 4,都靈勇士,獎星,論文,潘頓,艾道拿,4,128,124
"跑馬地草地""C""",好/快,1650,214,26/11/2025,03,先到先得,7,12,10,77.34,77.42,5.32,23.22,-4.78,100.64,0.54,2 2 2 3,凱明神駒,康昌之星,瑞祺威楓,麥道朗,艾道拿,4,126,124
"跑馬地草地""A""",好,1650,249,10/12/2025,11,先到先得,7,12,9,75.86,76.9,4.8,24.05,-3.95,100.95,0.85,9 10 10 11,相映紅,祥勝將軍,將義,李慕華,艾道拿,4,126,124
"跑馬地草地""A""",好,1650,329,07/01/2026,05,先到先得,7,12,5,77.68,78.24,6.14,23.34,-4.66,101.58,1.48,9 7 7 5,翠兒威威,隨緣得勝,加州活力,艾道拿,艾道拿,4,126,124
"跑馬地草地""C""",好/快,1650,389,28/01/2026,02,先到先得,7,12,6,74.24,75.36,3.26,23.83,-4.17,99.19,-0.91,8 7 7 2,佳登,先到先得,祥勝將軍,艾道拿,艾道拿,4,122,124
