日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-12-26,ST,grass,好,1600,288,09,客家之光,4,1,4,70.88,71.52,0.62,24.0,0.2,95.52,0.82,11 11 8 9,禪勝輝煌,港林福將,精算謀略,麥道朗,布文,3,128,130
2024-02-04,ST,grass,好,2000,392,11,客家之光,4,1,10,97.56,98.88,0.53,24.84,1.29,123.72,1.82,10 10 10 10 11,嘉應傳承,精算謀略,多多勇駒,霍宏聲,布文,3,122,130
2024-02-18,ST,grass,好,1800,435,10,客家之光,4,1,9,84.7,84.94,1.44,25.23,1.23,110.17,2.67,2 3 3 4 10,包裝旋風,極速奇兵,桃花雲,湯普新,布文,3,115,130
2024-03-10,ST,grass,好/黏,1600,493,13,客家之光,4,1,3,71.97,72.05,1.15,26.18,2.38,98.23,3.53,2 1 2 13,手到再來,明亮天下,時時稱心,蔡明紹,布文,3,122,130
2024-04-03,ST,dirt,好,1650,557,12,客家之光,4,1,8,75.34,75.5,0.25,24.7,0.9,100.2,1.15,4 4 4 12,年年友福,加非凡,城中勇士,希威森,布文,4,135,130
2024-04-20,ST,dirt,好,1650,602,11,客家之光,4,1,9,73.79,74.47,-0.78,24.66,0.86,99.13,0.08,6 6 6 11,加非凡,活力多多,快快盈,鍾易禮,布文,4,127,130
2024-06-23,ST,dirt,好,1650,764,10,客家之光,4,1,11,74.66,75.62,0.37,23.95,0.15,99.57,0.52,9 9 9 10,競駿光輝,縱橫大進,歡喜福星,鍾易禮,布文,4,125,130
2024-09-22,ST,dirt,濕慢,1650,037,05,客家之光,4,1,10,74.54,74.54,-0.71,25.15,1.35,99.69,0.64,1 1 1 5,歡樂老撾,歡喜福星,年年友福,梁家俊,布文,4,127,130
2024-10-06,ST,dirt,好,1650,077,02,客家之光,4,1,3,75.63,75.79,0.54,24.02,0.22,99.81,0.76,2 3 3 2,年年友福,客家之光,歡喜福星,梁家俊,布文,4,124,130
2024-10-23,ST,dirt,好,1650,123,03,客家之光,4,1,6,75.42,75.82,0.57,24.71,0.91,100.53,1.48,5 5 4 3,天威,歡喜福星,客家之光,梁家俊,布文,4,125,130
2024-11-13,HV,grass,好,1650,178,06,客家之光,4,1,3,75.45,75.85,0.0,24.59,0.34,100.44,0.34,4 4 4 6,天天得樂,歡喜福星,超勁寶寶,潘頓,布文,4,124,130
2024-11-27,HV,grass,好,2200,215,05,客家之光,4,1,12,112.5,113.18,0.43,23.53,-0.77,136.71,-0.34,12 10 11 11 11 5,亞福得寶,管之友,盈益善,周俊樂,布文,4,122,130
2024-12-18,ST,dirt,好,1650,273,05,客家之光,4,1,4,75.08,75.52,0.27,24.06,0.26,99.58,0.53,6 6 5 5,天威,一鹿歡騰,怪獸奇兵,梁家俊,布文,4,121,130
2025-01-05,ST,dirt,好,1800,322,07,客家之光,4,1,13,84.99,85.71,0.81,23.79,0.14,109.5,0.95,7 9 9 8 7,艾莉奧,一鹿歡騰,超眼光,潘頓,布文,4,120,130
2025-02-16,ST,grass,好/快,1800,432,04,客家之光,4,1,14,83.01,83.53,-0.12,23.43,-0.77,106.96,-0.89,9 9 10 9 4,發財秘笈,風火恆雲,一起美麗,艾兆禮,布文,4,119,130
2025-02-26,HV,grass,好,2200,458,02,客家之光,4,1,3,113.44,113.64,0.89,23.41,-0.89,137.05,0.0,2 3 3 3 2 2,八駿笑昇,客家之光,小飛俠,巴度,布文,4,117,130
2025-03-05,HV,grass,好,1800,481,05,客家之光,4,1,10,84.33,84.33,-0.97,25.16,0.81,109.49,-0.16,1 1 1 1 5,一起美麗,妙算奇勝,瀧澤飛駒,班德禮,布文,4,120,130
2025-04-16,HV,grass,好/快,2200,593,03,客家之光,4,1,6,112.51,112.59,-0.16,24.45,0.15,137.04,-0.01,4 4 4 6 3 3,管之友,幸運同行,八駿笑昇,艾兆禮,布文,4,119,130
2025-05-07,HV,grass,好,2200,652,02,客家之光,4,1,3,113.5,113.5,0.75,24.46,0.16,137.96,0.91,2 3 4 1 1 2,幸運同行,客家之光,管之友,艾兆禮,布文,4,119,130
2025-05-28,HV,grass,好/快,2200,710,06,客家之光,4,1,8,110.72,110.72,-2.03,25.73,1.43,136.45,-0.6,3 2 2 2 1 6,平海之星,幸運同行,夢照發,艾兆禮,布文,4,119,130
2025-06-14,ST,grass,好,1800,761,09,客家之光,4,1,7,83.7,84.06,0.41,24.45,0.25,108.51,0.66,4 4 4 4 9,竣誠駒,青春力量,蜜蜜送,艾兆禮,布文,4,117,130
2025-06-22,ST,grass,好,2000,768,05,客家之光,4,1,9,98.61,99.25,0.55,23.77,-0.18,123.02,0.37,3 5 5 7 5,皇金風速,步風雷,香港精神,艾兆禮,布文,5,133,130
2025-09-07,ST,grass,好,1600,002,11,客家之光,4,1,8,70.88,70.88,-0.72,24.91,1.06,95.79,0.34,1 1 1 11,桃花多,富裕君子,同寶寶,艾兆禮,布文,5,130,130
2025-09-21,ST,grass,黏,1800,037,01,客家之光,4,1,8,86.0,86.0,1.75,24.32,0.12,110.32,1.87,4 2 2 2 1,客家之光,星雲浩騰,駿彩飛馳,布文,布文,5,130,130
2025-10-08,HV,grass,好/快,1800,076,01,客家之光,4,1,4,85.1,85.3,-0.25,23.62,-0.78,108.92,-1.03,4 3 3 2 1,客家之光,步風雷,華美之威,布文,布文,5,135,130
2025-11-02,HV,grass,好/快,1800,146,01,客家之光,4,1,7,84.7,84.98,-0.32,24.08,-0.27,109.06,-0.59,3 4 4 4 1,客家之光,風起雲湧,蜜蜜送,潘頓,布文,4,123,130
2025-11-26,HV,grass,好/快,1800,212,05,客家之光,4,1,11,86.52,86.52,1.22,23.87,-0.48,110.39,0.74,1 1 1 1 5,蜜蜜送,架勢奇爸,多利神駒,布文,布文,4,129,130
2026-01-01,ST,grass,好,2000,307,05,客家之光,4,1,2,100.27,100.59,2.19,23.25,-0.7,123.84,1.49,5 5 5 3 5,耀昌勝世,風火恆雲,包裝旋風,布文,布文,4,128,130
