日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-10,ST,grass,好/黏,1400,010,07,寶賢得得,2,5,3,59.61,60.45,2.1,22.69,-0.41,83.14,1.69,6 8 8 7,中華盛景,紅愛舍,新力高升,黃智弘,霍宏聲,2,115,133
2023-09-20,HV,grass,好,1650,036,02,寶賢得得,2,5,1,75.23,75.87,0.37,23.52,-0.28,99.39,0.09,5 5 5 2,喜蓮勇感,寶賢得得,同舟共濟,楊明綸,霍宏聲,2,119,133
2023-10-25,ST,dirt,好,1650,117,09,寶賢得得,2,5,13,74.26,75.38,0.03,23.84,0.79,99.22,0.82,13 13 13 9,保羅承傳,禪勝寶駒,同舟共濟,楊明綸,霍宏聲,2,120,133
2023-11-19,ST,grass,好,1800,177,08,寶賢得得,2,5,8,86.83,87.19,3.24,22.76,-0.59,109.95,2.65,8 5 5 6 8,龍船狀元,飛輪閃耀,保羅承傳,楊明綸,霍宏聲,2,120,133
2023-12-06,HV,grass,好,1800,231,04,寶賢得得,2,5,5,85.95,86.47,1.52,23.39,-0.81,109.86,0.71,6 7 7 7 4,喜蓮勇感,勇猛神駒,桃花雲,楊明綸,霍宏聲,2,118,133
2024-01-24,ST,dirt,好,1650,362,08,寶賢得得,2,5,8,77.36,78.24,2.89,23.05,0.0,101.29,2.89,8 8 8 8,保羅承傳,敏捷神駒,一先生,希威森,霍宏聲,2,120,133
2024-10-30,HV,grass,好,1650,145,08,寶賢得得,2,5,10,75.75,76.79,1.14,23.57,-0.68,100.36,0.46,10 10 10 8,大千眼界,太陽勇士,勁好運,楊明綸,霍宏聲,3,134,133
2024-11-20,HV,grass,好/黏,1200,201,11,寶賢得得,2,5,11,46.2,47.84,0.79,23.04,0.49,70.88,1.28,12 12 11,得道猴王,伊臣,勇威神駒,黃智弘,霍宏聲,3,128,133
2024-12-11,HV,grass,好,1650,258,10,寶賢得得,2,5,10,77.16,78.12,2.47,23.13,-1.12,101.25,1.35,10 10 12 10,我做到,大學生,駟跑得,黃智弘,霍宏聲,3,123,133
2025-10-19,ST,grass,好/快,1400,112,11,寶賢得得,2,5,12,57.3,58.5,-0.0,23.33,0.18,81.83,0.18,13 14 14 11,駿奕快車,大眾福星,哈羅威,何澤堯,霍宏聲,3,122,133
2025-11-02,HV,grass,好/快,1650,150,10,寶賢得得,2,5,12,77.22,77.22,1.57,23.8,-0.45,101.02,1.12,11 11 1 10,我做到,蓮冠皇,泰泰精神,何澤堯,霍宏聲,3,121,133
2025-11-15,ST,dirt,好,1650,187,12,寶賢得得,2,5,13,75.38,76.22,1.37,23.84,0.09,100.06,1.46,11 10 11 12,將睿,皇龍飛將,堅有利,巴度,霍宏聲,3,120,133
2025-11-26,HV,grass,好/快,1800,212,07,寶賢得得,2,5,5,86.52,87.36,2.06,23.16,-1.19,110.52,0.87,10 9 9 9 7,蜜蜜送,架勢奇爸,多利神駒,黃智弘,霍宏聲,4,130,133
2025-12-03,HV,grass,好,2200,228,02,寶賢得得,2,5,11,111.12,111.52,-1.23,24.22,-0.08,135.74,-1.31,8 9 9 9 6 2,雙贏,寶賢得得,包裝旋風,布文,霍宏聲,4,132,133
2025-12-17,HV,grass,好,1800,269,06,寶賢得得,2,5,9,85.88,86.64,1.34,23.54,-0.81,110.18,0.53,8 8 8 8 6,競駿良駒,中國心,金駒永騰,布文,霍宏聲,4,133,133
2026-01-07,HV,grass,好,1650,329,10,寶賢得得,2,5,12,77.68,78.8,2.95,23.52,-0.73,102.32,2.22,12 12 12 10,翠兒威威,隨緣得勝,加州活力,黃智弘,霍宏聲,4,130,133
