日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-03-03,ST,grass,好,1200,469,07,歡樂老撾,11,2,6,46.18,47.1,0.45,22.99,0.64,70.09,1.09,11 11 7,多利彩駒,旋風飛影,縱橫萬里,董明朗,田泰安,3,118,119
2024-03-31,ST,grass,好,1200,550,05,歡樂老撾,11,2,2,46.6,47.0,0.35,23.14,0.79,70.14,1.14,6 5 5,占士德,樂滿貫,鈦易搵,董明朗,田泰安,3,118,119
2024-05-01,HV,grass,好/黏,1200,635,11,歡樂老撾,11,2,9,45.88,46.96,-0.09,25.84,3.29,72.8,3.2,9 8 11,顏色大皇,太陽拍檔,加州德至,艾兆禮,田泰安,3,116,119
2024-05-22,HV,grass,好,1200,688,12,歡樂老撾,11,2,8,46.47,47.39,0.19,24.5,1.8,71.89,1.99,7 9 12,精益大師,精選威,精妙星,巫顯東,田泰安,4,133,119
2024-06-08,ST,grass,好,1400,736,12,歡樂老撾,11,2,10,59.58,59.98,1.38,23.56,0.16,83.54,1.54,8 6 6 12,快樂高球,勇冠群英,時間寶,賀銘年,田泰安,4,135,119
2024-06-23,ST,dirt,好,1650,764,09,歡樂老撾,11,2,12,74.66,75.66,0.41,23.88,0.08,99.54,0.49,11 11 10 9,競駿光輝,縱橫大進,歡喜福星,巫顯東,田泰安,4,129,119
2024-09-22,ST,dirt,濕慢,1650,037,01,歡樂老撾,11,2,7,74.54,74.98,-0.27,24.24,0.44,99.22,0.17,4 5 5 1,歡樂老撾,歡喜福星,年年友福,潘明輝,田泰安,4,129,119
2024-10-06,ST,dirt,好,1650,077,05,歡樂老撾,11,2,10,75.63,75.71,0.46,24.89,1.09,100.6,1.55,3 2 2 5,年年友福,客家之光,歡喜福星,潘明輝,田泰安,4,132,119
2024-10-23,ST,dirt,好,1650,123,08,歡樂老撾,11,2,2,75.42,76.14,0.89,25.98,2.18,102.12,3.07,9 8 7 8,天威,歡喜福星,客家之光,布文,田泰安,4,134,119
2025-03-02,ST,dirt,好,1650,471,08,歡樂老撾,11,2,6,75.03,75.63,0.38,23.42,-0.38,99.05,0.0,8 8 7 8,有派頭,勝意,爆熱,梁家俊,田泰安,4,133,119
2025-04-09,HV,grass,好/快,1800,574,05,歡樂老撾,11,2,12,85.14,85.58,0.28,24.08,-0.27,109.66,0.01,5 6 6 7 5,香港神駒,獎星,風起雲湧,蔡明紹,田泰安,4,135,119
2025-04-16,HV,grass,好/快,2200,593,07,歡樂老撾,11,2,4,112.51,112.99,0.24,24.4,0.1,137.39,0.34,3 3 3 5 8 7,管之友,幸運同行,八駿笑昇,潘明輝,田泰安,4,133,119
2025-05-10,ST,dirt,好,1650,662,10,歡樂老撾,11,2,4,73.42,75.06,-0.19,25.35,1.55,100.41,1.36,7 6 7 10,飛騰騅,大利好運,天時明駒,奧爾民,田泰安,4,129,119
2025-06-04,HV,grass,好/黏,1800,729,07,歡樂老撾,11,2,4,86.47,86.67,1.37,25.12,0.77,111.79,2.14,1 2 3 4 7,三江飛輪,風起雲湧,架勢奇爸,蔡明紹,田泰安,4,127,119
2025-06-25,HV,grass,好/快,1650,784,08,歡樂老撾,11,2,1,76.24,76.68,0.83,23.7,-0.55,100.38,0.28,5 6 7 8,龍文鞭影,川河首駒,加州活力,蔡明紹,田泰安,4,125,119
2025-07-16,HV,grass,好/快,1800,842,04,歡樂老撾,11,2,9,84.23,85.11,-0.19,23.99,-0.36,109.1,-0.55,10 12 12 11 4,三江飛輪,美麗歡聲,奮鬥心,賀銘年,田泰安,4,124,119
2025-10-01,ST,grass,好/快,1800,060,07,歡樂老撾,11,2,10,82.93,83.57,-0.08,23.43,-0.77,107.0,-0.85,11 13 13 11 7,東方飛影,爆出美麗,雙贏,黃智弘,田泰安,4,117,119
2025-12-17,HV,grass,好,1800,269,11,歡樂老撾,11,2,4,85.88,86.12,0.82,24.58,0.23,110.7,1.05,2 3 3 3 11,競駿良駒,中國心,金駒永騰,田泰安,田泰安,4,121,119
2026-01-11,ST,grass,好/快,1800,339,14,歡樂老撾,11,2,10,83.35,83.59,-0.06,26.71,2.51,110.3,2.45,3 6 3 4 14,中國心,大千雄心,風火恆雲,田泰安,田泰安,4,121,119
