馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好,1200,298,01/01/2024,11,竣誠駒,10,9,11,46.53,47.85,47.85,23.34,-46.01,71.19,1.84,10 10 11,風雲武士,電訊龍駒,連連勝利,希威森,楊明綸,4,130,120
ST,grass,好,1400,429,18/02/2024,12,竣誠駒,10,9,1,58.47,59.51,-9.04,23.76,10.31,83.27,1.27,8 9 9 12,銳一,色種笑,金勝名駒,鍾易禮,楊明綸,4,122,120
ST,grass,好,1400,487,10/03/2024,10,竣誠駒,10,9,14,58.1,58.98,-9.57,24.87,11.42,83.85,1.85,6 6 8 10,友瑩仁,逐夢年代,大勢至富,艾道拿,楊明綸,4,125,120
ST,grass,好,1400,523,24/03/2024,14,竣誠駒,10,9,3,58.88,59.48,-9.07,23.53,10.08,83.01,1.01,8 6 7 14,獨步天下,綠族威,金勝名駒,湯普新,楊明綸,4,122,120
HV,grass,好,1650,613,24/04/2024,09,竣誠駒,10,9,6,77.29,78.65,6.55,23.92,-4.08,102.57,2.47,11 11 11 9,我做到,獎星,怪獸奇兵,湯普新,楊明綸,4,122,120
ST,grass,好,1800,679,19/05/2024,05,竣誠駒,10,9,12,83.15,83.75,-1.9,24.65,2.45,108.4,0.55,2 3 3 4 5,鐵三角,春風萬里,勤德威力,楊明綸,楊明綸,4,117,120
ST,grass,好,2000,712,02/06/2024,04,竣誠駒,10,9,11,97.34,97.98,-0.27,23.88,-0.52,121.86,-0.79,3 2 2 4 4,國大合,符號,上市魅力,鍾易禮,楊明綸,5,132,120
HV,grass,好,2200,773,26/06/2024,05,竣誠駒,10,9,4,111.94,112.1,0.15,24.12,-1.28,136.22,-1.13,2 2 2 2 2 5,符號,上市魅力,堅有利,艾道拿,楊明綸,5,134,120
ST,grass,好/黏,1600,001,08/09/2024,09,竣誠駒,10,9,9,71.13,71.97,1.07,24.05,-0.5,96.02,0.57,6 7 9 9,上市魅力,樂天派,富喜來,艾道拿,楊明綸,5,130,120
HV,grass,好,1800,047,25/09/2024,07,竣誠駒,10,9,9,85.84,86.52,-0.63,23.95,1.15,110.47,0.52,4 5 4 5 7,符號,果然得,贏科超影,鍾易禮,楊明綸,5,121,120
ST,grass,好/快,1800,075,06/10/2024,11,竣誠駒,10,9,1,83.72,84.4,-1.8,25.12,2.87,109.52,1.07,6 5 7 9 11,富喜來,果然得,永勝金駒,鍾易禮,楊明綸,5,123,120
ST,grass,好,1800,147,03/11/2024,01,竣誠駒,10,9,3,83.67,83.67,-2.53,24.6,2.35,108.27,-0.18,1 1 1 1 1,竣誠駒,永勝金駒,滿載歸來,楊明綸,楊明綸,5,125,120
HV,grass,好,2200,176,13/11/2024,01,竣誠駒,10,9,3,112.26,112.26,0.31,24.52,-0.88,136.78,-0.57,1 1 1 1 1 1,竣誠駒,神煞金剛,大登殿,楊明綸,楊明綸,5,130,120
HV,grass,好,1800,254,11/12/2024,08,竣誠駒,10,9,4,84.01,84.01,-2.74,25.23,2.33,109.24,-0.41,1 1 1 1 8,獎星,喜勝威龍,北海盜,楊明綸,楊明綸,4,120,120
ST,dirt,好,1800,322,05/01/2025,06,竣誠駒,10,9,9,84.99,85.35,-0.1,24.1,1.0,109.45,0.9,3 3 3 4 6,艾莉奧,一鹿歡騰,超眼光,楊明綸,楊明綸,4,117,120
HV,grass,好,1800,403,05/02/2025,06,竣誠駒,10,9,6,85.48,85.48,-1.27,24.48,1.58,109.96,0.31,1 1 1 1 6,北海盜,皇仁福星,妙算奇勝,楊明綸,楊明綸,4,120,120
ST,grass,好/快,1400,431,16/02/2025,02,竣誠駒,10,9,8,57.85,58.17,-10.38,23.3,9.85,81.47,-0.53,2 3 3 2,勇冠群英,竣誠駒,快樂老撾,湯普新,楊明綸,4,116,120
ST,grass,好/快,1600,488,09/03/2025,08,竣誠駒,10,9,13,70.77,70.77,0.37,24.24,-0.26,95.01,0.11,1 1 1 8,昭易搵,凱旋幸運,聚風雲,楊明綸,楊明綸,4,118,120
ST,grass,好/快,1400,526,23/03/2025,09,竣誠駒,10,9,5,57.91,58.19,-10.36,24.01,10.56,82.2,0.2,3 3 4 9,深心星,哈羅威,泰泰精神,湯普新,楊明綸,4,118,120
HV,grass,好/快,1650,578,09/04/2025,10,竣誠駒,10,9,2,75.08,75.28,3.18,24.78,-3.22,100.06,-0.04,2 2 3 10,領航天子,錶之量子,追風,楊明綸,楊明綸,4,116,120
HV,grass,好,1800,612,23/04/2025,10,竣誠駒,10,9,1,85.65,86.09,-1.06,24.87,2.07,110.96,1.01,3 3 3 4 10,皮具大師,同寶寶,凱旋七福,湯普新,楊明綸,5,134,120
HV,grass,好/快,1800,669,14/05/2025,01,竣誠駒,10,9,7,84.68,84.68,-2.47,24.26,1.46,108.94,-1.01,1 1 1 1 1,竣誠駒,金德義,皮具大師,楊明綸,楊明綸,5,132,120
HV,grass,好/快,2200,710,28/05/2025,07,竣誠駒,10,9,6,110.72,111.24,-0.56,25.25,0.0,136.49,-0.56,6 7 8 8 7 7,平海之星,幸運同行,夢照發,鍾易禮,楊明綸,4,117,120
ST,grass,好,1800,761,14/06/2025,01,竣誠駒,10,9,13,83.7,83.7,-1.95,23.91,1.71,107.61,-0.24,1 1 1 1 1,竣誠駒,青春力量,蜜蜜送,楊明綸,楊明綸,4,118,120
HV,grass,好/快,1800,031,17/09/2025,11,竣誠駒,10,9,12,84.22,84.22,-2.53,25.69,2.79,109.91,0.26,1 1 1 1 11,年年友福,奮鬥心,獎星,楊明綸,楊明綸,4,125,120
HV,grass,好/快,1800,146,02/11/2025,07,竣誠駒,10,9,10,84.7,84.7,-2.05,24.98,2.08,109.68,0.03,1 1 1 1 7,客家之光,風起雲湧,蜜蜜送,楊明綸,楊明綸,4,129,120
ST,grass,好,2000,181,15/11/2025,11,竣誠駒,10,9,5,98.14,98.14,0.19,25.46,1.06,123.6,1.25,1 1 1 1 11,雙贏,智多多寶,八駿笑昇,楊明綸,楊明綸,4,127,120
HV,grass,好,2200,228,03/12/2025,08,竣誠駒,10,9,10,111.12,111.12,-0.68,25.27,0.02,136.39,-0.66,3 2 2 2 1 8,雙贏,寶賢得得,包裝旋風,麥道朗,楊明綸,4,124,120
ST,grass,好,1600,309,01/01/2026,12,竣誠駒,10,9,11,70.58,70.62,0.22,25.12,0.62,95.74,0.84,1 2 2 12,安都,開心宇宙,黃金騎士,楊明綸,楊明綸,4,122,120
ST,grass,好/快,1400,359,18/01/2026,07,竣誠駒,10,9,1,58.91,59.15,-9.4,23.73,10.28,82.88,0.88,5 4 4 7,活力拍檔,最好玩,千杯不醉,蔡明紹,楊明綸,4,120,120
