日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-02-09,ST,grass,好,1400,410,08,蜜蜜送,5,8,1,58.39,58.87,0.27,23.71,0.31,82.58,0.58,4 7 6 8,旋風傳奇,翠湖烈風,八正道,希威森,周俊樂 (-2),4,127,130
2025-03-02,ST,grass,好,1400,470,13,蜜蜜送,5,8,14,58.89,60.13,1.53,23.5,0.1,83.63,1.63,13 13 14 13,幸運芙蓉,開心五月,精益大師,馬昆,周俊樂 (-2),4,128,130
2025-03-19,HV,grass,好/快,1650,519,02,蜜蜜送,5,8,3,75.48,75.96,0.11,23.51,-0.74,99.47,-0.63,7 7 6 2,卓越蒨鋒,蜜蜜送,連連歡呼,奧爾民,周俊樂 (-2),4,125,130
2025-04-09,HV,grass,好/快,1650,578,07,蜜蜜送,5,8,3,75.08,75.52,-0.33,24.51,0.26,100.03,-0.07,6 7 9 7,領航天子,錶之量子,追風,奧爾民,周俊樂 (-2),4,127,130
2025-05-07,HV,grass,好,2200,652,09,蜜蜜送,5,8,2,113.5,114.14,1.39,24.75,0.45,138.89,1.84,3 5 5 5 8 9,幸運同行,客家之光,管之友,奧爾民,周俊樂 (-2),4,130,130
2025-06-14,ST,grass,好,1800,761,03,蜜蜜送,5,8,14,83.7,84.54,0.89,23.28,-0.92,107.82,-0.03,7 8 9 10 3,竣誠駒,青春力量,蜜蜜送,潘頓,周俊樂 (-2),4,125,130
2025-10-04,ST,grass,好/快,1400,071,05,蜜蜜送,5,8,9,57.86,58.74,0.14,23.27,-0.13,82.01,0.01,11 11 11 5,準輝煌,凱旋幸運,天天更好,希威森,周俊樂 (-2),4,126,130
2025-10-19,ST,grass,好/快,1800,106,05,蜜蜜送,5,8,4,83.34,83.86,0.21,23.4,-0.8,107.26,-0.59,7 7 6 6 5,精算特殊,風起雲湧,一支箭,董明朗,周俊樂 (-2),4,126,130
2025-11-02,HV,grass,好/快,1800,146,03,蜜蜜送,5,8,2,84.7,85.38,0.08,24.04,-0.31,109.42,-0.23,7 8 7 7 3,客家之光,風起雲湧,蜜蜜送,周俊樂,周俊樂 (-2),4,124,130
2025-11-26,HV,grass,好/快,1800,212,01,蜜蜜送,5,8,10,86.52,87.04,1.74,23.05,-1.3,110.09,0.44,5 6 6 6 1,蜜蜜送,架勢奇爸,多利神駒,麥道朗,周俊樂 (-2),4,123,130
