馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好,1400,285,22/12/2024,10,翠兒威威,8,3,14,57.97,59.01,-9.19,23.05,9.6,82.06,0.41,13 13 13 10,玩笑,同樣美麗,本領輝煌,周俊樂,周俊樂 (-2),3,121,126
ST,dirt,好,1200,342,12/01/2025,12,翠兒威威,8,3,9,45.2,46.28,46.28,23.44,-45.11,69.72,1.17,9 11 12,假面騎士,智跑得,德心知遇,周俊樂,周俊樂 (-2),3,123,126
ST,grass,好,1600,395,31/01/2025,13,翠兒威威,8,3,6,73.21,74.01,3.81,22.23,-2.27,96.24,1.54,11 12 12 13,帥帥友福,仁心星,銀亮奔騰,蔡明紹,周俊樂 (-2),3,122,126
HV,grass,好,1650,446,19/02/2025,10,翠兒威威,8,3,12,75.63,76.59,4.64,24.18,-3.77,100.77,0.87,12 12 12 10,博望坡,勁好運,太陽勇士,周俊樂,周俊樂 (-2),3,121,126
ST,dirt,好,1650,468,02/03/2025,08,翠兒威威,8,3,7,75.79,76.71,6.01,22.76,-5.14,99.47,0.87,8 11 11 8,艾莉奧,精彩動力,堅闖,湯普新,周俊樂 (-2),3,115,126
ST,dirt,好,1650,539,26/03/2025,11,翠兒威威,8,3,13,75.46,76.5,5.4,23.14,-4.81,99.64,0.59,11 12 9 11,川河型駒,飛騰騅,天時明駒,周俊樂,周俊樂 (-2),4,133,126
HV,grass,好/快,1650,594,16/04/2025,03,翠兒威威,8,3,5,75.57,76.57,4.47,23.31,-4.69,99.88,-0.22,7 8 9 3,飈誌,馬主雄風,翠兒威威,周俊樂,周俊樂 (-2),4,131,126
HV,grass,好,1650,654,07/05/2025,08,翠兒威威,8,3,9,76.5,77.26,5.16,23.91,-4.09,101.17,1.07,11 12 11 8,奮鬥輝煌,好好紛,三軍勇將,周俊樂,周俊樂 (-2),4,131,126
HV,grass,好/快,1650,691,21/05/2025,07,翠兒威威,8,3,11,75.6,76.4,4.3,24.01,-3.99,100.41,0.31,11 10 10 7,極速滿貫,奮鬥心,美麗歡聲,周俊樂,周俊樂 (-2),4,129,126
HV,grass,好/快,1650,751,11/06/2025,05,翠兒威威,8,3,10,74.52,75.16,3.06,24.76,-3.24,99.92,-0.18,6 7 6 5,川河首駒,至旺財,好好紛,周俊樂,周俊樂 (-2),4,128,126
ST,dirt,濕慢,1650,793,28/06/2025,06,翠兒威威,8,3,4,75.12,75.84,4.74,24.45,-3.5,100.29,1.24,7 7 6 6,川河型駒,風繼續吹,閃耀威龍,班德禮,周俊樂 (-2),4,127,126
HV,grass,好/快,1800,842,16/07/2025,06,翠兒威威,8,3,4,84.23,84.51,-2.24,24.77,1.87,109.28,-0.37,2 4 4 4 6,三江飛輪,美麗歡聲,奮鬥心,周俊樂,周俊樂 (-2),4,124,126
HV,grass,好/快,1650,077,08/10/2025,08,翠兒威威,8,3,9,76.24,76.8,4.7,23.61,-4.39,100.41,0.31,7 8 8 8,紅海勁,凝妙星,錶之量子,周俊樂,周俊樂 (-2),4,119,126
HV,grass,好/快,1650,154,05/11/2025,02,翠兒威威,8,3,12,74.76,74.76,2.66,24.06,-3.94,98.82,-1.28,2 2 2 2,相映紅,翠兒威威,活力精神,周俊樂,周俊樂 (-2),4,121,126
HV,grass,好,1650,247,10/12/2025,08,翠兒威威,8,3,8,75.59,75.99,3.89,24.72,-3.28,100.71,0.61,3 4 4 8,好實力,卓越蒨鋒,頌星,周俊樂,周俊樂 (-2),4,119,126
HV,grass,好,1650,329,07/01/2026,01,翠兒威威,8,3,10,77.68,77.68,5.58,23.28,-4.72,100.96,0.86,1 1 1 1,翠兒威威,隨緣得勝,加州活力,周俊樂,周俊樂 (-2),4,120,126
