馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好,1000,140,05/11/2023,05,勝萬金,10,8,7,33.39,33.39,33.39,23.54,-33.11,56.93,0.28,1 1 5,氣勢,萬事快,時間寶,鍾易禮,鍾易禮 (-2),4,116,119
HV,grass,好,1000,423,15/02/2024,05,勝萬金,10,8,9,34.31,34.79,34.79,23.1,-34.1,57.89,0.69,6 6 5,天火同人,中環精英,紅海風帆,鍾易禮,鍾易禮 (-2),4,123,119
HV,grass,好,1000,458,28/02/2024,11,勝萬金,10,8,10,33.54,34.86,34.86,23.78,-33.42,58.64,1.44,8 9 11,精益大師,快如龍,顏色王子,鍾易禮,鍾易禮 (-2),4,124,119
ST,grass,好,1000,544,31/03/2024,05,勝萬金,10,8,12,33.81,33.81,33.81,23.24,-33.41,57.05,0.4,5 1 5,勝利之皇,紅逸舍,輝煌精英,鍾易禮,鍾易禮 (-2),4,119,119
HV,grass,好,1200,591,17/04/2024,10,勝萬金,10,8,1,46.04,46.04,46.04,26.72,-43.18,72.76,2.86,1 1 10,財駿,大才,飛雲,鍾易禮,鍾易禮 (-2),4,118,119
HV,grass,好,1000,747,12/06/2024,06,勝萬金,10,8,11,33.53,33.53,33.53,24.32,-32.88,57.85,0.65,1 1 6,紅逸舍,極光彗星,囍眼光,鍾易禮,鍾易禮 (-2),4,119,119
HV,grass,好,1000,795,04/07/2024,07,勝萬金,10,8,1,33.58,33.58,33.58,24.23,-32.97,57.81,0.61,1 1 7,鴻圖新星,極光彗星,顏色王子,鍾易禮,鍾易禮 (-2),4,117,119
ST,grass,好/黏,1000,004,08/09/2024,08,勝萬金,10,8,2,33.97,34.37,34.37,22.79,-33.86,57.16,0.51,4 4 8,舉步生風,不可擋,專家,鍾易禮,鍾易禮 (-2),4,112,119
HV,grass,好,1000,032,18/09/2024,02,勝萬金,10,8,5,34.07,34.39,34.39,23.07,-34.28,57.46,0.11,5 3 2,中華威威,勝萬金,天分高,潘頓,鍾易禮 (-2),5,133,119
HV,grass,好,1000,086,09/10/2024,03,勝萬金,10,8,9,33.99,34.59,34.59,23.26,-34.09,57.85,0.5,6 4 3,飛躍凱旋,連連勝利,勝萬金,潘頓,鍾易禮 (-2),5,135,119
