馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好/快,1200,094,13/10/2024,08,燭光晚餐,5,6,6,45.89,45.89,45.89,24.06,-44.94,69.95,0.95,1 1 8,耀寶,旭日昇,風生水起,田泰安,紀仁安,3,128,127
ST,grass,好,1000,186,17/11/2024,13,燭光晚餐,5,6,9,33.64,33.64,33.64,24.39,-32.06,58.03,1.58,3 1 13,舉步生風,英雄豪邁,連連有盈,田泰安,紀仁安,3,125,127
HV,grass,好,1000,256,11/12/2024,11,燭光晚餐,5,6,10,33.3,33.46,33.46,24.79,-31.86,58.25,1.6,1 2 11,巴薩諾瓦,年少多好,英雄豪邁,田泰安,紀仁安,3,128,127
ST,grass,好,1000,323,05/01/2025,04,燭光晚餐,5,6,9,34.05,34.05,34.05,22.8,-33.65,56.85,0.4,1 1 4,水晶酒杯,紅逸舍,金運來,楊明綸,紀仁安,3,125,127
ST,grass,好,1000,384,26/01/2025,10,燭光晚餐,5,6,6,34.25,34.25,34.25,23.99,-32.46,58.24,1.79,2 1 10,會長之寶,翠紅,飛來閃耀,楊明綸,紀仁安,3,122,127
ST,grass,好/快,1000,435,16/02/2025,11,燭光晚餐,5,6,14,33.64,33.64,33.64,23.36,-33.09,57.0,0.55,1 1 11,馬力,錶之極光,連連有盈,杜苑欣,紀仁安,3,122,127
ST,dirt,好,1200,542,26/03/2025,10,燭光晚餐,5,6,4,44.94,44.94,44.94,24.66,-43.89,69.6,1.05,1 1 10,德心知遇,皇龍飛將,晶晶日上,楊明綸,紀仁安,3,115,127
ST,dirt,好,1200,603,20/04/2025,09,燭光晚餐,5,6,1,45.27,45.27,45.27,25.24,-43.71,70.51,1.56,1 1 9,實力哥,天天耍樂,機械騎士,楊明綸,紀仁安,4,133,127
HV,grass,好/快,1200,693,21/05/2025,02,燭光晚餐,5,6,2,46.49,46.49,46.49,23.46,-46.44,69.95,0.05,1 1 2,富國兄弟,燭光晚餐,天下寵兒,奧爾民,紀仁安,4,132,127
HV,grass,好/快,1000,748,11/06/2025,01,燭光晚餐,5,6,8,33.98,33.98,33.98,22.89,-34.31,56.87,-0.33,1 1 1,燭光晚餐,瑤瑤日上,快樂寶寶,奧爾民,紀仁安,4,132,127
HV,grass,好/快,1000,824,09/07/2025,02,燭光晚餐,5,6,2,33.05,33.09,33.09,23.72,-32.93,56.81,0.16,2 2 2,狀元及第,燭光晚餐,路路勁,楊明綸,紀仁安,3,119,127
HV,grass,好/快,1000,035,17/09/2025,04,燭光晚餐,5,6,6,33.44,33.76,33.76,23.04,-33.61,56.8,0.15,1 2 4,八駿巨昇,年少多好,超力量,楊明綸,紀仁安,3,121,127
HV,grass,好/快,1000,147,02/11/2025,05,燭光晚餐,5,6,1,33.45,33.49,33.49,23.82,-32.83,57.31,0.66,1 2 5,人和家興,連連幸運,川河石駒,楊明綸,紀仁安,3,120,127
HV,grass,好/快,1200,216,26/11/2025,08,燭光晚餐,5,6,8,46.42,46.42,46.42,23.82,-45.78,70.24,0.64,1 1 8,安康萬里,盈妍威楓,家樂龍駒,奧爾民,紀仁安,3,125,127
HV,grass,好,1000,271,17/12/2025,01,燭光晚餐,5,6,10,34.03,34.19,34.19,22.5,-34.15,56.69,0.04,3 2 1,燭光晚餐,添開心,精彩福星,紀仁安,紀仁安,3,119,127
ST,grass,好,1200,313,01/01/2026,10,燭光晚餐,5,6,9,46.16,46.52,46.52,23.33,-45.67,69.85,0.85,3 4 10,晒冷,千帆駒,狼來了,紀仁安,紀仁安,3,126,127
