馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好,1200,301,29/12/2024,13,加州本事,9,7,2,46.1,46.62,46.62,23.71,-45.64,70.33,0.98,7 7 13,真心傳奇,天外迎天,加非凡,蔡明紹,蔡明紹,4,127,120
ST,grass,好,1400,449,23/02/2025,05,加州本事,9,7,6,58.92,59.16,-9.39,23.5,10.05,82.66,0.66,3 3 4 5,首飾天空,南區之星,哈羅威,蔡明紹,蔡明紹,4,127,120
ST,grass,好,1400,550,30/03/2025,12,加州本事,9,7,13,57.81,58.65,-9.9,24.0,10.55,82.65,0.65,3 4 5 12,南區之星,開心宇宙,劍無名,蔡明紹,蔡明紹,4,127,120
ST,grass,好,1200,584,13/04/2025,10,加州本事,9,7,6,45.37,46.73,46.73,23.7,-45.65,70.43,1.08,4 7 10,魅影戈飛,快樂高球,精益大師,蔡明紹,蔡明紹,4,124,120
ST,grass,好,1200,801,01/07/2025,02,加州本事,9,7,6,45.34,46.14,46.14,23.25,-46.1,69.39,0.04,6 6 2,手到齊來,加州本事,喜勝駿駒,賀銘年,蔡明紹,4,122,120
HV,grass,好/快,1200,841,16/07/2025,06,加州本事,9,7,12,45.63,46.31,46.31,23.38,-46.52,69.69,-0.21,8 9 6,星火燎原,星辰千帥,一生好彩,賀銘年,蔡明紹,4,123,120
HV,grass,好,1200,030,17/09/2025,02,加州本事,9,7,2,46.87,47.07,47.07,22.8,-47.1,69.87,-0.03,3 3 2,三軍勇將,加州本事,電訊驕陽,周俊樂,蔡明紹,4,121,120
ST,grass,好/快,1200,070,04/10/2025,03,加州本事,9,7,5,45.76,46.24,46.24,22.63,-46.72,68.87,-0.48,5 6 3,紅海風帆,進傲星,加州本事,周俊樂,蔡明紹,4,122,120
ST,grass,好/快,1000,105,19/10/2025,02,加州本事,9,7,6,34.17,34.17,34.17,22.76,-33.89,56.93,0.28,1 1 2,官金騏,加州本事,團結勇士,蔡明紹,蔡明紹,4,122,120
ST,grass,好,1200,165,09/11/2025,03,加州本事,9,7,7,46.58,46.62,46.62,23.67,-45.68,70.29,0.94,1 2 3,弦力寶,好精神,加州本事,蔡明紹,蔡明紹,4,125,120
HV,grass,好,1200,232,03/12/2025,01,加州本事,9,7,7,46.56,46.56,46.56,23.24,-46.66,69.8,-0.1,2 1 1,加州本事,心裡有數,祥勝力駒,蔡明紹,蔡明紹,4,125,120
HV,grass,好,1200,288,23/12/2025,01,加州本事,9,7,9,45.57,45.57,45.57,23.88,-46.02,69.45,-0.45,1 1 1,加州本事,寶成智好,心裡有數,蔡明紹,蔡明紹,4,130,120
HV,grass,好,1200,353,14/01/2026,03,加州本事,9,7,3,45.99,46.27,46.27,23.34,-46.26,69.61,0.01,3 5 3,三軍勇將,臻至辰,加州本事,蔡明紹,蔡明紹,3,118,120
