馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好,1200,103,22/10/2023,06,安泰,12,1,13,46.78,47.7,47.7,22.66,-46.69,70.36,1.01,13 13 6,知道長勝,球星,快狠準,田泰安,艾兆禮,4,133,119
ST,grass,好,1400,200,26/11/2023,10,安泰,12,1,13,59.75,60.39,-8.16,22.95,9.5,83.34,1.34,10 11 13 10,時尚歡欣,佳福駒,時時稱心,田泰安,艾兆禮,4,134,119
ST,grass,好,1400,256,17/12/2023,02,安泰,12,1,14,58.72,59.36,-9.19,23.01,9.56,82.37,0.37,9 12 11 2,連連歡呼,安泰,得意醒,潘頓,艾兆禮,4,131,119
ST,grass,好,1400,302,01/01/2024,01,安泰,12,1,10,58.27,58.59,-9.96,23.81,10.36,82.4,0.4,5 4 5 1,安泰,佳福駒,時時稱心,潘頓,艾兆禮,4,133,119
ST,grass,好,1400,360,21/01/2024,04,安泰,12,1,13,58.59,58.87,-9.33,23.49,10.04,82.36,0.71,5 5 5 4,風雲武士,星運少爵,銀騰,艾兆禮,艾兆禮,3,122,119
HV,grass,好,1650,462,28/02/2024,08,安泰,12,1,9,76.2,77.36,5.41,25.12,-2.83,102.48,2.58,7 8 8 8,駿行星,亞機拉,獨角獸,艾兆禮,艾兆禮,3,120,119
ST,grass,好,1200,507,16/03/2024,04,安泰,12,1,10,45.67,46.59,46.59,22.54,-46.46,69.13,0.13,9 8 4,樂滿貫,電子傳奇,特別美麗,巴度,艾兆禮,3,120,119
ST,grass,好,1200,563,07/04/2024,07,安泰,12,1,7,46.26,46.74,46.74,23.84,-45.16,70.58,1.58,6 6 7,綠族豐收,加州得力,愛馬善,巴度,艾兆禮,3,121,119
ST,grass,好,1200,010,08/09/2024,07,安泰,12,1,11,46.17,47.21,47.21,22.1,-46.9,69.31,0.31,14 14 7,華麗再勝,輝煌精英,旭日昇,湯普新,艾兆禮,3,116,119
ST,grass,好,1400,064,28/09/2024,08,安泰,12,1,3,58.22,58.5,-9.7,23.98,10.53,82.48,0.83,4 3 5 8,盈妍威楓,風繼續吹,非凡之星,賀銘年,艾兆禮,3,119,119
ST,grass,好/快,1200,097,13/10/2024,04,安泰,12,1,11,46.54,46.9,46.9,22.6,-46.75,69.5,0.15,6 6 4,佳運發,勇冠群英,富國兄弟,布文,艾兆禮,4,133,119
ST,grass,好/快,1400,152,03/11/2024,05,安泰,12,1,10,58.5,59.1,-9.45,23.15,9.7,82.25,0.25,10 11 9 5,昭易搵,一定掂,卓越蒨鋒,艾道拿,艾兆禮,4,131,119
ST,grass,好,1400,241,08/12/2024,03,安泰,12,1,14,59.02,59.94,-8.61,22.49,9.04,82.43,0.43,14 14 14 3,包裝福星,保羅傳奇,安泰,莫雅,艾兆禮,4,133,119
ST,grass,好,1400,300,29/12/2024,01,安泰,12,1,9,58.62,59.1,-9.45,22.69,9.24,81.79,-0.21,11 10 9 1,安泰,紫荊拼搏,滿心星,潘頓,艾兆禮,4,131,119
ST,grass,好,1400,397,31/01/2025,08,安泰,12,1,2,58.27,59.07,-9.13,23.17,9.72,82.24,0.59,10 9 12 8,包裝福星,不同世界,穿甲戰鷹,艾兆禮,艾兆禮,3,123,119
ST,dirt,濕慢,1650,426,12/02/2025,04,安泰,12,1,8,75.3,75.94,5.24,25.74,-2.16,101.68,3.08,10 8 7 4,天威,堅闖,新意馬,湯普新,艾兆禮,3,116,119
ST,dirt,好,1650,468,02/03/2025,05,安泰,12,1,6,75.79,76.55,5.85,22.78,-5.12,99.33,0.73,10 10 10 5,艾莉奧,精彩動力,堅闖,韋紀力,艾兆禮,3,116,119
ST,grass,好/快,1400,528,23/03/2025,01,安泰,12,1,1,58.35,58.59,-9.61,22.6,9.15,81.19,-0.46,6 5 3 1,安泰,穿甲戰鷹,美麗邂逅,韋紀力,艾兆禮,3,122,119
ST,grass,好,1400,591,13/04/2025,03,安泰,12,1,10,57.9,59.14,-9.06,22.25,8.8,81.39,-0.26,11 10 10 3,康樂高球,光年魅力,安泰,艾道拿,艾兆禮,3,125,119
ST,grass,好,1400,629,27/04/2025,11,安泰,12,1,8,57.75,58.59,-9.61,23.45,10.0,82.04,0.39,11 11 10 11,大眾福星,美麗邂逅,哈羅威,韋紀力,艾兆禮,3,128,119
ST,grass,好,1400,766,14/06/2025,04,安泰,12,1,7,58.69,59.41,-8.79,22.66,9.21,82.07,0.42,8 6 6 4,錶之星河,樂勝天下,勇冠群英,艾兆禮,艾兆禮,3,124,119
ST,grass,好/快,1400,818,05/07/2025,07,安泰,12,1,14,57.92,58.92,-9.28,23.3,9.85,82.22,0.57,13 13 13 7,同樣美麗,錶之星河,定數,艾道拿,艾兆禮,3,127,119
ST,grass,好/快,1400,028,14/09/2025,08,安泰,12,1,11,59.69,60.89,-7.31,21.65,8.2,82.54,0.89,13 13 13 8,勇冠群英,金勝名駒,春風萬里,艾兆禮,艾兆禮,3,125,119
ST,dirt,濕慢,1650,044,21/09/2025,02,安泰,12,1,6,74.57,75.29,4.59,23.81,-4.09,99.1,0.5,12 10 8 2,智跑得,安泰,新意馬,艾道拿,艾兆禮,3,125,119
ST,grass,好/快,1600,055,28/09/2025,09,安泰,12,1,1,70.7,70.94,0.74,23.86,-0.64,94.8,0.1,7 5 4 9,幸運派彩,八仟財陞,美麗星晨,巴度,艾兆禮,3,124,119
ST,grass,好/快,1400,132,26/10/2025,08,安泰,12,1,3,58.76,59.36,-8.84,22.62,9.17,81.98,0.33,11 11 11 8,喜尊龍,正極,嘉應奇兵,艾道拿,艾兆禮,3,125,119
ST,dirt,好,1650,187,15/11/2025,08,安泰,12,1,8,75.38,76.42,5.72,22.84,-5.06,99.26,0.66,14 13 12 8,將睿,皇龍飛將,堅有利,田泰安,艾兆禮,3,124,119
ST,dirt,好,1650,243,07/12/2025,05,安泰,12,1,8,74.26,75.1,4.4,23.53,-4.37,98.63,0.03,13 13 12 5,不同世界,堅有利,凱明神駒,田泰安,艾兆禮,3,123,119
ST,dirt,好,1650,301,27/12/2025,11,安泰,12,1,13,75.58,76.66,5.96,23.99,-3.91,100.65,2.05,13 13 14 11,新意馬,時時精準,不同世界,田泰安,艾兆禮,3,121,119
ST,grass,好/快,1400,337,11/01/2026,02,安泰,12,1,10,58.17,58.81,-9.74,23.15,9.7,81.96,-0.04,11 12 10 2,進傲星,安泰,綫路萬里,潘頓,艾兆禮,4,135,119
