馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好,1200,046,24/09/2023,08,電源之駒,4,9,3,47.09,47.53,1.13,22.49,0.24,70.02,1.37,5 8 8,包裝必勝,威力奔騰,超霸勝,楊明綸,布文,2,118,127
ST,grass,好,1200,091,15/10/2023,11,電源之駒,4,9,10,47.04,48.04,1.64,21.91,-0.34,69.95,1.3,14 14 11,幸運有您,威力奔騰,魅力寶駒,楊明綸,布文,2,120,127
HV,grass,好,1200,156,08/11/2023,08,電源之駒,4,9,11,45.77,47.05,0.1,22.89,0.54,69.94,0.64,12 11 8,小霸王,魅力寶駒,明心知遇,楊明綸,布文,2,119,127
HV,grass,好,1200,212,29/11/2023,10,電源之駒,4,9,10,45.2,47.0,0.05,23.36,1.01,70.36,1.06,11 10 10,小霸王,電氣騎士,嫡愛心,蔡明紹,布文,2,118,127
HV,grass,好,1200,268,20/12/2023,08,電源之駒,4,9,5,46.38,46.9,-0.15,23.69,1.14,70.59,0.99,7 7 8,添開心,縱橫萬里,閃電,蔡明紹,布文,3,135,127
ST,grass,好,1200,340,13/01/2024,08,電源之駒,4,9,11,45.89,47.05,0.4,22.94,0.59,69.99,0.99,12 11 8,我為您,鐵金剛,連連有盈,蔡明紹,布文,3,135,127
HV,grass,好,1200,386,31/01/2024,05,電源之駒,4,9,4,46.13,46.61,-0.44,23.61,1.06,70.22,0.62,5 6 5,好友心得,美麗第一,正氣青驅,蔡明紹,布文,3,131,127
HV,grass,好,1200,460,28/02/2024,02,電源之駒,4,9,1,47.38,47.78,0.73,22.98,0.43,70.76,1.16,5 5 2,精算暴雪,電源之駒,撼天鐵翼,布文,布文,3,129,127
HV,grass,好,1200,035,18/09/2024,09,電源之駒,4,9,1,46.4,46.88,-0.17,24.11,1.56,70.99,1.39,4 5 9,勇敢巨星,添開心,競駿非凡,梁家俊,布文,3,130,127
HV,grass,好/快,1200,110,16/10/2024,11,電源之駒,4,9,10,46.07,46.19,-0.86,24.39,1.84,70.58,0.98,3 2 11,家樂龍駒,得道猴王,伊臣,蔡明紹,布文,3,128,127
HV,grass,好,1200,164,06/11/2024,07,電源之駒,4,9,12,45.88,46.96,-0.09,23.11,0.56,70.07,0.47,11 12 7,勇敢巨星,超霸勝,同祥和順,霍宏聲,布文,3,124,127
ST,grass,好,1000,225,01/12/2024,13,電源之駒,4,9,2,33.79,34.39,-1.41,23.32,2.67,57.71,1.26,13 10 13,添開心,星際快車,連連有盈,霍宏聲,布文,3,122,127
HV,grass,好,1200,335,08/01/2025,09,電源之駒,4,9,12,45.86,47.14,0.09,23.15,0.6,70.29,0.69,11 11 9,連連幸運,椒椒醒,競駿非凡,貝知仁,布文,3,123,127
