馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好,1000,491,10/03/2024,10,年少多好,9,6,9,33.5,33.78,33.78,24.48,-31.97,58.26,1.81,4 5 10,水晶酒杯,占士德,星際快車,霍宏聲,鍾易禮 (-2),3,121,116
HV,grass,好,1000,538,27/03/2024,04,年少多好,9,6,11,33.75,33.83,33.83,23.43,-33.22,57.26,0.61,2 2 4,美麗第一,天火同人,英雄豪邁,霍宏聲,鍾易禮 (-2),3,122,116
HV,grass,好,1000,608,24/04/2024,02,年少多好,9,6,3,33.44,33.44,33.44,23.2,-33.45,56.64,-0.01,2 1 2,美麗第一,年少多好,連連有盈,霍宏聲,鍾易禮 (-2),3,120,116
HV,grass,好,1000,691,22/05/2024,07,年少多好,9,6,10,33.81,34.25,34.25,23.21,-33.44,57.46,0.81,6 8 7,綠色好威,美麗第一,武千帥,巴度,鍾易禮 (-2),3,121,116
HV,grass,好/黏,1200,730,05/06/2024,04,年少多好,9,6,1,45.54,45.54,45.54,25.1,-44.5,70.64,1.04,1 1 4,天足貓,家樂龍駒,鈦易搵,霍宏聲,鍾易禮 (-2),3,123,116
HV,grass,好,1000,749,12/06/2024,01,年少多好,9,6,2,33.18,33.18,33.18,23.7,-32.95,56.88,0.23,5 1 1,年少多好,萬眾開心,英雄豪邁,潘頓,鍾易禮 (-2),3,121,116
HV,grass,好/快,1000,819,10/07/2024,03,年少多好,9,6,1,33.18,33.18,33.18,23.39,-33.26,56.57,-0.08,1 1 3,巴薩諾瓦,紅逸舍,年少多好,潘頓,鍾易禮 (-2),3,130,116
HV,grass,好,1000,054,25/09/2024,09,年少多好,9,6,2,34.01,34.01,34.01,23.64,-33.01,57.65,1.0,2 1 9,紅逸舍,連連幸運,巴薩諾瓦,潘頓,鍾易禮 (-2),3,134,116
HV,grass,好,1000,137,27/10/2024,08,年少多好,9,6,3,34.13,34.37,34.37,23.26,-33.39,57.63,0.98,3 2 8,馬力,雅典武士,連連幸運,布文,鍾易禮 (-2),3,132,116
ST,grass,好,1000,186,17/11/2024,11,年少多好,9,6,10,33.64,33.68,33.68,23.8,-32.65,57.48,1.03,4 2 11,舉步生風,英雄豪邁,連連有盈,霍宏聲,鍾易禮 (-2),3,130,116
