馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好,1200,232,10/12/2023,02,風雲武士,2,2,2,45.59,46.15,46.15,23.78,-45.57,69.93,0.58,7 5 2,華麗再勝,風雲武士,幸運星球,梁家俊,布文,4,128,135
ST,grass,好,1200,298,01/01/2024,01,風雲武士,2,2,12,46.53,47.09,47.09,22.66,-46.69,69.75,0.4,5 5 1,風雲武士,電訊龍駒,連連勝利,潘頓,布文,4,130,135
ST,grass,好,1400,360,21/01/2024,01,風雲武士,2,2,11,58.59,58.75,-9.45,23.32,9.87,82.07,0.42,2 2 2 1,風雲武士,星運少爵,銀騰,潘頓,布文,3,122,135
ST,grass,好,1400,417,12/02/2024,12,風雲武士,2,2,10,58.75,58.87,-9.33,24.13,10.68,83.0,1.35,2 2 2 12,跑得好快,巴閉仔,馬林,陳嘉熙,布文,3,122,135
ST,grass,黏,1200,626,28/04/2024,09,風雲武士,2,2,14,46.2,47.12,47.12,23.81,-45.19,70.93,1.93,12 13 9,大才,占士德,同祥和順,潘頓,布文,3,128,135
ST,grass,好/快,1400,722,02/06/2024,04,風雲武士,2,2,9,58.95,59.07,-9.13,23.21,9.76,82.28,0.63,3 4 3 4,滿歡笑,旌鷹,獨步天下,田泰安,布文,3,129,135
ST,grass,黏,1200,045,22/09/2024,06,風雲武士,2,2,9,46.13,46.69,46.69,23.37,-45.63,70.06,1.06,9 7 6,氣勢,鑽石星空,旭日昇,希威森,布文,3,123,135
ST,grass,好/快,1400,101,13/10/2024,11,風雲武士,2,2,10,58.94,59.1,-9.1,23.31,9.86,82.41,0.76,4 2 2 11,鑽石星空,還看今朝,駿奕快車,希威森,布文,3,124,135
ST,grass,好/快,1200,174,09/11/2024,03,風雲武士,2,2,3,45.17,45.89,45.89,22.75,-46.25,68.64,-0.36,5 4 3,耀寶,河好運,風雲武士,田泰安,布文,3,123,135
ST,grass,好,1400,230,01/12/2024,11,風雲武士,2,2,10,57.88,58.48,-9.72,24.02,10.57,82.5,0.85,10 8 7 11,祝願,遙遙領先,鐵金剛,麥道朗,布文,3,129,135
ST,grass,好,1400,306,29/12/2024,02,風雲武士,2,2,3,59.41,59.61,-8.59,22.62,9.17,82.23,0.58,2 4 3 2,飛輪步,風雲武士,但求開心,湯普新,布文,3,124,135
ST,grass,好,1400,413,09/02/2025,09,風雲武士,2,2,12,58.89,60.05,-8.15,22.16,8.71,82.21,0.56,11 12 13 9,光年魅力,至尊高超,糖不甩,希威森,布文,3,129,135
ST,grass,好,1400,454,23/02/2025,04,風雲武士,2,2,11,57.83,58.67,-9.53,22.49,9.04,81.16,-0.49,12 12 10 4,至尊高超,穿甲戰鷹,樂勝天下,湯普新,布文,3,124,135
HV,grass,好/快,1200,522,19/03/2025,05,風雲武士,2,2,10,46.3,47.3,47.3,22.64,-46.96,69.94,0.34,12 11 5,傑出漢子,時尚風趣,金匯昇昇,湯普新,布文,3,122,135
HV,grass,好/快,1200,580,09/04/2025,02,風雲武士,2,2,5,46.36,46.64,46.64,22.84,-46.76,69.48,-0.12,4 3 2,金發盛世,風雲武士,鈁糖武士,艾道拿,布文,3,122,135
HV,grass,好/快,1200,636,30/04/2025,02,風雲武士,2,2,6,46.23,46.39,46.39,22.85,-46.75,69.24,-0.36,4 3 2,天足貓,椒椒醒,風雲武士,艾道拿,布文,3,125,135
HV,grass,好/快,1200,677,14/05/2025,02,風雲武士,2,2,5,46.09,46.41,46.41,23.02,-46.58,69.43,-0.17,5 5 2,翠紅,風雲武士,勇霸龍,潘頓,布文,3,129,135
HV,grass,好/黏,1200,733,04/06/2025,01,風雲武士,2,2,2,46.03,46.47,46.47,23.53,-46.07,70.0,0.4,5 5 1,風雲武士,勇霸龍,日馳千里,潘頓,布文,3,129,135
