馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
HV,grass,好,1000,749,12/06/2024,07,魔術控制,4,3,4,33.18,33.98,33.98,23.73,-32.92,57.71,1.06,7 8 7,年少多好,萬眾開心,英雄豪邁,布文,周俊樂 (-2),3,133,128
ST,grass,好/快,1000,027,15/09/2024,01,魔術控制,4,3,10,34.15,34.15,34.15,21.59,-34.86,55.74,-0.71,2 1 1,魔術控制,星際快車,寰宇豐采,蔡明紹,周俊樂 (-2),3,132,128
ST,grass,好/快,1000,071,01/10/2024,02,魔術控制,4,3,6,33.81,33.81,33.81,22.02,-33.88,55.83,-0.07,2 1 2,美麗第一,魔術控制,狀元及第,蔡明紹,周俊樂 (-2),0,115,128
ST,grass,好,1000,171,09/11/2024,01,魔術控制,4,3,5,34.17,34.17,34.17,22.19,-33.86,56.36,0.31,3 1 1,魔術控制,氣勢,我為您,蔡明紹,周俊樂 (-2),2,127,128
ST,grass,好,1000,310,01/01/2025,02,魔術控制,4,3,5,33.8,33.8,33.8,22.37,-33.53,56.17,0.27,2 2 2,嫡愛心,魔術控制,美麗第一,蔡明紹,周俊樂 (-2),0,125,128
ST,grass,好,1200,361,19/01/2025,06,魔術控制,4,3,4,44.84,45.16,45.16,23.23,-44.92,68.39,0.24,2 2 6,嘉應高昇,驕陽明駒,嫡愛心,韋紀力,周俊樂 (-2),0,126,128
ST,grass,好,1200,414,09/02/2025,03,魔術控制,4,3,5,46.12,46.2,46.2,22.56,-45.89,68.76,0.31,2 2 3,幸運有您,華麗再勝,魔術控制,蔡明紹,周俊樂 (-2),1,127,128
ST,grass,好,1000,448,23/02/2025,01,魔術控制,4,3,2,33.79,34.19,34.19,22.21,-33.84,56.4,0.35,7 7 1,魔術控制,占士德,同祥和順,薛恩,周俊樂 (-2),2,135,128
ST,grass,好/快,1200,492,09/03/2025,06,魔術控制,4,3,8,46.39,47.07,47.07,22.18,-46.27,69.25,0.8,7 7 6,幸運有您,合夥奔馳,飛鷹翱翔,蔡明紹,周俊樂 (-2),1,133,128
ST,grass,好,1200,549,30/03/2025,07,魔術控制,4,3,2,46.3,46.66,46.66,23.22,-44.93,69.88,1.73,5 6 7,嘉應高昇,驕陽明駒,幸運有您,班德禮,周俊樂 (-2),0,123,128
ST,grass,好,1200,624,27/04/2025,07,魔術控制,4,3,11,45.78,45.78,45.78,23.17,-44.98,68.95,0.8,1 1 7,嘉應高昇,里見夢境,驕陽明駒,蘇銘倫,周俊樂 (-2),0,126,128
ST,grass,好,1200,724,31/05/2025,11,魔術控制,4,3,8,45.45,45.45,45.45,23.58,-44.57,69.03,0.88,1 1 11,驕陽明駒,賢者無敵,手機錶霸,潘明輝,周俊樂 (-2),0,115,128
HV,grass,好/快,1200,846,16/07/2025,05,魔術控制,4,3,2,45.49,45.77,45.77,23.13,-46.17,68.9,-0.4,2 3 5,美麗第一,好友心得,晨曦儷人,陳嘉熙,周俊樂 (-2),2,130,128
ST,grass,好,1200,003,07/09/2025,11,魔術控制,4,3,9,44.57,45.53,45.53,23.2,-45.25,68.73,0.28,11 12 11,嘉應高昇,金鑽貴人,開心寶寶,蔡明紹,周俊樂 (-2),1,115,128
ST,grass,好/快,1000,062,01/10/2025,03,魔術控制,4,3,5,33.34,33.5,33.5,22.41,-33.49,55.91,0.01,5 4 3,舉步生風,精算暴雪,魔術控制,何澤堯,周俊樂 (-2),0,124,128
ST,grass,好/快,1200,130,26/10/2025,09,魔術控制,4,3,6,44.68,45.0,45.0,23.5,-44.65,68.5,0.35,4 3 9,好友心得,精算暴雪,包裝天將,梁家俊,周俊樂 (-2),0,118,128
ST,grass,好,1000,224,30/11/2025,07,魔術控制,4,3,13,33.73,34.09,34.09,22.96,-33.09,57.05,1.0,7 6 7,顏色之皇,翠紅,水晶酒杯,麥道朗,周俊樂 (-2),2,131,128
ST,grass,好,1200,281,20/12/2025,02,魔術控制,4,3,8,47.08,47.32,47.32,22.37,-46.28,69.69,1.04,6 4 2,信心星,魔術控制,笑傲江湖,周俊樂,周俊樂 (-2),2,133,128
ST,grass,好,1000,321,04/01/2026,05,魔術控制,4,3,3,33.54,34.1,34.1,22.49,-33.41,56.59,0.69,8 6 5,星際快車,顏色之皇,賢者無敵,周俊樂,周俊樂 (-2),0,125,128
HV,grass,好,1200,352,14/01/2026,10,魔術控制,4,3,6,45.05,45.89,45.89,24.12,-45.18,70.01,0.71,7 6 10,風雲武士,至尊瑰寶,勇敢巨星,周俊樂,周俊樂 (-2),2,133,128
