馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好,1400,249,08/12/2024,14,凱明神駒,11,5,4,58.49,59.73,-8.27,25.41,11.96,85.14,3.69,9 11 14 14,包裝天將,球星,潮州精神,貝知仁,鍾易禮 (-2),2,117,119
ST,grass,好,1400,392,31/01/2025,11,凱明神駒,11,5,3,57.91,58.91,-9.09,23.58,10.13,82.49,1.04,9 10 11 11,堅又威,一先生,舞林密碼,田泰安,鍾易禮 (-2),2,116,119
ST,grass,好,1800,415,09/02/2025,10,凱明神駒,11,5,7,82.45,83.81,-1.39,24.91,2.61,108.72,1.22,12 10 12 14 10,加州動員,和平波,包裝明駒,班德禮,鍾易禮 (-2),3,135,119
ST,grass,好/快,1600,437,16/02/2025,14,凱明神駒,11,5,9,71.11,72.71,2.51,23.89,-0.61,96.6,1.9,12 11 14 14,仁心星,天將龍駒,不同世界,黃智弘,鍾易禮 (-2),3,128,119
ST,dirt,好,1650,468,02/03/2025,09,凱明神駒,11,5,1,75.79,76.23,5.53,23.28,-4.62,99.51,0.91,3 5 4 9,艾莉奧,精彩動力,堅闖,麥當能,鍾易禮 (-2),3,127,119
HV,grass,好/快,1800,504,12/03/2025,10,凱明神駒,11,5,2,86.24,86.68,0.23,23.83,0.83,110.51,1.06,3 3 4 4 10,一起美麗,快路,北海盜,賀銘年,鍾易禮 (-2),3,128,119
ST,dirt,好,1650,541,26/03/2025,09,凱明神駒,11,5,1,74.94,75.78,5.08,23.08,-4.82,98.86,0.26,5 6 8 9,電訊巴打,天威,勝意,潘明輝,鍾易禮 (-2),3,121,119
HV,grass,好/快,2200,555,02/04/2025,05,凱明神駒,11,5,4,110.8,111.08,-0.57,23.89,-1.06,134.97,-1.63,2 3 3 3 4 5,銀進,快路,盈益善,賀銘年,鍾易禮 (-2),3,122,119
HV,grass,好/快,1650,637,30/04/2025,11,凱明神駒,11,5,3,75.12,75.76,3.81,24.22,-3.73,99.98,0.08,6 7 7 11,有財有勢,非凡豪傑,駟跑得,黃智弘,鍾易禮 (-2),3,118,119
ST,dirt,好,1650,665,10/05/2025,04,凱明神駒,11,5,2,74.74,75.3,4.6,23.65,-4.25,98.95,0.35,5 7 7 4,皇龍飛將,超加加,精英雄心,潘明輝,鍾易禮 (-2),3,121,119
HV,grass,好/快,1650,714,28/05/2025,10,凱明神駒,11,5,7,74.8,75.04,3.09,25.15,-2.8,100.19,0.29,4 4 4 10,銀進,爆得美麗,唯美主義,梁家俊,鍾易禮 (-2),3,120,119
HV,grass,好/黏,1800,734,04/06/2025,06,凱明神駒,11,5,1,88.2,88.76,2.31,23.73,0.73,112.49,3.04,8 9 9 9 6,春風萬里,包裝創新,港林福將,蔡明紹,鍾易禮 (-2),3,118,119
ST,dirt,濕慢,1650,796,28/06/2025,05,凱明神駒,11,5,3,74.39,75.23,4.53,23.96,-3.94,99.19,0.59,10 9 9 5,艾莉奧,智跑得,新意馬,潘明輝,鍾易禮 (-2),3,119,119
ST,dirt,濕慢,1650,040,21/09/2025,03,凱明神駒,11,5,7,75.19,75.87,4.77,24.17,-3.78,100.04,0.99,8 9 8 3,天時明駒,超眼光,凱明神駒,潘頓,鍾易禮 (-2),4,132,119
HV,grass,好/快,1650,214,26/11/2025,01,凱明神駒,11,5,7,77.34,77.62,5.52,22.83,-5.17,100.45,0.35,4 4 4 1,凱明神駒,康昌之星,瑞祺威楓,布文,鍾易禮 (-2),4,131,119
ST,dirt,好,1650,243,07/12/2025,03,凱明神駒,11,5,5,74.26,74.98,4.28,23.43,-4.47,98.41,-0.19,11 11 9 3,不同世界,堅有利,凱明神駒,潘頓,鍾易禮 (-2),3,121,119
ST,dirt,好,1650,301,27/12/2025,06,凱明神駒,11,5,5,75.58,76.22,5.52,23.45,-4.45,99.67,1.07,9 9 5 6,新意馬,時時精準,不同世界,潘頓,鍾易禮 (-2),3,121,119
ST,dirt,好,1650,373,21/01/2026,03,凱明神駒,11,5,5,75.21,75.85,5.15,22.75,-5.15,98.6,0.0,9 9 11 3,皇龍飛將,滿心星,凱明神駒,潘頓,鍾易禮 (-2),3,120,119
