馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好,1400,304,01/01/2024,11,爆笑,8,4,4,59.33,59.61,-8.59,24.41,10.96,84.02,2.37,3 3 4 11,朗朗乾坤,魅力知遇,滿歡笑,田泰安,巴度,3,129,124
ST,grass,好,1200,340,13/01/2024,06,爆笑,8,4,9,45.89,46.65,46.65,23.25,-45.75,69.9,0.9,7 7 6,我為您,鐵金剛,連連有盈,田泰安,巴度,3,131,124
HV,grass,好,1200,463,28/02/2024,05,爆笑,8,4,1,46.73,46.97,46.97,24.11,-45.49,71.08,1.48,3 3 5,鈁糖武士,旭日昇,有財有勢,鍾易禮,巴度,3,121,124
HV,grass,好,1200,499,13/03/2024,05,爆笑,8,4,8,46.69,47.33,47.33,23.0,-46.6,70.33,0.73,9 9 5,精算暴雪,旭日昇,鈁糖武士,艾道拿,巴度,3,125,124
ST,grass,好,1400,547,31/03/2024,06,爆笑,8,4,3,59.67,59.95,-8.25,23.82,10.37,83.77,2.12,6 6 5 6,巴閉仔,特別美麗,一定美麗,艾道拿,巴度,3,126,124
ST,grass,好,1400,607,20/04/2024,13,爆笑,8,4,7,58.54,59.14,-9.06,25.05,11.6,84.19,2.54,11 10 13 13,仁心星,潮州精神,手機錶霸,艾道拿,巴度,3,122,124
ST,grass,好,1000,734,08/06/2024,09,爆笑,8,4,2,33.95,34.51,34.51,23.05,-33.4,57.56,1.11,9 10 9,嘉應獎昇,水晶酒杯,萬里飛至,何澤堯,巴度,3,120,124
ST,grass,好,1200,791,01/07/2024,06,爆笑,8,4,3,45.71,46.43,46.43,22.71,-46.29,69.14,0.14,13 12 6,天天同樂,開心寶寶,實力派,何澤堯,巴度,3,123,124
ST,grass,好,1200,829,14/07/2024,09,爆笑,8,4,12,46.09,46.73,46.73,23.05,-45.95,69.78,0.78,10 11 9,包裝天將,花果猴王,時尚風趣,蔡明紹,巴度,3,116,124
ST,grass,好,1400,008,08/09/2024,09,爆笑,8,4,7,59.85,60.09,-8.46,23.05,9.6,83.14,1.14,4 4 5 9,人和家盛,一定掂,極速贏,艾道拿,巴度,4,135,124
ST,grass,好,1400,059,28/09/2024,12,爆笑,8,4,12,58.89,59.21,-9.34,23.95,10.5,83.16,1.16,8 7 5 12,堅闖,綠族威,勁先生,蔡明紹,巴度,4,131,124
ST,dirt,好,1650,077,06/10/2024,07,爆笑,8,4,8,75.63,76.75,5.65,24.75,-3.2,101.5,2.45,9 9 9 7,年年友福,客家之光,歡喜福星,蔡明紹,巴度,4,130,124
HV,grass,好,1650,131,27/10/2024,02,爆笑,8,4,7,76.65,76.81,4.71,23.77,-4.23,100.58,0.48,2 2 2 2,紅海勁,爆笑,追風,蔡明紹,巴度,4,127,124
HV,grass,好/黏,1650,196,20/11/2024,01,爆笑,8,4,6,75.78,75.78,3.68,24.63,-3.37,100.41,0.31,1 1 1 1,爆笑,魔法速遞,君智盛,蔡明紹,巴度,4,132,124
HV,grass,好,1650,291,26/12/2024,03,爆笑,8,4,1,75.4,75.4,3.3,24.35,-3.65,99.75,-0.35,1 1 1 3,極速滿貫,赤馬雄風,爆笑,蔡明紹,巴度,4,133,124
HV,grass,好,1650,372,22/01/2025,02,爆笑,8,4,3,76.12,76.36,4.26,23.66,-4.34,100.02,-0.08,4 3 3 2,都靈勇士,爆笑,寶成智星,蔡明紹,巴度,4,135,124
HV,grass,好,1650,446,19/02/2025,05,爆笑,8,4,11,75.63,76.07,4.12,23.99,-3.96,100.06,0.16,6 6 7 5,博望坡,勁好運,太陽勇士,蔡明紹,巴度,3,117,124
HV,grass,好/快,1650,500,12/03/2025,02,爆笑,8,4,3,75.79,75.99,3.89,23.78,-4.22,99.77,-0.33,2 2 2 2,智勇名駒,爆笑,論文,蔡明紹,巴度,4,135,124
HV,grass,好/快,1650,558,02/04/2025,11,爆笑,8,4,10,75.43,75.47,3.37,26.56,-1.44,102.03,1.93,2 2 2 11,醒目先駒,神駒馬靈,奮鬥輝煌,潘頓,巴度,4,135,124
