馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好,1400,110,22/10/2023,14,瑪瑙,1,8,6,58.3,58.5,-9.5,25.59,12.14,84.09,2.64,4 3 2 14,增有,敏捷神駒,美好世界,梁家俊,潘明輝,2,134,135
HV,grass,好,1650,173,15/11/2023,06,瑪瑙,1,8,6,76.67,76.91,5.61,23.75,-4.25,100.66,1.36,2 2 2 6,電訊巴打,百勝名駒,喜旺駒,梁家俊,潘明輝,2,132,135
HV,grass,好,1650,265,20/12/2023,08,瑪瑙,1,8,1,78.51,78.75,7.45,23.07,-4.93,101.82,2.52,3 4 3 8,越駿歡欣,喜旺駒,超超比,梁家俊,潘明輝,2,130,135
ST,grass,好,1200,339,13/01/2024,06,瑪瑙,1,8,1,45.98,46.18,46.18,23.49,-45.16,69.67,1.02,3 3 6,錶之銀河,晶晶日上,幸運遇見,鍾易禮,潘明輝,2,123,135
ST,grass,好,1400,434,18/02/2024,08,瑪瑙,1,8,11,58.93,59.01,-8.99,24.07,10.62,83.08,1.63,2 2 2 8,增有,巴閉哥,飛鷹翱翔,梁家俊,潘明輝,2,129,135
ST,grass,好,1400,511,16/03/2024,07,瑪瑙,1,8,4,58.45,58.77,-9.23,23.15,9.7,81.92,0.47,5 5 5 7,競駿輝煌,馬林,幸運遇見,梁家俊,潘明輝,2,122,135
HV,grass,好,1650,571,10/04/2024,07,瑪瑙,1,8,8,75.62,76.14,4.84,23.93,-4.07,100.07,0.77,5 6 6 7,智取神駒,亞機拉,一先生,梁家俊,潘明輝,2,120,135
ST,grass,黏,1400,625,28/04/2024,10,瑪瑙,1,8,5,58.38,58.98,-9.02,24.68,11.23,83.66,2.21,5 7 9 10,旺旺神駒,傑出漢子,馬林,湯普新,潘明輝,2,118,135
ST,grass,好,1400,713,02/06/2024,01,瑪瑙,1,8,6,60.64,60.72,-7.28,21.64,8.19,82.36,0.91,3 2 2 1,瑪瑙,巴閉哥,傑出漢子,田泰安,潘明輝,2,119,135
ST,grass,好,1400,787,01/07/2024,09,瑪瑙,1,8,2,57.93,58.29,-9.71,24.09,10.64,82.38,0.93,4 4 4 9,潮州精神,好友心得,巴閉哥,田泰安,潘明輝,2,123,135
ST,grass,好,1400,007,08/09/2024,04,瑪瑙,1,8,2,59.44,59.76,-8.24,22.66,9.21,82.42,0.97,3 3 3 4,潮州精神,巴閉哥,話你知,田泰安,潘明輝,2,130,135
ST,grass,好/快,1400,072,01/10/2024,09,瑪瑙,1,8,9,58.58,58.74,-9.26,23.81,10.36,82.55,1.1,5 3 3 9,飛鷹翱翔,手機錶霸,陽光勇士,梁家俊,潘明輝,2,121,135
