日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-04-14,ST,grass,好/快,1200,584,01,魯班精神,10,2,10,46.98,47.02,0.12,21.98,-0.47,69.0,-0.35,2 2 1,魯班精神,佳運發,揚揚大道,班德禮,梁家俊,4,128,121
2024-05-11,ST,grass,好/快,1200,661,03,魯班精神,10,2,9,46.48,46.6,-0.3,22.83,0.38,69.43,0.08,3 2 3,千杯敬典,遙遙領先,魯班精神,班德禮,梁家俊,4,133,121
2024-06-08,ST,grass,好,1200,737,01,魯班精神,10,2,6,47.07,47.07,0.17,22.3,-0.15,69.37,0.02,1 1 1,魯班精神,好運寶馬,河好運,班德禮,梁家俊,4,135,121
2024-07-06,ST,grass,好/快,1200,811,06,魯班精神,10,2,7,45.86,45.98,-0.67,23.07,0.72,69.05,0.05,2 2 6,同祥和順,駿馬為伍,旭日昇,班德禮,梁家俊,3,125,121
2024-09-15,ST,grass,好/快,1400,028,04,魯班精神,10,2,11,58.3,58.38,-0.12,23.27,0.12,81.65,0.0,3 2 2 4,陽光勇士,將義,勁進駒,班德禮,梁家俊,3,123,121
2024-10-01,ST,grass,好/快,1400,074,03,魯班精神,10,2,10,58.46,58.58,0.08,23.54,0.39,82.12,0.47,3 2 2 3,金勝名駒,壯志凌雲,魯班精神,班德禮,梁家俊,3,124,121
2024-11-03,ST,grass,好/快,1400,156,06,魯班精神,10,2,14,58.02,58.78,0.28,23.37,0.22,82.15,0.5,5 9 9 6,遙遙領先,穿甲戰鷹,同樣美麗,班德禮,梁家俊,3,126,121
2024-11-24,ST,grass,好/快,1600,211,05,魯班精神,10,2,5,70.88,70.88,-0.02,23.8,0.0,94.68,-0.02,1 1 1 5,信心星,縱橫天下,金佰令,班德禮,梁家俊,3,125,121
2024-12-15,ST,grass,好,1600,268,06,魯班精神,10,2,12,70.88,70.92,0.02,23.49,-0.31,94.41,-0.29,2 2 2 6,米奇,百賀飛駒,包裝明駒,班德禮,梁家俊,3,122,121
2025-01-05,ST,grass,好,1400,327,05,魯班精神,10,2,13,60.28,60.32,1.82,22.36,-0.79,82.68,1.03,2 2 2 5,包裝福星,鈦易搵,有目共賞,班德禮,梁家俊,3,120,121
2025-01-31,ST,grass,好,1200,396,03,魯班精神,10,2,11,46.47,46.87,0.22,22.43,0.08,69.3,0.3,7 7 3,駿跑得,新力好,魯班精神,梁家俊,梁家俊,3,119,121
2025-02-23,ST,grass,好,1200,456,10,魯班精神,10,2,13,46.14,46.98,0.33,22.9,0.55,69.88,0.88,12 12 10,凱旋升,健康快車,中環精英,班德禮,梁家俊,3,124,121
2025-03-15,ST,grass,好/黏,1200,512,03,魯班精神,10,2,9,47.29,47.53,0.88,22.95,0.6,70.48,1.48,4 4 3,健康快車,增強,魯班精神,金誠剛,梁家俊,3,124,121
2025-04-06,ST,grass,好,1200,567,03,魯班精神,10,2,11,46.22,46.5,-0.15,22.66,0.31,69.16,0.16,4 3 3,增強,健康快車,魯班精神,潘頓,梁家俊,3,121,121
2025-04-30,HV,grass,好/快,1200,636,07,魯班精神,10,2,10,46.23,46.63,-0.42,22.96,0.41,69.59,-0.01,5 5 7,天足貓,椒椒醒,風雲武士,潘頓,梁家俊,3,121,121
2025-05-21,HV,grass,好/快,1200,694,08,魯班精神,10,2,12,46.21,47.49,0.44,22.68,0.13,70.17,0.57,12 12 8,人和家興,安康萬里,樂勝天下,班德禮,梁家俊,3,119,121
2025-06-22,ST,grass,好,1200,769,01,魯班精神,10,2,1,46.86,46.86,-0.04,22.43,-0.02,69.29,-0.06,1 1 1,魯班精神,八駿福昇,綫路光驊,潘頓,梁家俊,4,135,121
2025-09-07,ST,grass,好,1200,009,06,魯班精神,10,2,7,45.43,46.15,-0.5,23.3,0.95,69.45,0.45,7 8 6,燈胆將軍,天星,自力更生,田泰安,梁家俊,3,126,121
2025-10-04,ST,grass,好/快,1200,074,07,魯班精神,10,2,3,45.44,45.88,-0.77,23.12,0.77,69.0,0.0,5 6 7,燈胆將軍,晒冷,運高八斗,金誠剛,梁家俊,3,122,121
2025-11-23,ST,grass,好,1400,202,13,魯班精神,10,2,12,57.87,58.43,-0.07,25.04,1.89,83.47,1.82,5 7 5 13,白鷺金剛,光年八十,超勁赤兔,班德禮,梁家俊,3,123,121
2026-01-07,HV,grass,好,1650,333,07,魯班精神,10,2,11,75.27,75.27,-0.38,25.29,1.04,100.56,0.66,7 7 1 7,一定掂,相映紅,競駿飛翔,梁家俊,梁家俊,3,121,121
