馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
HV,grass,好/快,1200,597,16/04/2025,2,安康萬里,2,8,8,45.95,46.35,46.35,22.8,-46.8,69.15,-0.45,3 4 2,翠紅,安康萬里,飲杯,希威森,何澤堯,3,118,133
HV,grass,好/快,1200,841,16/07/2025,6,加州本事,9,7,12,45.63,46.31,46.31,23.38,-46.52,69.69,-0.21,8 9 6,星火燎原,星辰千帥,一生好彩,賀銘年,蔡明紹,4,123,120
HV,grass,好,1200,291,23/12/2025,2,沙井之友,8,5,8,45.48,46.28,46.28,23.19,-46.41,69.47,-0.13,6 7 2,川河動駒,沙井之友,幸運星球,周俊樂,周俊樂 (-2),3,119,121
HV,grass,好/快,1200,54,27/09/2023,4,傑出漢子,3,3,10,45.63,46.67,46.67,22.82,-46.78,69.49,-0.11,6 6 4,縱橫萬里,運高八斗,巴薩諾瓦,何澤堯,希威森,3,130,133
HV,grass,好,1200,232,03/12/2025,1,加州本事,9,7,7,46.56,46.56,46.56,23.24,-46.66,69.8,-0.1,2 1 1,加州本事,心裡有數,祥勝力駒,蔡明紹,蔡明紹,4,125,120
HV,grass,好,1200,30,17/09/2025,2,加州本事,9,7,2,46.87,47.07,47.07,22.8,-47.1,69.87,-0.03,3 3 2,三軍勇將,加州本事,電訊驕陽,周俊樂,蔡明紹,4,121,120
HV,grass,好,1200,482,05/03/2025,1,友愛心得,1,12,5,46.52,46.72,46.72,22.87,-46.73,69.59,-0.01,3 3 1,友愛心得,無限美麗,雪勇神駒,班德禮,麥文堅,3,125,135
HV,grass,好,1200,353,14/01/2026,2,臻至辰,5,11,5,45.99,46.63,46.63,22.96,-46.64,69.59,-0.01,7 8 2,三軍勇將,臻至辰,加州本事,潘頓,潘頓,3,123,125
HV,grass,好,1200,462,26/02/2025,1,輕功猛男,7,4,11,46.29,46.85,46.85,23.07,-46.83,69.92,0.02,8 8 1,輕功猛男,飛黃,勁者,奧爾民,黃智弘 (-5),4,135,121
HV,grass,好,1200,174,15/11/2023,1,傑出漢子,3,3,5,45.83,45.87,45.87,23.85,-45.75,69.72,0.12,2 2 1,傑出漢子,好友心得,喜至寶,希威森,希威森,3,135,133
HV,grass,好/快,1200,580,09/04/2025,5,輕功猛男,7,4,6,46.36,46.72,46.72,23.08,-46.52,69.8,0.2,3 4 5,金發盛世,風雲武士,鈁糖武士,賀銘年,黃智弘 (-5),3,119,121
HV,grass,好,1200,353,14/01/2026,4,沙井之友,8,5,4,45.99,46.47,46.47,23.35,-46.25,69.82,0.22,4 6 4,三軍勇將,臻至辰,加州本事,周俊樂,周俊樂 (-2),3,121,121
HV,grass,好,1200,658,07/05/2025,2,安康萬里,2,8,9,45.92,46.96,46.96,22.86,-46.74,69.82,0.22,10 10 2,飲杯,安康萬里,無限美麗,潘頓,何澤堯,3,120,133
HV,grass,好/快,1200,636,30/04/2025,10,輕功猛男,7,4,8,46.23,46.99,46.99,22.86,-46.74,69.85,0.25,10 11 10,天足貓,椒椒醒,風雲武士,梁家俊,黃智弘 (-5),3,120,121
HV,grass,好,1200,136,27/10/2024,2,友愛心得,1,12,1,46.24,46.48,46.48,23.4,-46.2,69.88,0.28,4 4 2,競駿皇者,友愛心得,正氣青驅,潘頓,麥文堅,3,120,135
HV,grass,好/快,1200,561,02/04/2025,8,安康萬里,2,8,12,46.55,47.55,47.55,22.36,-47.24,69.91,0.31,12 11 8,鈦易搵,天足貓,樂勝天下,希威森,何澤堯,3,124,133
HV,grass,好,1200,266,17/12/2025,1,臻至辰,5,11,12,46.56,47.52,47.52,22.76,-47.14,70.28,0.38,12 12 1,臻至辰,細水長流,千杯,麥道朗,潘頓,4,135,125
HV,grass,黏,1200,99,18/10/2023,2,傑出漢子,3,3,1,46.07,46.47,46.47,23.75,-45.85,70.22,0.62,5 4 2,快搏,傑出漢子,平常心,潘頓,希威森,3,132,133
HV,grass,好,1200,156,08/11/2023,8,電源之駒,4,9,11,45.77,47.05,47.05,22.89,-46.41,69.94,0.64,12 11 8,小霸王,魅力寶駒,明心知遇,楊明綸,布文,2,119,127
HV,grass,好,1200,268,20/12/2023,8,電源之駒,4,9,5,46.38,46.9,46.9,23.69,-45.91,70.59,0.99,7 7 8,添開心,縱橫萬里,閃電,蔡明紹,布文,3,135,127
HV,grass,好,1200,212,29/11/2023,10,電源之駒,4,9,10,45.2,47.0,47.0,23.36,-45.94,70.36,1.06,11 10 10,小霸王,電氣騎士,嫡愛心,蔡明紹,布文,2,118,127
HV,grass,好,1200,196,19/11/2025,12,團長好,11,6,7,45.59,47.31,47.31,23.68,-45.92,70.99,1.39,11 12 12,友愛心得,魅力寶駒,豐盛,蔡明紹,巴度,3,123,119
HV,grass,好/黏,1200,201,20/11/2024,12,友愛心得,1,12,9,46.2,46.48,46.48,24.85,-44.75,71.33,1.73,3 3 12,得道猴王,伊臣,勇威神駒,潘頓,麥文堅,3,126,135
