日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-04-06,ST,grass,好,1200,564,12,工程小子,11,10,7,46.9,47.82,0.92,22.73,0.28,70.55,1.2,10 13 12,嘉冠王,一定超,勇闖高峰,蔡明紹,潘大衛,4,127,120
2025-05-10,ST,grass,好,1000,660,13,工程小子,11,10,2,33.65,34.81,-1.09,23.4,2.65,58.21,1.56,12 14 13,穿雲達月,展雄威,拉合爾,賀銘年,潘大衛,4,127,120
2025-07-01,ST,grass,好,1200,801,10,工程小子,11,10,3,45.34,46.06,-0.84,24.51,2.06,70.57,1.22,7 5 10,手到齊來,加州本事,喜勝駿駒,蔡明紹,潘大衛,4,125,120
2025-07-13,ST,grass,好/快,1400,831,14,工程小子,11,10,13,58.57,60.01,1.41,23.97,0.57,83.98,1.98,10 13 14 14,十二神將,葳莉非凡,豐辰,董明朗,潘大衛,4,123,120
2025-11-02,HV,grass,好/快,1200,145,11,工程小子,11,10,1,46.84,47.32,0.12,23.81,1.11,71.13,1.23,6 5 11,當家精彩,幸運愉快,星辰千帥,潘大衛,潘大衛,4,119,120
2025-11-30,ST,grass,好,1400,218,11,工程小子,11,10,9,58.48,59.04,0.09,24.63,1.28,83.67,1.37,8 8 10 11,競駿天下,金鑽精靈,全神貫注,金誠剛,潘大衛,5,135,120
2025-12-20,ST,grass,好,1400,273,09,工程小子,11,10,12,58.87,59.79,0.84,23.45,0.1,83.24,0.94,13 12 12 9,綫路萬里,飛躍凱旋,劍無情,金誠剛,潘大衛,5,132,120
2026-01-04,ST,grass,好,1400,314,12,工程小子,11,10,13,57.49,57.69,-1.26,25.83,2.48,83.52,1.22,1 2 2 12,全神貫注,旋風傳奇,至旺財,金誠剛,潘大衛,5,129,120
2026-01-21,ST,dirt,好,1200,365,10,工程小子,11,10,2,45.94,46.46,-0.54,24.01,1.66,70.47,1.12,5 6 10,魅力星,銳一,銀亮濠俠,麥文堅,潘大衛,5,126,120
2026-01-28,HV,grass,好,1000,385,10,工程小子,11,10,11,33.98,34.18,-1.77,23.41,2.01,57.59,0.24,2 2 10,亮寶,謙謙君子,鼓浪高升,潘大衛,潘大衛,5,123,120
