日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-03-30,ST,grass,好,1200,546,08,順善寶,3,13,12,46.1,46.82,-0.08,23.0,0.55,69.82,0.47,8 9 8,小鳥天堂,特別美麗,笑喜喜,梁家俊,黃智弘 (-5),4,128,131
2025-06-28,ST,grass,好,1200,790,05,順善寶,3,13,9,47.08,47.32,0.42,22.68,0.23,70.0,0.65,4 4 5,合夥飛馳,嫡愛好,金創福威,班德禮,黃智弘 (-5),4,127,131
2025-07-13,ST,grass,好/快,1200,834,09,順善寶,3,13,2,46.3,46.7,-0.2,23.12,0.67,69.82,0.47,5 5 9,燈胆將軍,勝多多,團結勇士,班德禮,黃智弘 (-5),4,128,131
2025-09-14,ST,grass,好/快,1400,022,06,順善寶,3,13,6,57.9,58.02,-0.58,24.0,0.6,82.02,0.02,1 4 4 6,糖不甩,醒目先駒,精算激流,周俊樂,黃智弘 (-5),4,120,131
2025-09-28,ST,grass,好/快,1400,050,05,順善寶,3,13,1,57.74,58.06,-0.54,23.95,0.55,82.01,0.01,3 3 3 5,一生好彩,火悟空,豐辰,金誠剛,黃智弘 (-5),4,121,131
2025-10-12,ST,grass,好,1400,088,12,順善寶,3,13,7,58.64,58.64,0.04,23.75,0.35,82.39,0.39,1 1 1 12,開心五月,心雄雄,超旺財,班德禮,黃智弘 (-5),4,119,131
2025-10-30,ST,dirt,好,1200,137,04,順善寶,3,13,5,46.26,46.62,-0.23,23.82,1.72,70.44,1.49,5 4 4,星火燎原,運來伍寶,金多囍,班德禮,黃智弘 (-5),4,119,131
2025-11-19,HV,grass,好,1000,193,09,順善寶,3,13,8,33.89,34.17,-1.73,23.9,2.6,58.07,0.87,5 4 9,飛龍在天,品德寶寶,天下寵兒,潘明輝,黃智弘 (-5),4,117,131
2025-11-30,ST,dirt,好,1200,219,04,順善寶,3,13,12,45.65,45.93,-0.92,23.45,1.35,69.38,0.43,6 5 4,瑤瑤日上,金多囍,雷神太保,班德禮,黃智弘 (-5),4,117,131
2025-12-07,ST,dirt,好,1200,236,07,順善寶,3,13,9,45.55,45.79,-1.21,23.88,1.53,69.67,0.32,5 3 7,飛雲,多彩多姿,謙謙君子,班德禮,黃智弘 (-5),5,133,131
