日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-03-23,ST,grass,好/快,1400,528,10,幸運派彩,3,13,11,58.35,58.59,0.09,24.11,0.96,82.7,1.05,7 3 4 10,安泰,穿甲戰鷹,美麗邂逅,奧爾民,奧爾民,3,131,127
2025-05-04,ST,grass,好/快,1400,649,04,幸運派彩,3,13,10,58.12,58.92,0.42,22.64,-0.51,81.56,-0.09,12 11 10 4,時時歡聲,元朗精英,定數,奧爾民,奧爾民,3,127,127
2025-05-25,ST,grass,好,1400,707,04,幸運派彩,3,13,10,56.93,57.73,-0.77,23.6,0.45,81.33,-0.32,13 13 13 4,喜尊龍,綠野飛馳,南區之星,奧爾民,奧爾民,3,129,127
2025-06-22,ST,grass,好,1600,776,04,幸運派彩,3,13,14,70.99,71.63,0.73,22.94,-0.86,94.57,-0.13,14 14 9 4,龍城精將,增有,鐵金剛,奧爾民,奧爾民,3,128,127
2025-07-13,ST,grass,好/快,1600,836,04,幸運派彩,3,13,11,71.53,71.53,0.63,22.95,-0.85,94.48,-0.22,4 3 1 4,大浪圖田,英駿飛駒,增有,奧爾民,奧爾民,3,123,127
2025-09-07,ST,grass,好,1400,010,11,幸運派彩,3,13,1,58.47,58.95,0.45,23.19,0.04,82.14,0.49,8 8 9 11,同樣美麗,嘉應巨昇,泰泰精神,奧爾民,奧爾民,3,126,127
2025-09-28,ST,grass,好/快,1600,055,01,幸運派彩,3,13,3,70.7,71.02,0.12,23.05,-0.75,94.07,-0.63,5 8 6 1,幸運派彩,八仟財陞,美麗星晨,奧爾民,奧爾民,3,125,127
2025-10-19,ST,grass,好/快,1600,113,02,幸運派彩,3,13,2,70.08,70.52,-0.38,23.2,-0.6,93.72,-0.98,6 7 7 2,火焰閃爍,幸運派彩,勁沙塵,奧爾民,奧爾民,3,130,127
2025-11-15,ST,grass,好,1600,188,05,幸運派彩,3,13,8,71.52,71.84,0.94,23.15,-0.65,94.99,0.29,10 8 7 5,美麗星晨,英駿飛駒,勁沙塵,奧爾民,奧爾民,3,132,127
2025-11-30,ST,grass,好,1600,226,07,幸運派彩,3,13,3,71.97,72.57,1.67,22.73,-1.07,95.3,0.6,7 10 13 7,一定超,美麗星晨,魅力知耀,奧爾民,奧爾民,3,132,127
2025-12-14,ST,grass,好,1800,259,06,幸運派彩,3,13,3,83.3,84.02,0.52,23.88,-0.12,107.9,0.4,3 4 5 6 6,盈好威楓,英駿飛駒,豐辰,奧爾民,奧爾民,3,134,127
2026-01-04,ST,grass,好,1600,324,04,幸運派彩,3,13,11,71.65,72.53,1.63,22.71,-1.09,95.24,0.54,13 13 14 4,開心勇駒,榮駿大道,高高至高,奧爾民,奧爾民,3,133,127
2026-01-18,ST,grass,好/快,1600,364,03,幸運派彩,3,13,10,70.85,71.57,0.67,23.12,-0.68,94.69,-0.01,10 11 11 3,錶之宇宙,友瑩光,幸運派彩,奧爾民,奧爾民,3,134,127
