日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-11-13,HV,grass,好,1200,181,02,醒目先駒,1,10,10,46.03,46.87,-0.33,23.2,0.5,70.07,0.17,11 11 2,綫路達飛,醒目先駒,競駿天下,董明朗,麥文堅,4,127,135
2024-12-26,HV,grass,好,1200,292,06,醒目先駒,1,10,9,47.53,48.25,1.05,22.76,0.06,71.01,1.11,10 9 6,觀天下,光輝所願,鑽石寶寶,董明朗,麥文堅,4,130,135
2025-01-19,ST,grass,好,1400,359,08,醒目先駒,1,10,13,57.74,58.66,0.06,23.68,0.28,82.34,0.34,13 12 12 8,博愛先鋒,神馳,準輝煌,董明朗,麥文堅,4,129,135
2025-02-09,ST,grass,好,1400,408,03,醒目先駒,1,10,5,59.67,60.19,1.59,22.56,-0.84,82.75,0.75,5 7 6 3,威武年代,八仟財陞,醒目先駒,董明朗,麥文堅,4,129,135
2025-04-02,HV,grass,好/快,1650,558,01,醒目先駒,1,10,3,75.43,75.87,0.02,23.6,-0.65,99.47,-0.63,8 7 6 1,醒目先駒,神駒馬靈,奮鬥輝煌,董明朗,麥文堅,4,127,135
2025-04-30,HV,grass,好/快,1650,631,08,醒目先駒,1,10,6,75.72,76.8,0.95,23.09,-1.16,99.89,-0.21,9 9 9 8,追風,皇仁福星,美麗歡聲,董明朗,麥文堅,4,135,135
2025-09-14,ST,grass,好/快,1400,022,02,醒目先駒,1,10,7,57.9,58.26,-0.34,23.21,-0.19,81.47,-0.53,10 9 10 2,糖不甩,醒目先駒,精算激流,董明朗,麥文堅,4,134,135
2025-09-28,ST,grass,好/快,1400,054,03,醒目先駒,1,10,1,58.66,59.14,0.64,22.75,-0.4,81.89,0.24,4 6 7 3,同樣美麗,南區之星,醒目先駒,董明朗,麥文堅,3,119,135
2025-10-22,HV,grass,好,1650,121,05,醒目先駒,1,10,7,75.28,75.76,0.11,24.13,-0.12,99.89,-0.01,6 6 6 5,南區之星,有財有勢,大學生,董明朗,麥文堅,3,120,135
2025-11-19,HV,grass,好,1650,195,02,醒目先駒,1,10,10,75.89,76.81,0.96,23.32,-0.93,100.13,0.03,10 10 9 2,本領非凡,醒目先駒,青春力量,董明朗,麥文堅,4,135,135
2025-12-17,HV,grass,好,1650,267,05,醒目先駒,1,10,9,76.73,77.53,1.68,23.52,-0.73,101.05,0.95,10 9 10 5,加州活力,本領非凡,巴閉佬,潘頓,麥文堅,4,135,135
2026-01-18,ST,grass,好/快,1400,359,06,醒目先駒,1,10,3,58.91,59.35,0.75,23.32,-0.08,82.67,0.67,6 10 8 6,活力拍檔,最好玩,千杯不醉,潘頓,麥文堅,4,135,135
