日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-06-08,ST,grass,好,1000,733,14,瑤瑤日上,2,9,8,33.2,33.92,-1.98,24.86,4.11,58.78,2.13,5 8 14,舉步生風,鴻圖新星,精英至尊,班德禮,周俊樂 (-2),4,127,133
2024-07-01,ST,grass,好,1200,788,12,瑤瑤日上,2,9,7,46.51,48.03,1.13,22.06,-0.39,70.09,0.74,14 14 12,獎金大少,帥帥友福,太行美景,周俊樂,周俊樂 (-2),4,127,133
2024-09-08,ST,grass,好,1200,009,08,瑤瑤日上,2,9,3,46.05,46.49,-0.41,23.13,0.68,69.62,0.27,4 4 8,連連有盈,哈羅威,增強,周俊樂,周俊樂 (-2),4,123,133
2024-09-28,ST,dirt,好,1200,058,08,瑤瑤日上,2,9,5,46.02,46.46,-0.39,23.58,1.48,70.04,1.09,8 6 8,良駒好友,酷霸王,宇宙動力,希威森,周俊樂 (-2),4,126,133
2024-11-17,ST,grass,好,1200,184,10,瑤瑤日上,2,9,10,46.14,47.02,0.12,23.22,0.77,70.24,0.89,11 11 10,喵喵怪,多彩多姿,大利好運,梁家俊,周俊樂 (-2),4,122,133
2024-12-08,ST,grass,好,1200,240,14,瑤瑤日上,2,9,6,46.18,46.62,-0.28,24.65,2.2,71.27,1.92,6 6 14,開心樂園,神馳,衝上雲霄,貝知仁,周俊樂 (-2),4,120,133
2024-12-18,ST,dirt,好,1200,271,09,瑤瑤日上,2,9,10,45.33,45.57,-1.28,24.32,2.22,69.89,0.94,3 3 9,皇龍飛將,運來勇士,獵寶勤,湯普新,周俊樂 (-2),4,117,133
2025-01-05,ST,grass,好,1200,318,11,瑤瑤日上,2,9,12,45.58,45.86,-1.29,24.72,2.32,70.58,1.03,2 2 11,鄉村樂韻,至旺財,水龍頭,希威森,周俊樂 (-2),5,133,133
2025-01-22,HV,grass,好,1000,367,03,瑤瑤日上,2,9,1,34.27,34.71,-1.24,22.75,1.35,57.46,0.11,8 5 3,同滿滿,連連勝利,瑤瑤日上,希威森,周俊樂 (-2),5,131,133
2025-02-12,ST,dirt,濕慢,1200,418,08,瑤瑤日上,2,9,10,46.32,46.32,-0.68,25.91,3.56,72.23,2.88,1 1 8,隼閣,謙謙君子,鑽飾翱翔,霍宏聲,周俊樂 (-2),5,130,133
2025-03-12,HV,grass,好/快,1000,496,08,瑤瑤日上,2,9,11,33.77,34.61,-1.34,22.94,1.54,57.55,0.2,11 10 8,妙玲瓏,鑽飾翱翔,有心意,希威森,周俊樂 (-2),5,130,133
2025-03-26,ST,dirt,好,1200,537,06,瑤瑤日上,2,9,7,46.23,46.55,-0.45,23.56,1.21,70.11,0.76,4 5 6,南區旺,火神神樂,龍騰飛翔,周俊樂,周俊樂 (-2),5,127,133
2025-04-16,HV,grass,好/快,1000,592,01,瑤瑤日上,2,9,4,33.73,34.33,-1.62,22.57,1.17,56.9,-0.45,5 6 1,瑤瑤日上,快樂奇兵,天分高,巴度,周俊樂 (-2),5,125,133
2025-05-07,HV,grass,好,1000,651,01,瑤瑤日上,2,9,1,34.13,34.33,-1.62,22.84,1.44,57.17,-0.18,3 3 1,瑤瑤日上,謙謙君子,天分高,巴度,周俊樂 (-2),5,127,133
2025-05-21,HV,grass,好/快,1000,692,07,瑤瑤日上,2,9,8,33.9,34.06,-1.84,23.82,2.52,57.88,0.68,1 2 7,精益大師,萬眾開心,辣得金,巴度,周俊樂 (-2),4,120,133
