日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-12-22,ST,grass,好,1200,284,10,爆出美麗,6,7,13,47.13,47.85,1.2,22.16,-0.19,70.01,1.01,11 12 10,開心寶寶,健康快車,正氣青驅,希威森,布文,3,123,129
2024-12-29,ST,grass,好,1400,306,12,爆出美麗,6,7,10,59.41,60.21,1.71,22.52,-0.63,82.73,1.08,11 12 12 12,飛輪步,風雲武士,但求開心,希威森,布文,3,124,129
2025-02-16,ST,grass,好/快,1600,437,07,爆出美麗,6,7,4,71.11,71.87,0.97,22.58,-1.22,94.45,-0.25,9 9 8 7,仁心星,天將龍駒,不同世界,馬昆,布文,3,123,129
2025-03-02,ST,dirt,好,1650,468,11,爆出美麗,6,7,3,75.79,76.47,1.62,23.31,-0.44,99.78,1.18,5 8 9 11,艾莉奧,精彩動力,堅闖,艾兆禮,布文,3,116,129
2025-03-23,ST,grass,好/快,1400,528,07,爆出美麗,6,7,3,58.35,58.83,0.33,22.88,-0.27,81.71,0.06,11 8 7 7,安泰,穿甲戰鷹,美麗邂逅,艾兆禮,布文,3,121,129
2025-04-06,ST,grass,好,1600,565,05,爆出美麗,6,7,10,71.38,72.22,1.12,23.05,-0.75,95.27,0.37,9 7 7 5,開心五月,江南勇士,東方飛影,潘頓,布文,4,135,129
2025-04-27,ST,grass,好,1800,620,02,爆出美麗,6,7,6,84.27,84.67,1.02,23.14,-1.06,107.81,-0.04,10 9 9 7 2,青春力量,爆出美麗,東方飛影,潘頓,布文,4,134,129
2025-05-28,HV,grass,好/快,2200,710,09,爆出美麗,6,7,11,110.72,111.4,-1.35,25.3,1.0,136.7,-0.35,12 12 12 12 10 9,平海之星,幸運同行,夢照發,布文,布文,4,135,129
2025-07-05,ST,grass,好/快,1800,815,06,爆出美麗,6,7,11,82.96,84.2,0.55,23.4,-0.8,107.6,-0.25,13 12 13 12 6,火焰閃爍,年年友福,架勢奇爸,巴度,布文,4,133,129
2025-09-21,ST,grass,軟,1600,041,05,爆出美麗,6,7,1,72.44,72.88,1.78,24.42,0.62,97.3,2.4,12 9 5 5,小飛俠,彭玥,開心宇宙,鍾易禮,布文,4,131,129
2025-10-01,ST,grass,好/快,1800,060,02,爆出美麗,6,7,1,82.93,83.13,-0.52,23.66,-0.54,106.79,-1.06,7 6 6 6 2,東方飛影,爆出美麗,雙贏,鍾易禮,布文,4,128,129
2025-10-19,ST,grass,好/快,1800,106,07,爆出美麗,6,7,5,83.34,83.9,0.25,23.57,-0.63,107.47,-0.38,6 6 7 7 7,精算特殊,風起雲湧,一支箭,潘頓,布文,4,133,129
2025-11-09,ST,grass,好,1600,163,07,爆出美麗,6,7,9,71.89,72.53,1.43,23.9,0.1,96.43,1.53,14 14 13 7,豐辰,大千雄心,榮耀掌星,鍾易禮,布文,4,129,129
2025-11-30,ST,grass,好,1600,221,07,爆出美麗,6,7,11,72.05,72.81,1.71,22.81,-0.99,95.62,0.72,10 11 13 7,大千雄心,天蓬貓,君達得,杜苑欣,布文,4,131,129
2026-01-01,ST,grass,好,1400,308,02,爆出美麗,6,7,11,58.12,58.88,0.28,23.26,-0.14,82.14,0.14,13 13 14 2,精算激流,爆出美麗,卓越蒨鋒,班德禮,布文,4,127,129
2026-01-18,ST,grass,好/快,1600,360,09,爆出美麗,6,7,12,71.11,71.95,0.85,23.2,-0.6,95.15,0.25,13 12 12 9,細水長流,黃金騎士,凝妙星,班德禮,布文,4,131,129
