日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-17,ST,grass,好,1400,027,12,禪勝輝煌,3,5,14,58.3,59.54,0.94,23.52,0.12,83.06,1.06,7 9 14 12,紅旺,合夥雄心,星河小子,董明朗,潘頓,4,132,132
2023-10-01,ST,grass,好,1600,061,01,禪勝輝煌,3,5,3,72.29,72.37,1.27,22.9,-0.9,95.27,0.37,3 2 2 1,禪勝輝煌,唯美主義,將俠,班德禮,潘頓,4,130,132
2023-10-22,ST,grass,好,1600,104,01,禪勝輝煌,3,5,2,72.03,72.03,0.93,23.16,-0.64,95.19,0.29,1 1 1 1,禪勝輝煌,將俠,唯美主義,班德禮,潘頓,4,135,132
2023-11-26,ST,grass,好,1600,203,01,禪勝輝煌,3,5,5,72.81,72.81,1.91,22.72,-1.08,95.53,0.83,1 1 1 1,禪勝輝煌,木火兄弟,一定美麗,希威森,潘頓,3,123,132
2023-12-26,ST,grass,好,1600,288,01,禪勝輝煌,3,5,5,70.88,71.36,0.46,23.31,-0.49,94.67,-0.03,6 6 6 1,禪勝輝煌,港林福將,精算謀略,希威森,潘頓,3,132,132
2024-05-11,ST,grass,好/快,1600,662,01,禪勝輝煌,3,5,9,71.75,72.23,1.43,21.91,-1.54,94.14,-0.11,6 6 6 1,禪勝輝煌,亞機拉,笑哥兒,何澤堯,潘頓,2,119,132
2024-06-02,ST,grass,好/快,1600,719,02,禪勝輝煌,3,5,3,71.64,71.64,0.99,22.3,-0.95,93.94,0.04,1 1 1 2,錶之銀河,禪勝輝煌,美麗同享,希威森,潘頓,0,116,132
2024-06-23,ST,grass,好,1800,770,04,禪勝輝煌,3,5,6,86.15,86.27,2.67,22.53,-0.97,108.8,1.7,3 3 4 3 4,錶之銀河,美麗同享,越駿歡欣,班德禮,潘頓,0,115,132
2024-07-14,ST,grass,好,1600,828,01,禪勝輝煌,3,5,2,70.47,71.03,0.13,22.75,-0.4,93.78,-0.27,6 7 7 1,禪勝輝煌,智取神駒,中華盛景,潘頓,潘頓,1,127,132
2024-10-13,ST,grass,好/快,1600,099,03,禪勝輝煌,3,5,9,71.1,71.14,0.49,22.61,-0.64,93.75,-0.15,2 2 2 3,錶之銀河,遨遊氣泡,禪勝輝煌,希威森,潘頓,0,115,132
