日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-04-10,HV,grass,好,1200,577,07,獵寶勤,2,1,10,45.86,47.14,0.09,23.73,1.18,70.87,1.27,11 12 7,川河動駒,顏色大皇,瑰麗人生,田泰安,潘頓,3,119,135
2024-05-05,ST,dirt,好,1200,644,07,獵寶勤,2,1,5,45.86,46.26,-0.24,24.16,2.11,70.42,1.87,6 4 7,福國寶,勝意龍,凱旋時光,艾道拿,潘頓,3,121,135
2024-05-26,ST,grass,好,1200,702,06,獵寶勤,2,1,8,46.48,46.64,-0.01,22.6,0.25,69.24,0.24,2 3 6,龍之輝,禾道小子,實力派,潘明輝,潘頓,3,118,135
2024-06-15,ST,grass,軟,1200,755,08,獵寶勤,2,1,3,46.26,46.54,-0.36,24.23,1.78,70.77,1.42,4 2 8,旭日昇,極速贏,天天耍樂,潘頓,潘頓,4,135,135
2024-07-01,ST,grass,好,1200,788,05,獵寶勤,2,1,1,46.51,46.75,-0.15,22.72,0.27,69.47,0.12,4 4 5,獎金大少,帥帥友福,太行美景,潘頓,潘頓,4,135,135
2024-07-10,HV,grass,好/快,1200,818,04,獵寶勤,2,1,11,45.89,45.93,-1.27,24.45,1.75,70.38,0.48,2 2 4,還看今朝,佳尊三,皆益善,潘頓,潘頓,4,134,135
2024-09-25,HV,grass,好,1200,049,05,獵寶勤,2,1,6,46.65,46.89,-0.31,23.55,0.85,70.44,0.54,2 2 5,上校,勇威神駒,精英至尊,艾兆禮,潘頓,4,133,135
2024-10-09,HV,grass,好,1200,090,12,獵寶勤,2,1,9,46.5,46.5,-0.7,25.09,2.39,71.59,1.69,1 1 12,駿步騰飛,五福星,你知我得,艾道拿,潘頓,4,134,135
2024-11-09,ST,grass,好/快,1400,173,05,獵寶勤,2,1,3,58.17,58.17,-0.43,23.89,0.49,82.06,0.06,1 1 1 5,龍城強將,保羅傳奇,川河型駒,艾道拿,潘頓,4,132,135
2024-12-01,ST,dirt,好,1200,224,02,獵寶勤,2,1,9,45.14,45.34,-1.51,24.35,2.25,69.69,0.74,4 4 2,澳華威威,獵寶勤,陽光寶貝,麥道朗,潘頓,4,129,135
2024-12-18,ST,dirt,好,1200,271,03,獵寶勤,2,1,11,45.33,45.37,-1.48,23.84,1.74,69.21,0.26,5 2 3,皇龍飛將,運來勇士,獵寶勤,麥道朗,潘頓,4,132,135
2024-12-29,ST,dirt,好,1200,302,09,獵寶勤,2,1,9,45.98,46.42,-0.43,24.17,2.07,70.59,1.64,8 7 9,良駒好友,勁先生,越野大師,艾道拿,潘頓,4,132,135
2025-01-12,ST,dirt,好,1200,339,09,獵寶勤,2,1,4,45.13,45.45,-1.4,24.73,2.63,70.18,1.23,2 6 9,皇龍飛將,星火燎原,贏得自然,田泰安,潘頓,4,130,135
2025-02-19,HV,grass,好,1200,440,08,獵寶勤,2,1,4,45.93,46.45,-0.75,24.14,1.44,70.59,0.69,3 5 8,領航財子,城中勇士,競馬一心,湯普新,潘頓,4,127,135
2025-03-12,HV,grass,好/快,1200,499,02,獵寶勤,2,1,12,45.94,45.98,-1.22,23.54,0.84,69.52,-0.38,3 2 2,紅愛舍,獵寶勤,城中勇士,巴度,潘頓,4,126,135
2025-04-02,HV,grass,好/快,1200,556,02,獵寶勤,2,1,6,46.59,46.59,-0.61,23.16,0.46,69.75,-0.15,1 1 2,日馳千里,獵寶勤,樂加福,布文,潘頓,4,128,135
2025-04-30,HV,grass,好/快,1200,633,03,獵寶勤,2,1,9,46.05,46.25,-0.95,23.67,0.97,69.92,0.02,3 2 3,廚神,幸運旅程,獵寶勤,布文,潘頓,4,128,135
2025-05-21,HV,grass,好/快,1200,693,08,獵寶勤,2,1,1,46.49,46.89,-0.31,23.46,0.76,70.35,0.45,4 4 8,富國兄弟,燭光晚餐,天下寵兒,布文,潘頓,4,130,135
2025-06-04,HV,grass,好/黏,1650,731,07,獵寶勤,2,1,1,76.54,76.86,1.01,25.42,1.17,102.28,2.18,3 3 3 7,龍文鞭影,川河首駒,極速滿貫,艾道拿,潘頓,4,129,135
2025-06-25,HV,grass,好/快,1650,781,07,獵寶勤,2,1,11,75.64,75.64,-0.21,24.25,0.0,99.89,-0.21,1 1 1 7,奔妙星,康昌之星,華美之威,賀銘年,潘頓,4,124,135
2025-07-09,HV,grass,好/快,1200,821,03,獵寶勤,2,1,7,45.86,45.86,-1.34,24.21,1.51,70.07,0.17,1 1 3,維港激流,智勝攻略,獵寶勤,潘頓,潘頓,4,122,135
2025-09-17,HV,grass,好/快,1200,034,11,獵寶勤,2,1,11,46.23,46.95,-0.25,23.76,1.06,70.71,0.81,6 7 11,蓮冠皇,至合拍,翼羽陽明,田泰安,潘頓,4,121,135
2025-10-08,HV,grass,好/快,1200,078,03,獵寶勤,2,1,2,45.96,46.24,-0.96,23.19,0.49,69.43,-0.47,4 3 3,渡月橋,銀刺勇士,獵寶勤,田泰安,潘頓,4,120,135
2025-10-22,HV,grass,好,1200,117,03,獵寶勤,2,1,5,46.11,46.11,-1.09,24.41,1.71,70.52,0.62,1 1 3,勝多多,星光快驅,獵寶勤,田泰安,潘頓,4,120,135
2025-11-19,HV,grass,好,1200,194,07,獵寶勤,2,1,5,46.0,46.04,-1.16,24.54,1.84,70.58,0.68,2 2 7,翠湖烈風,紅錢到,亮寶,金誠剛,潘頓,4,117,135
2025-12-23,HV,grass,好,1200,284,02,獵寶勤,2,1,2,46.2,46.2,-1.15,23.66,0.91,69.86,-0.24,1 1 2,歷險大將,獵寶勤,快樂寶寶,艾道拿,潘頓,5,135,135
2026-01-14,HV,grass,好,1200,345,06,獵寶勤,2,1,11,45.84,45.92,-1.43,24.38,1.63,70.3,0.2,4 2 6,前衛火影,歷險大將,快樂寶寶,麥文堅,潘頓,5,135,135
