日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-27,HV,grass,好/快,1200,054,08,有財有勢,4,8,6,45.63,47.07,0.02,22.98,0.43,70.05,0.45,9 9 8,縱橫萬里,運高八斗,巴薩諾瓦,巴度,麥文堅,3,116,133
2023-10-18,HV,grass,好/黏,1000,093,04,有財有勢,4,8,5,34.25,35.09,-0.81,22.66,1.36,57.75,0.55,10 11 4,鑽飾翱翔,萬眾開心,精妙星,艾兆禮,麥文堅,4,135,133
2023-11-08,HV,grass,好,1200,153,01,有財有勢,4,8,4,46.21,46.93,-0.27,22.68,-0.02,69.61,-0.29,7 7 1,有財有勢,想見你,風中勁松,潘頓,麥文堅,4,135,133
2023-11-22,HV,grass,好,1200,194,02,有財有勢,4,8,6,46.08,47.04,-0.01,23.12,0.57,70.16,0.56,9 11 2,快搏,有財有勢,勇敢巨星,嘉里,麥文堅,3,122,133
2023-12-13,HV,grass,好,1200,250,03,有財有勢,4,8,6,45.85,47.01,-0.04,23.17,0.62,70.18,0.58,10 10 3,合夥雄心,勇敢巨星,有財有勢,潘頓,麥文堅,3,125,133
2023-12-29,HV,grass,好,1200,295,07,有財有勢,4,8,7,46.68,47.52,0.47,23.02,0.47,70.54,0.94,10 10 7,穿甲鷹,一代天嬌,炯炯有神,潘頓,麥文堅,3,125,133
2024-01-10,HV,grass,好,1200,332,03,有財有勢,4,8,3,46.75,47.75,0.7,22.55,0.0,70.3,0.7,11 10 3,合夥雄心,寰宇豐采,有財有勢,艾兆禮,麥文堅,3,126,133
2024-01-31,HV,grass,好,1200,386,04,有財有勢,4,8,8,46.13,47.17,0.12,23.01,0.46,70.18,0.58,10 9 4,好友心得,美麗第一,正氣青驅,潘明輝,麥文堅,3,123,133
2024-02-15,HV,grass,好,1200,422,01,有財有勢,4,8,11,46.83,47.95,0.9,22.56,0.01,70.51,0.91,9 9 1,有財有勢,巴薩諾瓦,顏色大皇,潘頓,麥文堅,3,127,133
2024-02-28,HV,grass,好,1200,463,03,有財有勢,4,8,2,46.73,47.45,0.4,23.53,0.98,70.98,1.38,8 7 3,鈁糖武士,旭日昇,有財有勢,賀銘年,麥文堅,3,128,133
2024-03-20,HV,grass,好,1200,521,05,有財有勢,4,8,6,46.84,47.72,0.67,22.44,-0.11,70.16,0.56,8 8 5,顏色大皇,撼天鐵翼,添開心,賀銘年,麥文堅,3,129,133
2024-05-15,HV,grass,好,1200,674,07,有財有勢,4,8,12,46.14,47.74,0.69,22.86,0.31,70.6,1.0,12 12 7,合夥奔馳,加州德至,太陽拍檔,艾道拿,麥文堅,3,128,133
2024-06-05,HV,grass,好/黏,1200,731,03,有財有勢,4,8,3,46.07,47.03,-0.02,23.74,1.19,70.77,1.17,11 9 3,加州德至,嘉應喝彩,有財有勢,潘頓,麥文堅,3,130,133
2024-06-26,HV,grass,好,1200,781,06,有財有勢,4,8,4,46.06,47.14,0.09,23.08,0.53,70.22,0.62,10 10 6,家樂龍駒,嘉應喝彩,皇帝英明,艾道拿,麥文堅,3,130,133
2024-12-11,HV,grass,好,1000,256,04,有財有勢,4,8,4,33.3,34.66,-0.99,22.68,1.68,57.34,0.69,11 12 4,巴薩諾瓦,年少多好,英雄豪邁,潘頓,麥文堅,3,129,133
2025-01-08,HV,grass,好,1200,335,06,有財有勢,4,8,2,45.86,46.7,-0.35,23.2,0.65,69.9,0.3,8 6 6,連連幸運,椒椒醒,競駿非凡,潘頓,麥文堅,3,127,133
2025-01-22,HV,grass,好,1200,375,02,有財有勢,4,8,10,45.98,47.3,0.25,22.28,-0.27,69.58,-0.02,11 11 2,觀天下,有財有勢,多利彩駒,艾兆禮,麥文堅,3,127,133
2025-02-05,HV,grass,好,1200,406,05,有財有勢,4,8,2,47.05,47.57,0.52,22.43,-0.12,70.0,0.4,9 8 5,耀寶駒,伊臣,天足貓,艾兆禮,麥文堅,3,124,133
2025-02-19,HV,grass,好,1200,445,07,有財有勢,4,8,7,46.77,47.85,0.8,22.7,0.15,70.55,0.95,12 12 7,得道猴王,椒椒醒,實力加,艾兆禮,麥文堅,3,127,133
2025-03-05,HV,grass,好,1200,484,06,有財有勢,4,8,8,46.56,47.92,0.87,22.45,-0.1,70.37,0.77,9 9 6,椒椒醒,川河動駒,鈁糖武士,莫雅,麥文堅,3,124,133
2025-03-19,HV,grass,好/快,1650,521,05,有財有勢,4,8,9,75.12,75.96,0.31,23.28,-0.97,99.24,-0.66,11 10 9 5,獨角獸,紅海勁,星價,艾道拿,麥文堅,3,122,133
2025-04-02,HV,grass,好/快,1650,560,07,有財有勢,4,8,9,75.01,75.93,0.28,23.31,-0.94,99.24,-0.66,11 11 11 7,唯美主義,時時精準,開心勇駒,巴度,麥文堅,3,118,133
2025-04-16,HV,grass,好/快,1650,600,01,有財有勢,4,8,1,75.6,76.36,0.71,22.89,-1.36,99.25,-0.65,7 7 7 1,有財有勢,智勇名駒,將義,艾兆禮,麥文堅,3,116,133
