日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-13,HV,grass,好,1650,015,07,精彩動力,6,5,6,76.5,77.3,1.65,23.78,-0.47,101.08,1.18,9 9 9 7,博望坡,赤馬雄風,精彩生活,班德禮,黃智弘 (-5),3,128,128
2023-09-27,HV,grass,好/快,1800,050,06,精彩動力,6,5,6,86.53,86.53,1.53,23.53,-0.92,110.06,0.61,8 1 1 1 6,天寅合一,歡欣福星,飛馬將軍,何澤堯,黃智弘 (-5),3,123,128
2023-10-25,ST,dirt,好,1650,116,01,精彩動力,6,5,6,74.13,74.41,-0.44,23.9,0.15,98.31,-0.29,11 7 4 1,精彩動力,火鑽,魅影獵飛,黃智弘,黃智弘 (-5),3,114,128
2023-11-08,HV,grass,好,1800,154,09,精彩動力,6,5,10,84.06,85.34,0.34,24.13,-0.32,109.47,0.02,11 11 10 11 9,中華英雄,多多勇駒,手到再來,蔡明紹,黃智弘 (-5),3,128,128
2023-12-03,ST,dirt,好,1650,219,05,精彩動力,6,5,10,74.94,75.82,0.97,23.19,-0.56,99.01,0.41,11 11 10 5,黃腳鱲,無心睡眠,嘉寶神駒,黃智弘,黃智弘 (-5),3,119,128
2023-12-23,ST,dirt,好,1650,277,03,精彩動力,6,5,5,74.42,74.98,0.13,23.95,0.2,98.93,0.33,12 12 8 3,魅影獵飛,手到再來,精彩動力,黃智弘,黃智弘 (-5),3,115,128
2024-01-24,ST,dirt,好,1650,368,04,精彩動力,6,5,7,74.1,75.14,0.29,23.31,-0.44,98.45,-0.15,14 14 9 4,無心睡眠,魅影獵飛,黃腳鱲,黃智弘,黃智弘 (-5),3,118,128
2024-05-29,ST,dirt,好,1650,711,03,精彩動力,6,5,2,75.39,75.87,1.02,23.46,-0.29,99.33,0.73,10 10 9 3,柏林探戈,好好心得,精彩動力,巴度,黃智弘 (-5),3,127,128
2024-06-23,ST,dirt,好,1650,763,02,精彩動力,6,5,2,76.15,76.35,1.5,23.03,-0.72,99.38,0.78,4 4 3 2,精英雄心,精彩動力,柏林探戈,黃智弘,黃智弘 (-5),3,115,128
2024-07-10,HV,grass,好/快,1800,820,06,精彩動力,6,5,1,84.9,85.58,0.58,23.59,-0.86,109.17,-0.28,10 9 9 8 6,港林福將,浪漫老撾,博望坡,何澤堯,黃智弘 (-5),3,127,128
2024-09-18,HV,grass,好,1650,033,06,精彩動力,6,5,5,75.26,76.02,0.37,24.2,-0.05,100.22,0.32,9 8 7 6,久久為攻,極速奇兵,駟跑得,布文,黃智弘 (-5),3,130,128
2024-10-23,ST,dirt,好,1650,127,04,精彩動力,6,5,4,75.08,75.08,0.23,25.0,1.25,100.08,1.48,1 1 1 4,都靈福星,堅闖,奮鬥心,黃智弘,黃智弘 (-5),3,123,128
2024-12-01,ST,dirt,好,1650,228,03,精彩動力,6,5,10,74.25,74.69,-0.16,24.02,0.27,98.71,0.11,10 10 8 3,精英雄心,堅闖,精彩動力,麥道朗,黃智弘 (-5),3,130,128
2024-12-18,ST,dirt,好,1650,276,10,精彩動力,6,5,7,73.88,74.68,-0.17,24.49,0.74,99.17,0.57,10 11 9 10,競駿光輝,堅闖,精英雄心,賀銘年,黃智弘 (-5),3,122,128
2025-01-26,ST,dirt,好,1650,386,01,精彩動力,6,5,1,73.99,74.43,-0.42,24.2,0.45,98.63,0.03,6 6 6 1,精彩動力,精英雄心,本領輝煌,巴度,黃智弘 (-5),3,125,128
2025-02-19,HV,grass,好,1800,443,07,精彩動力,6,5,10,84.09,85.29,0.29,23.66,-0.79,108.95,-0.5,11 10 9 11 7,快路,盈益善,久久為尊,巴度,黃智弘 (-5),3,125,128
2025-03-02,ST,dirt,好,1650,468,02,精彩動力,6,5,8,75.79,76.35,1.5,22.76,-0.99,99.11,0.51,11 9 6 2,艾莉奧,精彩動力,堅闖,莫雅,黃智弘 (-5),3,126,128
2025-03-26,ST,dirt,好,1650,541,07,精彩動力,6,5,10,74.94,76.06,1.21,22.69,-1.06,98.75,0.15,12 13 12 7,電訊巴打,天威,勝意,黃智弘,黃智弘 (-5),3,118,128
2025-12-27,ST,dirt,好,1650,301,12,精彩動力,6,5,10,75.58,76.5,1.65,24.25,0.5,100.75,2.15,14 14 11 12,新意馬,時時精準,不同世界,黃智弘,黃智弘 (-5),3,129,128
2026-01-21,ST,dirt,好,1200,372,09,精彩動力,6,5,3,44.58,45.94,-0.56,23.4,1.35,69.34,0.79,12 10 9,熾烈神駒,晶晶日上,穿甲戰鷹,巴度,黃智弘 (-5),3,132,128
