日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-10-01,ST,grass,好/快,1200,067,05,天外迎天,6,10,3,45.66,46.38,-0.52,23.16,0.71,69.54,0.19,8 7 5,好精神,帥帥友福,城中勇士,希威森,潘頓,4,130,127
2024-10-20,ST,grass,好/快,1200,114,06,天外迎天,6,10,3,45.98,46.62,-0.28,22.85,0.4,69.47,0.12,7 7 6,英勇快車,非凡達,辣得金,希威森,潘頓,4,128,127
2024-11-17,ST,grass,好,1200,184,07,天外迎天,6,10,14,46.14,47.14,0.24,22.64,0.19,69.78,0.43,14 12 7,喵喵怪,多彩多姿,大利好運,希威森,潘頓,4,127,127
2024-12-08,ST,grass,好,1400,241,11,天外迎天,6,10,6,59.02,59.66,1.06,23.58,0.18,83.24,1.24,10 10 10 11,包裝福星,保羅傳奇,安泰,希威森,潘頓,4,126,127
2024-12-29,ST,grass,好,1200,301,02,天外迎天,6,10,14,46.1,46.9,0.0,22.59,0.14,69.49,0.14,13 12 2,真心傳奇,天外迎天,加非凡,希威森,潘頓,4,122,127
2025-01-19,ST,grass,好,1200,357,02,天外迎天,6,10,8,46.71,47.23,0.33,22.62,0.17,69.85,0.5,10 10 2,天賜喜,天外迎天,飛躍成就,希威森,潘頓,4,122,127
2025-02-23,ST,grass,好,1200,450,07,天外迎天,6,10,2,46.75,47.39,0.49,22.79,0.34,70.18,0.83,12 11 7,跨境寶馬,魅影戈飛,燈胆將軍,希威森,潘頓,4,124,127
2025-03-30,ST,grass,好,1200,546,05,天外迎天,6,10,5,46.1,46.54,-0.36,23.08,0.63,69.62,0.27,7 6 5,小鳥天堂,特別美麗,笑喜喜,田泰安,潘頓,4,125,127
2025-04-23,HV,grass,好,1200,615,02,天外迎天,6,10,7,46.5,47.14,-0.06,22.51,-0.19,69.65,-0.25,5 5 2,富心星,天外迎天,新力,潘頓,潘頓,4,123,127
2025-05-14,HV,grass,好/快,1200,674,01,天外迎天,6,10,9,46.33,46.49,-0.71,23.37,0.67,69.86,-0.04,2 2 1,天外迎天,翹峯,心裡有數,潘頓,潘頓,4,125,127
2025-06-04,HV,grass,好/黏,1200,732,06,天外迎天,6,10,2,47.4,47.8,0.6,23.98,1.28,71.78,1.88,6 6 6,金駿星,智勝攻略,勇威神駒,潘頓,潘頓,4,131,127
2025-07-09,HV,grass,好/快,1200,825,02,天外迎天,6,10,8,45.97,46.53,-0.67,23.07,0.37,69.6,-0.3,7 7 2,祥勝力駒,天外迎天,領航財子,潘頓,潘頓,4,131,127
2025-09-10,HV,grass,好,1200,017,01,天外迎天,6,10,12,46.97,47.05,-0.15,22.97,0.27,70.02,0.12,4 3 1,天外迎天,東來欣賞,一生好彩,潘頓,潘頓,4,133,127
2025-10-08,HV,grass,好/快,1200,084,02,天外迎天,6,10,6,46.03,46.11,-0.94,23.1,0.55,69.21,-0.39,2 2 2,家樂龍駒,天外迎天,樂勝天下,潘頓,潘頓,3,121,127
2025-11-05,HV,grass,好/快,1200,158,10,天外迎天,6,10,6,45.83,46.03,-1.02,24.17,1.62,70.2,0.6,3 2 10,至尊瑰寶,椒椒醒,盈妍威楓,潘頓,潘頓,3,127,127
