日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-04,HV,grass,好/快,1000,068,06,家樂龍駒,1,5,2,33.37,34.37,-1.28,22.59,1.59,56.96,0.31,9 9 6,英雄豪邁,電氣騎士,財才,董明朗,奧爾民,3,122,135
2023-10-29,HV,grass,好,1200,127,07,家樂龍駒,1,5,9,47.39,48.03,0.98,22.89,0.34,70.92,1.32,9 8 7,金佰令,勇敢巨星,金哥兒,艾道拿,奧爾民,3,122,135
2023-11-15,HV,grass,好,1000,168,08,家樂龍駒,1,5,1,33.41,34.85,-0.8,22.63,1.63,57.48,0.83,7 8 8,財才,浪茄仔,帖木兒,艾道拿,奧爾民,3,121,135
2024-01-07,ST,grass,好,1000,319,06,家樂龍駒,1,5,7,33.71,34.83,-0.97,23.08,2.43,57.91,1.46,9 9 6,怡心聲,萬里飛至,不可擋,巴度,奧爾民,3,120,135
2024-02-15,HV,grass,好,1200,422,05,家樂龍駒,1,5,6,46.83,47.71,0.66,23.01,0.46,70.72,1.12,8 8 5,有財有勢,巴薩諾瓦,顏色大皇,巴度,奧爾民,3,122,135
2024-03-13,HV,grass,好,1200,499,04,家樂龍駒,1,5,5,46.69,47.13,0.08,23.1,0.55,70.23,0.63,6 6 4,精算暴雪,旭日昇,鈁糖武士,巴度,奧爾民,3,117,135
2024-04-17,HV,grass,好,1200,595,02,家樂龍駒,1,5,5,46.52,47.56,0.51,22.96,0.41,70.52,0.92,7 6 2,八駿巨昇,無限美麗,家樂龍駒,田泰安,奧爾民,3,120,135
2024-05-08,HV,grass,好,1200,655,03,家樂龍駒,1,5,10,46.04,47.48,0.43,23.06,0.51,70.54,0.94,10 10 3,撼天鐵翼,時尚風趣,家樂龍駒,巴度,奧爾民,3,115,135
2024-06-05,HV,grass,好/黏,1200,730,02,家樂龍駒,1,5,2,45.54,47.14,0.09,23.39,0.84,70.53,0.93,10 10 2,天足貓,家樂龍駒,鈦易搵,巴度,奧爾民,3,118,135
2024-06-26,HV,grass,好,1200,781,01,家樂龍駒,1,5,6,46.06,46.54,-0.51,22.92,0.37,69.46,-0.14,5 5 1,家樂龍駒,嘉應喝彩,皇帝英明,田泰安,奧爾民,3,121,135
2024-10-16,HV,grass,好/快,1200,110,01,家樂龍駒,1,5,2,46.07,46.63,-0.42,23.02,0.47,69.65,0.05,9 8 1,家樂龍駒,得道猴王,伊臣,潘頓,奧爾民,3,125,135
2024-12-04,HV,grass,好,1200,238,02,家樂龍駒,1,5,2,46.49,47.41,0.36,22.37,-0.18,69.78,0.18,11 11 2,晨曦儷人,家樂龍駒,時尚風趣,簡國能,奧爾民,3,131,135
2024-12-26,HV,grass,好,1200,295,09,家樂龍駒,1,5,6,45.96,47.12,0.07,22.85,0.3,69.97,0.37,12 11 9,晨曦儷人,美麗緣分,雪勇神駒,布文,奧爾民,3,132,135
2025-01-08,HV,grass,好,1200,335,05,家樂龍駒,1,5,4,45.86,47.06,0.01,22.73,0.18,69.79,0.19,9 9 5,連連幸運,椒椒醒,競駿非凡,田泰安,奧爾民,3,133,135
2025-02-05,HV,grass,好,1200,406,07,家樂龍駒,1,5,3,47.05,47.37,0.32,22.85,0.3,70.22,0.62,6 5 7,耀寶駒,伊臣,天足貓,田泰安,奧爾民,3,130,135
2025-02-26,HV,grass,好,1200,464,04,家樂龍駒,1,5,6,46.57,47.13,0.08,22.36,-0.19,69.49,-0.11,7 6 4,晨曦儷人,多利彩駒,耀寶駒,田泰安,奧爾民,3,127,135
2025-06-25,HV,grass,好/快,1200,786,08,家樂龍駒,1,5,10,46.64,47.52,0.47,22.37,-0.18,69.89,0.29,12 12 8,騰龍四海,電源之駒,競駿非凡,艾道拿,奧爾民,3,129,135
2025-07-16,HV,grass,好/快,1200,847,05,家樂龍駒,1,5,1,45.43,46.19,-0.86,23.18,0.63,69.37,-0.23,8 10 5,至尊瑰寶,勇霸龍,維港激流,田泰安,奧爾民,3,127,135
2025-10-08,HV,grass,好/快,1200,084,01,家樂龍駒,1,5,1,46.03,46.27,-0.78,22.81,0.26,69.08,-0.52,5 3 1,家樂龍駒,天外迎天,樂勝天下,田泰安,奧爾民,3,124,135
2025-11-26,HV,grass,好/快,1200,216,03,家樂龍駒,1,5,4,46.42,47.18,0.13,22.88,0.33,70.06,0.46,8 9 3,安康萬里,盈妍威楓,家樂龍駒,田泰安,奧爾民,3,135,135
2025-12-10,HV,grass,好,1200,252,10,家樂龍駒,1,5,12,46.06,47.42,0.37,23.07,0.52,70.49,0.89,12 11 10,凱旋升,飛輪霸,三軍勇將,潘頓,奧爾民,3,135,135
