日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-06-04,HV,grass,好/黏,1200,732,10,福星小子,11,7,11,47.4,48.04,0.84,24.02,1.32,72.06,2.16,11 10 10,金駿星,智勝攻略,勇威神駒,奧爾民,艾兆禮,4,127,120
2025-06-25,HV,grass,好/快,1200,783,04,福星小子,11,7,3,46.76,47.16,-0.04,23.32,0.62,70.48,0.58,4 5 4,快搏,星之願,可靠大師,湯普新,艾兆禮,4,127,120
2025-07-16,HV,grass,好/快,1200,840,08,福星小子,11,7,11,45.83,46.31,-0.89,23.68,0.98,69.99,0.09,5 6 8,仁仁有餘,紅錢到,東來欣賞,田泰安,艾兆禮,4,126,120
2025-09-17,HV,grass,好,1200,030,05,福星小子,11,7,4,46.87,47.31,0.11,22.8,0.1,70.11,0.21,4 5 5,三軍勇將,加州本事,電訊驕陽,艾道拿,艾兆禮,4,124,120
2025-10-08,HV,grass,好/快,1000,080,09,福星小子,11,7,5,33.87,34.35,-1.55,23.45,2.15,57.8,0.6,6 7 9,勝萬金,超強六十,瑤瑤日上,艾兆禮,艾兆禮,4,122,120
2025-11-02,HV,grass,好/快,1200,142,07,福星小子,11,7,1,45.99,46.47,-0.73,23.47,0.77,69.94,0.04,4 4 7,花好月盈,飛躍成就,大千絕塵,艾兆禮,艾兆禮,4,121,120
2025-11-23,ST,grass,好,1200,198,11,福星小子,11,7,10,46.0,46.56,-0.34,23.4,0.95,69.96,0.61,5 6 11,馬寶寶,亨驥,福聚,艾兆禮,艾兆禮,4,118,120
2025-12-17,HV,grass,好,1200,270,01,福星小子,11,7,1,46.95,47.23,0.03,22.82,0.12,70.05,0.15,4 4 1,福星小子,喵喵怪,自動自覺,艾兆禮,艾兆禮,4,117,120
2026-01-07,HV,grass,好,1200,326,01,福星小子,11,7,4,46.12,46.36,-0.84,23.25,0.55,69.61,-0.29,4 4 1,福星小子,多多好馬,電玩精英,艾兆禮,艾兆禮,4,123,120
2026-01-28,HV,grass,好/快,1200,390,01,福星小子,11,7,2,46.79,47.07,-0.13,22.58,-0.12,69.65,-0.25,3 3 1,福星小子,喵喵怪,雷神太保,艾兆禮,艾兆禮,4,130,120
