日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-12-10,ST,grass,好,1200,232,04,椒椒醒,4,8,14,45.59,46.47,-0.43,24.07,1.62,70.54,1.19,11 11 4,華麗再勝,風雲武士,幸運星球,希威森,麥文堅,4,128,126
2024-01-01,ST,grass,好,1200,297,12,椒椒醒,4,8,13,45.95,46.23,-0.67,25.49,3.04,71.72,2.37,3 4 12,光年八十,快狠準,帥炸,希威森,麥文堅,4,129,126
2024-02-12,ST,grass,好,1200,409,03,椒椒醒,4,8,2,46.55,46.63,-0.27,23.52,1.07,70.15,0.8,2 2 3,拍馬難追,手機錶霸,椒椒醒,霍宏聲,麥文堅,4,126,126
2024-02-25,ST,grass,好,1200,450,05,椒椒醒,4,8,3,46.34,46.58,-0.32,23.53,1.08,70.11,0.76,4 3 5,龍之輝,增強,新力好,霍宏聲,麥文堅,4,127,126
2024-03-24,ST,grass,好/快,1400,527,08,椒椒醒,4,8,11,57.92,58.64,0.04,23.57,0.17,82.21,0.21,6 9 9 8,忠誠寶寶,艾莉奧,金駿星,霍宏聲,麥文堅,4,125,126
2024-04-28,ST,grass,黏,1200,619,07,椒椒醒,4,8,1,46.71,47.43,0.53,23.34,0.89,70.77,1.42,9 8 7,鑽石星空,輝煌精英,開心寶寶,霍宏聲,麥文堅,4,121,126
2024-05-15,HV,grass,好,1200,673,02,椒椒醒,4,8,9,46.71,47.43,0.23,23.48,0.78,70.91,1.01,7 6 2,砂漿金剛,椒椒醒,背背龍,巴度,麥文堅,4,120,126
2024-06-12,HV,grass,好,1200,745,05,椒椒醒,4,8,7,46.92,47.68,0.48,22.99,0.29,70.67,0.77,8 8 5,東來欣賞,旅遊高球,必先生,巴度,麥文堅,4,121,126
2024-07-04,HV,grass,好,1200,796,01,椒椒醒,4,8,9,45.7,46.42,-0.78,23.41,0.71,69.83,-0.07,8 5 1,椒椒醒,金匯昇昇,晨曦儷人,巴度,麥文堅,4,121,126
2024-09-25,HV,grass,好,1200,053,01,椒椒醒,4,8,3,46.24,46.76,-0.44,23.16,0.46,69.92,0.02,6 7 1,椒椒醒,新幹線,飛雲,巴度,麥文堅,4,125,126
2024-10-16,HV,grass,好/快,1200,107,01,椒椒醒,4,8,7,45.91,46.63,-0.57,22.61,-0.09,69.24,-0.66,7 7 1,椒椒醒,勇霸龍,美麗緣分,巴度,麥文堅,4,131,126
