日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-27,HV,grass,好/快,1200,054,02,運高八斗,6,1,8,45.63,46.19,-0.86,23.2,0.65,69.39,-0.21,3 4 2,縱橫萬里,運高八斗,巴薩諾瓦,董明朗,艾道拿,3,131,122
2023-10-18,HV,grass,黏,1200,100,06,運高八斗,6,1,12,46.39,46.59,-0.46,24.64,2.09,71.23,1.63,2 2 6,合夥雄心,小霸王,旋風飛影,鍾易禮,艾道拿,3,124,122
2023-11-01,HV,grass,好,1000,131,05,運高八斗,6,1,3,33.74,33.98,-1.67,23.7,2.7,57.68,1.03,5 4 5,電氣騎士,財才,帖木兒,班德禮,艾道拿,3,135,122
2023-12-13,HV,grass,好,1200,250,07,運高八斗,6,1,5,45.85,46.01,-1.04,24.64,2.09,70.65,1.05,3 2 7,合夥雄心,勇敢巨星,有財有勢,董明朗,艾道拿,3,131,122
2024-01-07,ST,dirt,好,1200,322,09,運高八斗,6,1,6,45.29,45.81,-0.69,23.21,1.16,69.02,0.47,8 6 9,喜至寶,好拍檔,八心八箭,董明朗,艾道拿,3,129,122
2024-01-17,HV,grass,好,1650,349,07,運高八斗,6,1,1,76.41,76.61,0.96,24.6,0.35,101.21,1.31,3 4 4 7,獨角獸,錶之量子,加州偟者,潘明輝,艾道拿,3,127,122
2024-02-07,HV,grass,好,1650,404,05,運高八斗,6,1,12,76.36,76.72,1.07,24.56,0.31,101.28,1.38,3 4 4 5,十八掌,飛輪步,美麗滿滿,潘明輝,艾道拿,3,120,122
2024-03-06,HV,grass,好,1650,479,05,運高八斗,6,1,8,77.03,77.15,1.5,24.16,-0.09,101.31,1.41,2 2 2 5,赤兔猴王,又龍串鳳,威武覺醒,班德禮,艾道拿,3,123,122
2024-03-27,HV,grass,好,1650,539,08,運高八斗,6,1,7,76.14,76.5,0.85,24.51,0.26,101.01,1.11,4 4 4 8,展宏圖,飛漲,錶之量子,潘明輝,艾道拿,3,120,122
2024-04-17,HV,grass,好,1650,597,10,運高八斗,6,1,7,77.42,77.58,1.93,24.15,-0.1,101.73,1.83,2 2 2 10,飛漲,赤兔猴王,跑得好快,田泰安,艾道拿,3,122,122
