日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-11-24,ST,grass,好/快,1200,210,05,安都,10,10,12,45.71,46.71,0.06,22.26,-0.09,68.97,-0.03,12 10 5,駿步騰飛,耀寶,同祥和順,何澤堯,艾兆禮,3,119,123
2024-12-15,ST,grass,好,1200,267,10,安都,10,10,12,47.31,48.71,2.06,28.61,6.26,77.32,8.32,12 11 10,駿步騰飛,喵喵怪,英勇快車,何澤堯,艾兆禮,3,122,123
2025-01-01,ST,grass,好,1200,316,08,安都,10,10,6,46.11,46.51,-0.14,23.69,1.34,70.2,1.2,3 4 8,舞林密碼,友愛心得,安康萬里,艾道拿,艾兆禮,3,121,123
2025-01-26,ST,grass,好,1200,385,10,安都,10,10,3,46.64,47.08,0.43,23.09,0.74,70.17,1.17,7 7 10,膨才,馬上盈,飲杯,艾兆禮,艾兆禮,3,122,123
2025-02-19,HV,grass,好,1200,445,08,安都,10,10,4,46.77,47.77,0.72,22.83,0.28,70.6,1.0,11 11 8,得道猴王,椒椒醒,實力加,杜苑欣,艾兆禮,3,118,123
2025-03-05,HV,grass,好,1200,479,04,安都,10,10,6,45.97,46.73,-0.47,23.24,0.54,69.97,0.07,7 7 4,騰龍四海,電訊驕陽,猛將兄,莫雅,艾兆禮,4,134,123
2025-03-30,ST,grass,好,1400,550,09,安都,10,10,5,57.81,59.25,0.65,23.09,-0.31,82.34,0.34,10 11 10 9,南區之星,開心宇宙,劍無名,艾道拿,艾兆禮,4,134,123
2025-04-30,HV,grass,好/快,1200,635,09,安都,10,10,12,45.83,47.79,0.59,22.24,-0.46,70.03,0.13,12 12 9,天下寵兒,快搏,鄉村樂韻,布文,艾兆禮,4,131,123
2025-05-21,HV,grass,好/快,1200,688,03,安都,10,10,3,46.04,46.48,-0.72,22.9,0.2,69.38,-0.52,5 5 3,新力,寶進,安都,布文,艾兆禮,4,130,123
2025-06-14,ST,grass,好,1400,762,04,安都,10,10,12,58.0,59.2,0.6,23.09,-0.31,82.29,0.29,14 14 13 4,哈羅威,環球英雄,龍城強將,布文,艾兆禮,4,129,123
2025-07-05,ST,grass,好/快,1400,813,01,安都,10,10,4,58.88,59.08,0.48,22.7,-0.7,81.78,-0.22,7 6 5 1,安都,多彩多姿,博愛先鋒,布文,艾兆禮,4,128,123
2025-07-16,HV,grass,好/快,1650,844,08,安都,10,10,8,75.72,76.2,0.35,23.99,-0.26,100.19,0.09,3 4 5 8,奔妙星,北海盜,爭金奪冠,布文,艾兆禮,4,134,123
2025-12-14,ST,grass,好,1400,254,02,安都,10,10,12,58.7,59.7,1.1,22.91,-0.49,82.61,0.61,13 13 13 2,金滙千帥,安都,隼風雲,韋紀力,艾兆禮,4,132,123
2026-01-01,ST,grass,好,1600,309,01,安都,10,10,1,70.58,70.98,-0.12,23.29,-0.51,94.27,-0.63,8 9 8 1,安都,開心宇宙,黃金騎士,紀仁安,艾兆禮,4,135,123
2026-01-18,ST,grass,好/快,1600,364,06,安都,10,10,12,70.85,71.77,0.87,22.95,-0.85,94.72,0.02,13 13 14 6,錶之宇宙,友瑩光,幸運派彩,紀仁安,艾兆禮,3,124,123
2026-02-01,ST,grass,好,1600,403,04,安都,10,10,14,70.62,71.46,0.56,22.7,-1.1,94.16,-0.54,13 12 12 4,一生好彩,紫荊傳令,天然數字,艾兆禮,艾兆禮,3,119,123
