日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-01-19,ST,grass,好,1200,357,05,精算激流,7,4,7,46.71,47.43,0.53,22.54,0.09,69.97,0.62,12 12 5,天賜喜,天外迎天,飛躍成就,巴度,田泰安,4,127,131
2025-02-09,ST,grass,好,1200,411,07,精算激流,7,4,11,46.19,47.59,0.69,22.62,0.17,70.21,0.86,12 12 7,戀愛狂,超越夢想,金風萬里,巴度,田泰安,4,127,131
2025-03-09,ST,grass,好/快,1200,487,05,精算激流,7,4,6,47.44,48.04,1.14,22.26,-0.19,70.3,0.95,8 7 5,天星,海綠寶,閃光燈,巴度,田泰安,4,126,131
2025-04-06,ST,grass,好,1400,569,04,精算激流,7,4,2,57.86,58.42,-0.18,23.47,0.07,81.89,-0.11,6 7 5 4,紅衣醒目,準輝煌,紫荊拼搏,布文,田泰安,4,126,131
2025-04-20,ST,grass,好/快,1600,604,14,精算激流,7,4,10,69.41,70.45,-0.65,26.11,2.31,96.56,1.66,5 6 9 14,光明傳承,開心宇宙,準輝煌,湯普新,田泰安,4,127,131
2025-05-28,HV,grass,好/快,1650,715,09,精算激流,7,4,10,75.57,76.69,0.84,24.58,0.33,101.27,1.17,11 11 11 9,滿心星,奮鬥輝煌,爆笑,艾兆禮,田泰安,4,124,131
2025-06-28,ST,grass,好,1400,795,10,精算激流,7,4,2,57.95,58.35,-0.25,24.08,0.68,82.43,0.43,5 6 6 10,同心同樂,一生好彩,糖不甩,巴度,田泰安,4,122,131
2025-07-13,ST,grass,好/快,1400,833,01,精算激流,7,4,2,58.71,59.03,0.43,22.73,-0.67,81.76,-0.24,4 3 4 1,精算激流,做好自己,銳一,田泰安,田泰安,4,122,131
2025-09-14,ST,grass,好/快,1400,022,03,精算激流,7,4,8,57.9,58.14,-0.46,23.4,0.0,81.54,-0.46,7 5 7 3,糖不甩,醒目先駒,精算激流,田泰安,田泰安,4,127,131
2025-10-01,ST,grass,好/快,1400,061,04,精算激流,7,4,7,58.42,58.74,0.14,23.42,0.02,82.16,0.16,8 8 7 4,白鷺金剛,如蝶翩翩,銀騰,艾道拿,田泰安,4,130,131
2025-10-19,ST,grass,好/快,1400,107,05,精算激流,7,4,12,57.82,58.14,-0.46,23.7,0.3,81.84,-0.16,6 6 5 5,豐辰,戀愛狂,黃金騎士,艾道拿,田泰安,4,128,131
2025-11-23,ST,grass,好,1400,200,09,精算激流,7,4,1,58.08,58.52,-0.08,23.85,0.45,82.37,0.37,6 6 5 9,做好自己,哪吒,嵐臣,艾道拿,田泰安,4,128,131
2025-12-20,ST,grass,好,1400,278,04,精算激流,7,4,13,58.1,58.74,0.14,23.48,0.08,82.22,0.22,9 8 8 4,嵐臣,威武年代,競駿天下,艾道拿,田泰安,4,127,131
2026-01-01,ST,grass,好,1400,308,01,精算激流,7,4,12,58.12,58.6,0.0,23.5,0.1,82.1,0.1,7 9 9 1,精算激流,爆出美麗,卓越蒨鋒,艾道拿,田泰安,4,126,131
2026-01-18,ST,grass,好,1400,357,04,精算激流,7,4,13,58.0,59.04,0.44,22.86,-0.54,81.9,-0.1,11 13 14 4,雙星報喜,超開心,超風速,艾道拿,田泰安,4,131,131
2026-02-01,ST,grass,好,1400,402,07,精算激流,7,4,12,58.01,59.17,0.57,23.17,-0.23,82.34,0.34,12 14 14 7,金滙千帥,綫路萬里,嵐臣,艾道拿,田泰安,4,131,131
