日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-17,ST,grass,好,1600,024,11,八駿笑昇,8,6,8,71.58,72.34,1.24,23.55,-0.25,95.89,0.99,11 11 12 11,巴基之友,幸運雄威,龍船快,鍾易禮,艾兆禮,4,128,124
2023-10-01,ST,grass,好,1600,061,12,八駿笑昇,8,6,4,72.29,72.97,1.87,23.25,-0.55,96.22,1.32,12 12 12 12,禪勝輝煌,唯美主義,將俠,艾道拿,艾兆禮,4,133,124
2023-11-11,ST,grass,好,1600,164,10,八駿笑昇,8,6,9,71.83,72.51,1.41,23.92,0.12,96.43,1.53,13 11 12 10,唯美主義,佳福駒,精算特殊,鍾易禮,艾兆禮,4,128,124
2023-12-13,HV,grass,好,1800,244,06,八駿笑昇,8,6,3,86.13,86.89,1.59,23.92,-0.43,110.81,1.16,9 9 9 8 6,建測羣英,但求快活,龍船快,鍾易禮,艾兆禮,4,124,124
2024-01-07,ST,grass,好,1800,318,11,八駿笑昇,8,6,14,84.08,85.48,1.83,23.71,-0.49,109.19,1.34,14 14 13 13 11,精算特殊,滿多福,年年友福,希威森,艾兆禮,4,127,124
2024-01-17,HV,grass,好,1800,344,03,八駿笑昇,8,6,1,87.21,87.73,2.43,23.54,-0.81,111.27,1.62,6 5 5 5 3,滿多福,同寶寶,八駿笑昇,班德禮,艾兆禮,4,125,124
2024-02-07,HV,grass,好,2200,399,03,八駿笑昇,8,6,7,113.71,114.39,1.64,24.26,-0.04,138.65,1.6,7 7 7 7 7 3,夢照發,一支箭,八駿笑昇,班德禮,艾兆禮,4,127,124
2024-02-21,HV,grass,好,1800,441,01,八駿笑昇,8,6,1,85.39,85.95,0.65,23.87,-0.48,109.82,0.17,5 4 5 5 1,八駿笑昇,龍船快,家樂飛駒,班德禮,艾兆禮,4,130,124
2024-03-06,HV,grass,好,1800,477,02,八駿笑昇,8,6,11,85.86,86.9,1.6,24.26,-0.09,111.16,1.51,12 12 12 11 2,華卓晴,八駿笑昇,飛馬將軍,班德禮,艾兆禮,4,132,124
2024-05-08,HV,grass,好,1800,652,07,八駿笑昇,8,6,11,86.26,87.1,1.8,24.42,0.07,111.52,1.87,9 11 11 9 7,波爾多,龍船快,風雷暴,班德禮,艾兆禮,4,135,124
2024-06-05,HV,grass,好/黏,2200,724,02,八駿笑昇,8,6,11,113.31,114.19,1.44,24.53,0.23,138.72,1.67,11 11 11 11 10 2,一支箭,八駿笑昇,多多勇駒,班德禮,艾兆禮,4,132,124
2024-06-23,ST,grass,好/快,1800,765,04,八駿笑昇,8,6,12,84.71,85.75,2.1,22.53,-1.67,108.28,0.43,13 13 12 10 4,春風萬里,小飛俠,風火恆雲,班德禮,艾兆禮,4,135,124
2024-07-04,HV,grass,好,1800,798,05,八駿笑昇,8,6,2,84.23,84.91,-0.39,24.59,0.24,109.5,-0.15,7 7 7 7 5,春風萬里,大將,龍船快,班德禮,艾兆禮,4,135,124
2024-09-18,HV,grass,好,1800,034,11,八駿笑昇,8,6,6,86.12,86.96,1.66,24.32,-0.03,111.28,1.63,11 8 8 9 11,龍船快,皇仁福星,風雷暴,班德禮,艾兆禮,4,135,124
2024-10-27,HV,grass,好,1800,134,09,八駿笑昇,8,6,12,85.54,86.7,1.4,23.63,-0.72,110.33,0.68,10 10 10 10 9,盈益善,符號,皇仁福星,班德禮,艾兆禮,4,131,124
2024-11-27,HV,grass,好,2200,215,04,八駿笑昇,8,6,10,112.5,113.22,0.47,23.49,-0.81,136.71,-0.34,10 12 12 12 12 4,亞福得寶,管之友,盈益善,班德禮,艾兆禮,4,131,124
2024-12-22,ST,grass,好,2000,282,03,八駿笑昇,8,6,13,99.86,100.34,1.94,23.27,-0.68,123.61,1.26,13 13 13 9 3,富喜來,神駒馬靈,八駿笑昇,潘頓,艾兆禮,4,129,124
2025-01-26,ST,grass,好,2000,380,06,八駿笑昇,8,6,11,98.48,99.44,1.04,23.65,-0.3,123.09,0.74,10 10 10 10 6,小飛俠,發財秘笈,管之友,潘頓,艾兆禮,4,129,124
2025-02-26,HV,grass,好,2200,458,01,八駿笑昇,8,6,1,113.44,113.84,1.09,23.07,-1.23,136.91,-0.14,4 4 4 4 4 1,八駿笑昇,客家之光,小飛俠,班德禮,艾兆禮,4,127,124
2025-03-15,ST,grass,好/快,1800,509,11,八駿笑昇,8,6,9,84.46,85.38,1.73,22.68,-1.52,108.06,0.21,14 14 14 14 11,金主,架勢奇爸,祥勝將軍,班德禮,艾兆禮,4,133,124
2025-03-30,ST,grass,好,2000,543,11,八駿笑昇,8,6,8,97.97,99.09,0.69,24.44,0.49,123.53,1.18,11 11 11 12 11,勁大威猛,管之友,捷足奔馳,班德禮,艾兆禮,4,134,124
2025-04-16,HV,grass,好/快,2200,593,03,八駿笑昇,8,6,11,112.51,112.51,-0.24,24.53,0.23,137.04,-0.01,11 11 11 4 1 3,管之友,幸運同行,八駿笑昇,班德禮,艾兆禮,4,134,124
2025-05-07,HV,grass,好,2200,652,07,八駿笑昇,8,6,5,113.5,114.34,1.59,24.28,-0.02,138.62,1.57,6 8 9 9 9 7,幸運同行,客家之光,管之友,班德禮,艾兆禮,4,134,124
2025-05-28,HV,grass,好/快,2200,710,10,八駿笑昇,8,6,10,110.72,111.52,-1.23,25.33,1.03,136.85,-0.2,11 10 10 10 12 10,平海之星,幸運同行,夢照發,班德禮,艾兆禮,4,131,124
2025-06-28,ST,grass,好,2000,791,11,八駿笑昇,8,6,11,98.53,99.45,1.05,23.81,-0.14,123.26,0.91,12 12 12 11 11,三江飛輪,管之友,步風雷,班德禮,艾兆禮,4,129,124
2025-10-26,ST,grass,好/快,1600,126,07,八駿笑昇,8,6,6,70.22,70.9,-0.2,23.46,-0.34,94.36,-0.54,13 13 11 7,長峰小子,光明傳承,創科群英,潘頓,艾兆禮,4,126,124
2025-11-15,ST,grass,好,2000,181,03,八駿笑昇,8,6,4,98.14,98.66,0.26,23.93,-0.02,122.59,0.24,10 10 8 7 3,雙贏,智多多寶,八駿笑昇,潘頓,艾兆禮,4,126,124
2025-12-03,HV,grass,好,2200,228,07,八駿笑昇,8,6,5,111.12,111.52,-1.23,24.64,0.34,136.16,-0.89,7 7 6 6 5 7,雙贏,寶賢得得,包裝旋風,潘頓,艾兆禮,4,125,124
2026-01-01,ST,grass,好,2000,307,04,八駿笑昇,8,6,4,100.27,100.71,2.31,22.99,-0.96,123.7,1.35,6 6 6 6 4,耀昌勝世,風火恆雲,包裝旋風,班德禮,艾兆禮,4,124,124
2026-01-21,ST,dirt,好,1800,370,12,八駿笑昇,8,6,11,84.37,85.45,0.55,23.41,-0.24,108.86,0.31,14 14 14 14 12,年年友福,小飛俠,風起雲湧,班德禮,艾兆禮,4,124,124
