日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-24,ST,dirt,好,1650,040,10,精算特殊,9,14,6,75.1,76.66,1.41,26.62,2.82,103.28,4.23,6 8 10 10,滿冠熊,妙算歡騰,紅粉豐彩,周俊樂,希威森,4,126,124
2023-11-11,ST,grass,好,1600,164,03,精算特殊,9,14,3,71.83,72.11,1.01,23.59,-0.21,95.7,0.8,4 5 4 3,唯美主義,佳福駒,精算特殊,周俊樂,希威森,4,123,124
2023-12-23,ST,dirt,好,1650,273,07,精算特殊,9,14,8,75.3,75.98,0.73,24.28,0.48,100.26,1.21,8 8 10 7,雪山神駒,歡喜福星,世澤歆星,周俊樂,希威森,4,123,124
2024-01-07,ST,grass,好,1800,318,01,精算特殊,9,14,1,84.08,84.08,0.43,24.05,-0.15,108.13,0.28,2 1 1 1 1,精算特殊,滿多福,年年友福,周俊樂,希威森,4,120,124
2024-01-28,ST,grass,好,2000,369,06,精算特殊,9,14,10,96.72,96.72,-1.68,26.41,2.46,123.13,0.78,1 1 1 1 6,翔龍再現,一支箭,夢照發,周俊樂,希威森,4,127,124
2024-02-25,ST,grass,好,2000,446,07,精算特殊,9,14,6,98.96,99.4,1.0,24.17,0.22,123.57,1.22,5 5 5 7 7,嘉寶神駒,得勝多,活力多多,周俊樂,希威森,4,124,124
2024-03-16,ST,grass,好,1800,506,08,精算特殊,9,14,6,83.27,83.35,-0.3,25.51,1.31,108.86,1.01,6 7 7 3 8,領航宇宙,一舖到位,十二神將,周俊樂,希威森,4,129,124
2024-04-07,ST,grass,好,2000,560,13,精算特殊,9,14,11,96.55,96.59,-1.81,27.21,3.26,123.8,1.45,1 1 1 2 13,逐步贏,赤火驍龍,永勝金駒,希威森,希威森,4,125,124
2024-04-28,ST,grass,黏,2000,617,05,精算特殊,9,14,5,99.43,100.03,1.63,24.1,0.15,124.13,1.78,3 5 5 4 5,赤火驍龍,夢照發,波爾多,周俊樂,希威森,4,123,124
2024-05-19,ST,grass,好,1800,679,04,精算特殊,9,14,14,83.15,83.27,-0.38,24.99,0.79,108.26,0.41,9 1 1 2 4,鐵三角,春風萬里,勤德威力,周俊樂,希威森,4,121,124
2024-06-08,ST,grass,好,1600,740,03,精算特殊,9,14,9,70.48,71.08,-0.02,24.27,0.47,95.35,0.45,7 5 3 3,艾莉奧,勝意,精算特殊,希威森,希威森,4,120,124
2024-07-04,HV,grass,好,1800,798,07,精算特殊,9,14,4,84.23,84.43,-0.87,25.62,1.27,110.05,0.4,3 3 3 3 7,春風萬里,大將,龍船快,希威森,希威森,4,120,124
2024-09-15,ST,grass,好/快,1600,019,02,精算特殊,9,14,5,70.63,71.31,0.21,22.46,-1.34,93.77,-1.13,6 6 6 2,共享富裕,精算特殊,神駒馬靈,希威森,希威森,4,117,124
2024-10-01,ST,grass,好/快,1800,070,05,精算特殊,9,14,8,83.9,83.9,0.25,24.13,-0.07,108.03,0.18,3 1 1 1 5,國大合,一支箭,慶萬家,潘頓,希威森,4,121,124
2024-11-03,ST,grass,好/快,1600,149,07,精算特殊,9,14,13,71.18,71.3,0.2,23.79,-0.01,95.09,0.19,9 6 3 7,加州動員,連連歡呼,神駒馬靈,潘頓,希威森,4,120,124
2024-11-24,ST,grass,好,1600,207,09,精算特殊,9,14,11,69.9,70.06,-1.04,25.03,1.23,95.09,0.19,4 3 2 9,江南勇士,昭易搵,連連歡呼,希威森,希威森,4,119,124
2024-12-22,ST,grass,好,1600,277,11,精算特殊,9,14,10,71.29,71.29,-0.31,25.0,1.15,96.29,0.84,3 2 2 11,紅鬃烈馬,馬特峰,駿彩飛馳,潘頓,希威森,5,135,124
2025-02-09,ST,grass,好,1400,407,01,精算特殊,9,14,10,58.72,59.4,0.45,23.04,-0.31,82.44,0.14,11 11 11 1,精算特殊,凱旋幸運,帝豪歡星,希威森,希威森,5,133,124
2025-03-02,ST,grass,好,1400,470,07,精算特殊,9,14,5,58.89,59.37,0.77,23.2,-0.2,82.57,0.57,9 8 6 7,幸運芙蓉,開心五月,精益大師,麥當能,希威森,4,120,124
2025-03-23,ST,grass,好/快,1600,529,03,精算特殊,9,14,5,71.27,71.75,0.65,22.74,-1.06,94.49,-0.41,9 9 7 3,八仟財陞,滿心星,時時稱心,梁家俊,希威森,4,121,124
2025-04-06,ST,grass,好,1600,565,04,精算特殊,9,14,12,71.38,71.58,0.48,23.63,-0.17,95.21,0.31,2 2 2 4,開心五月,江南勇士,東方飛影,梁家俊,希威森,4,121,124
2025-05-04,ST,grass,好/快,1600,644,03,精算特殊,9,14,1,71.06,71.14,0.04,23.91,0.11,95.05,0.15,7 4 2 3,火焰閃爍,龍文鞭影,精算特殊,希威森,希威森,4,123,124
2025-05-25,ST,grass,好,1600,702,02,精算特殊,9,14,10,70.2,70.2,-0.9,24.08,0.28,94.28,-0.62,1 1 1 2,英駿飛駒,精算特殊,凱旋幸運,希威森,希威森,4,121,124
2025-06-14,ST,grass,好,1400,760,09,精算特殊,9,14,4,58.32,58.88,0.28,23.4,0.0,82.28,0.28,10 8 8 9,真僥倖,祥龍駒,十二神將,潘明輝,希威森,4,120,124
2025-07-01,ST,grass,好,1600,805,05,精算特殊,9,14,14,71.44,71.88,0.78,23.61,-0.19,95.49,0.59,8 6 7 5,彭玥,紅衣醒目,禾道威,巴度,希威森,4,122,124
2025-09-21,ST,grass,軟,1600,041,04,精算特殊,9,14,2,72.44,72.64,1.54,24.6,0.8,97.24,2.34,8 5 2 4,小飛俠,彭玥,開心宇宙,希威森,希威森,4,122,124
2025-10-19,ST,grass,好/快,1800,106,01,精算特殊,9,14,8,83.34,83.54,-0.11,23.17,-1.03,106.71,-1.14,2 4 3 3 1,精算特殊,風起雲湧,一支箭,希威森,希威森,4,121,124
2025-10-30,ST,dirt,好,1800,136,04,精算特殊,9,14,4,85.45,85.77,0.87,25.17,1.52,110.94,2.39,5 5 5 6 4,堅有利,怪獸叉燒,奮鬥心,希威森,希威森,4,126,124
2025-11-15,ST,dirt,好,1650,184,09,精算特殊,9,14,12,74.37,75.33,0.08,24.62,0.82,99.95,0.9,11 12 12 9,奮鬥心,加州星馳,巧眼光,周俊樂,希威森,4,124,124
2025-12-20,ST,grass,好,1600,279,07,精算特殊,9,14,7,71.01,71.77,0.67,23.47,-0.33,95.24,0.34,9 10 9 7,一世美麗,君達得,天蓬貓,希威森,希威森,4,125,124
2026-01-21,ST,dirt,好,1800,370,06,精算特殊,9,14,5,84.37,84.93,0.03,23.54,-0.11,108.47,-0.08,6 6 7 7 6,年年友福,小飛俠,風起雲湧,希威森,希威森,4,124,124
