日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-27,HV,grass,好/快,1800,050,05,都靈福星,10,7,1,86.53,86.97,1.97,23.09,-1.36,110.06,0.61,3 6 6 6 5,天寅合一,歡欣福星,飛馬將軍,潘頓,希威森,3,125,119
2023-10-29,HV,grass,好,2200,120,01,都靈福星,10,7,2,112.6,113.0,0.85,24.04,-0.41,137.04,0.44,4 3 4 5 6 1,都靈福星,天寅合一,自然力量,潘頓,希威森,3,125,119
2023-11-19,ST,grass,好/快,2000,181,07,都靈福星,10,7,7,97.05,97.85,-0.5,23.48,-0.07,121.33,-0.57,7 7 8 8 7,安騁,包裝旋風,博才,潘頓,希威森,3,131,119
2023-12-20,HV,grass,好,2200,261,03,都靈福星,10,7,2,112.0,112.04,-0.11,24.78,0.33,136.82,0.22,4 4 4 4 2 3,多多勇駒,自然力量,都靈福星,潘頓,希威森,3,132,119
2024-01-10,HV,grass,好,1800,331,05,都靈福星,10,7,9,86.34,87.34,2.34,23.29,-1.16,110.63,1.18,9 9 9 11 5,總理,中華英雄,精彩生活,何澤堯,希威森,3,131,119
2024-01-31,HV,grass,好,1650,387,03,都靈福星,10,7,11,75.84,76.52,0.87,23.83,-0.42,100.35,0.45,9 10 9 3,極速奇兵,赤兔猴王,都靈福星,田泰安,希威森,3,132,119
2024-02-15,HV,grass,好,1800,426,02,都靈福星,10,7,11,87.12,87.6,2.6,23.43,-1.02,111.03,1.58,12 12 12 9 2,大千氣象,都靈福星,港林福將,田泰安,希威森,3,130,119
2024-03-13,HV,grass,好,1800,501,09,都靈福星,10,7,11,86.55,87.59,2.59,23.41,-1.04,111.0,1.55,10 11 11 11 9,智取神駒,天寅合一,多多勇駒,田泰安,希威森,3,130,119
2024-04-03,ST,dirt,好,1650,558,02,都靈福星,10,7,2,74.18,74.66,-0.19,23.11,-0.64,97.77,-0.83,6 6 5 2,獨角獸,都靈福星,魅影獵飛,田泰安,希威森,3,125,119
2024-04-20,ST,grass,好,1800,606,08,都靈福星,10,7,12,84.4,85.6,1.65,22.73,-0.62,108.33,1.03,13 13 13 12 8,常拼常勇,自然力量,九五赤兔,潘明輝,希威森,2,114,119
2024-05-05,ST,grass,好,2400,643,06,都靈福星,10,7,1,120.95,121.87,-1.38,25.01,1.26,146.88,-0.12,7 8 8 7 9 6,當年情,錶之五知,難以置信,田泰安,希威森,0,115,119
2024-05-26,ST,grass,好,2000,696,06,都靈福星,10,7,5,98.3,98.94,0.59,23.18,-0.37,122.12,0.22,5 9 7 8 6,非惟僥倖,十八掌門,包裝旋風,田泰安,希威森,3,129,119
2024-06-23,ST,grass,好/快,2000,768,03,都靈福星,10,7,6,97.11,97.27,-1.08,24.15,0.6,121.42,-0.48,6 5 3 3 3,非惟僥倖,精算謀略,都靈福星,布文,希威森,3,131,119
2024-07-10,HV,grass,好/快,1650,817,05,都靈福星,10,7,5,73.96,74.8,-0.7,23.68,-0.12,98.48,-0.82,6 7 7 5,木火兄弟,黃腳鱲,超超比,何澤堯,希威森,2,119,119
2024-10-06,ST,dirt,好,1650,084,03,都靈福星,10,7,9,74.61,75.33,-0.02,23.28,0.23,98.61,0.21,7 7 6 3,知足常樂,魅影獵飛,都靈福星,巴度,希威森,2,115,119
2024-10-23,ST,dirt,好,1650,127,01,都靈福星,10,7,6,75.08,75.6,0.75,24.2,0.45,99.8,1.2,7 7 8 1,都靈福星,堅闖,奮鬥心,潘頓,希威森,3,135,119
2024-11-06,HV,grass,好,1650,165,10,都靈福星,10,7,11,75.99,77.03,1.53,23.19,-0.61,100.22,0.92,12 12 9 10,超超比,港林福將,電訊巴打,巴度,希威森,2,123,119
2024-12-04,HV,grass,好,1800,239,12,都靈福星,10,7,1,84.15,84.55,-0.4,25.82,1.62,110.37,1.22,6 6 4 5 12,超超比,智取神駒,赤兔猴王,田泰安,希威森,2,119,119
2025-01-05,ST,dirt,好,1650,320,07,都靈福星,10,7,1,75.09,75.57,0.22,23.43,0.38,99.0,0.6,5 4 7 7,知足常樂,喜至寶,魅力寶駒,潘明輝,希威森,2,115,119
2025-02-12,ST,dirt,濕慢,1650,426,09,都靈福星,10,7,7,75.3,76.14,1.29,26.41,2.66,102.55,3.95,9 9 8 9,天威,堅闖,新意馬,艾兆禮,希威森,3,134,119
2025-03-26,ST,dirt,好,1650,541,06,都靈福星,10,7,6,74.94,75.94,1.09,22.65,-1.1,98.59,-0.01,8 10 11 6,電訊巴打,天威,勝意,奧爾民,希威森,3,130,119
2025-04-23,HV,grass,好,1800,619,11,都靈福星,10,7,5,84.31,85.31,0.31,24.31,-0.14,109.62,0.17,7 7 7 7 11,快路,星價,中華英雄,潘頓,希威森,3,134,119
2025-05-10,ST,dirt,好,1650,665,05,都靈福星,10,7,8,74.74,75.7,0.85,23.31,-0.44,99.01,0.41,11 11 10 5,皇龍飛將,超加加,精英雄心,奧爾民,希威森,3,133,119
2025-05-31,ST,dirt,好,1650,726,04,都靈福星,10,7,1,75.1,76.18,0.83,23.15,0.1,99.33,0.93,8 11 10 4,精英雄心,太陽勇士,電訊巴打,田泰安,希威森,2,115,119
2025-06-28,ST,dirt,濕慢,1650,796,09,都靈福星,10,7,10,74.39,75.35,0.5,24.3,0.55,99.65,1.05,13 12 11 9,艾莉奧,智跑得,新意馬,奧爾民,希威森,3,135,119
2025-09-21,ST,dirt,濕慢,1650,044,06,都靈福星,10,7,9,74.57,75.49,0.64,24.61,0.86,100.1,1.5,11 11 11 6,智跑得,安泰,新意馬,布文,希威森,3,132,119
2025-10-30,ST,dirt,好,1650,140,04,都靈福星,10,7,6,75.27,76.43,1.58,23.81,0.06,100.24,1.64,10 10 9 4,新意馬,智跑得,艾莉奧,奧爾民,希威森,3,124,119
2025-11-15,ST,dirt,好,1650,187,11,都靈福星,10,7,12,75.38,76.7,1.85,23.25,-0.5,99.95,1.35,13 14 14 11,將睿,皇龍飛將,堅有利,麥道朗,希威森,3,129,119
2025-12-23,HV,grass,好,2200,289,10,都靈福星,10,7,12,111.23,112.59,0.44,24.01,-0.44,136.6,0.0,11 11 12 12 12 10,豐辰,奔放,發財先鋒,奧爾民,希威森,3,127,119
2026-01-21,ST,dirt,好,1650,373,08,都靈福星,10,7,10,75.21,75.89,1.04,23.22,-0.53,99.11,0.51,11 11 12 8,皇龍飛將,滿心星,凱明神駒,奧爾民,希威森,3,124,119
