日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-04,HV,grass,好/快,1200,071,06,風繼續吹,10,13,12,46.74,47.74,0.54,22.36,-0.34,70.1,0.2,12 12 6,勇威神駒,金莊令,高份數,賀銘年,潘明輝,4,134,122
2023-10-15,ST,grass,好,1400,085,01,風繼續吹,10,13,5,58.47,59.03,0.43,23.24,-0.16,82.27,0.27,6 8 8 1,風繼續吹,果然僥倖,翩翩君子,鍾易禮,潘明輝,4,126,122
2023-11-19,ST,grass,好/快,1400,186,06,風繼續吹,10,13,8,59.04,59.84,1.34,22.69,-0.46,82.53,0.88,8 10 10 6,宜春火力,威之星,潮州精神,艾兆禮,潘明輝,3,123,122
2023-12-23,ST,grass,好,1400,278,01,風繼續吹,10,13,10,59.17,60.09,1.59,22.54,-0.61,82.63,0.98,12 11 11 1,風繼續吹,同樣美麗,星運少爵,梁家俊,潘明輝,3,119,122
2024-01-13,ST,grass,好,1400,342,08,風繼續吹,10,13,7,59.08,60.12,1.62,22.71,-0.44,82.83,1.18,12 14 13 8,君達得,同樣美麗,一定美麗,梁家俊,潘明輝,3,126,122
2024-02-12,ST,grass,好,1400,417,09,風繼續吹,10,13,1,58.75,59.15,0.65,23.57,0.42,82.72,1.07,8 7 8 9,跑得好快,巴閉仔,馬林,梁家俊,潘明輝,3,128,122
2024-02-18,ST,dirt,好,1650,436,09,風繼續吹,10,13,12,75.22,76.3,1.45,23.27,-0.48,99.57,0.97,12 11 10 9,魅影獵飛,大紅袍,黃腳鱲,梁家俊,潘明輝,3,126,122
2024-03-20,HV,grass,好,1200,521,08,風繼續吹,10,13,10,46.84,48.0,0.95,22.45,-0.1,70.45,0.85,12 11 8,顏色大皇,撼天鐵翼,添開心,梁家俊,潘明輝,3,126,122
2024-04-17,HV,grass,好,1200,593,07,風繼續吹,10,13,3,47.19,47.67,0.62,23.18,0.63,70.85,1.25,5 5 7,鈦易搵,撼天鐵翼,迎樂,梁家俊,潘明輝,3,122,122
2024-05-11,ST,grass,好/快,1200,665,10,風繼續吹,10,13,3,47.09,47.45,0.8,22.67,0.32,70.12,1.12,7 7 10,駿奕快車,金發盛世,加州得力,湯普新,潘明輝,3,124,122
2024-06-08,ST,grass,好,1400,741,02,風繼續吹,10,13,12,57.89,58.81,0.31,22.78,-0.37,81.59,-0.06,12 12 10 2,美麗邂逅,風繼續吹,潮州精神,田泰安,潘明輝,3,119,122
2024-07-06,ST,grass,好/快,1400,808,10,風繼續吹,10,13,10,58.86,59.54,1.04,22.9,-0.25,82.44,0.79,11 13 11 10,一定美麗,綠族豐收,陽光勇士,田泰安,潘明輝,3,122,122
2024-09-28,ST,grass,好,1400,064,02,風繼續吹,10,13,5,58.22,58.78,0.28,23.29,0.14,82.07,0.42,10 10 9 2,盈妍威楓,風繼續吹,非凡之星,梁家俊,潘明輝,3,124,122
2024-10-20,ST,grass,好/快,1400,120,05,風繼續吹,10,13,13,58.45,58.89,0.39,23.2,0.05,82.09,0.44,10 7 7 5,堅又威,信心星,盈妍威楓,梁家俊,潘明輝,3,125,122
2024-11-03,ST,grass,好/快,1400,155,05,風繼續吹,10,13,5,58.24,59.12,0.62,22.81,-0.34,81.93,0.28,13 13 11 5,祝願,信心星,紫荊歡呼,梁家俊,潘明輝,3,125,122
2024-12-08,ST,grass,好,1400,248,12,風繼續吹,10,13,2,58.61,59.17,0.67,23.46,0.31,82.63,0.98,11 9 10 12,但求開心,川河帥駒,同樣美麗,巴米高,潘明輝,3,121,122
2024-12-18,ST,dirt,好,1650,276,05,風繼續吹,10,13,8,73.88,74.24,-0.61,24.32,0.57,98.56,-0.04,5 5 4 5,競駿光輝,堅闖,精英雄心,黃寶妮,潘明輝,3,105,122
2024-12-29,ST,grass,好,1400,306,10,風繼續吹,10,13,9,59.41,59.89,1.39,22.8,-0.35,82.69,1.04,6 6 6 10,飛輪步,風雲武士,但求開心,黃寶妮,潘明輝,3,108,122
2025-01-19,ST,grass,好,1400,359,07,風繼續吹,10,13,14,57.74,58.78,0.18,23.4,0.0,82.18,0.18,14 14 14 7,博愛先鋒,神馳,準輝煌,麥道朗,潘明輝,4,135,122
2025-01-31,ST,grass,好,1400,391,06,風繼續吹,10,13,4,58.74,59.54,0.94,23.3,-0.1,82.84,0.84,7 8 9 6,神馳,深心星,大才,艾道拿,潘明輝,4,133,122
2025-02-23,ST,grass,好,1400,447,12,風繼續吹,10,13,8,58.4,58.96,0.36,23.92,0.52,82.88,0.88,8 10 11 12,始終如一,勁沙塵,超旺財,黃寶妮,潘明輝,4,121,122
2025-03-23,ST,grass,好/快,1400,526,04,風繼續吹,10,13,3,57.91,58.59,-0.01,23.11,-0.29,81.7,-0.3,11 10 9 4,深心星,哈羅威,泰泰精神,梁家俊,潘明輝,4,129,122
2025-04-13,ST,grass,好,1400,586,04,風繼續吹,10,13,1,58.06,58.74,0.14,23.25,-0.15,81.99,-0.01,10 9 8 4,笑喜喜,勁沙塵,綫路神驊,田泰安,潘明輝,4,129,122
