日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-15,ST,grass,好,1200,091,01,幸運有您,1,3,7,47.04,47.36,0.96,21.81,-0.44,69.17,0.52,6 6 1,幸運有您,威力奔騰,魅力寶駒,艾兆禮,霍宏聲,2,125,135
2023-11-19,ST,grass,好/快,1200,179,04,幸運有您,1,3,7,46.3,46.66,0.26,22.13,-0.12,68.79,0.14,5 6 4,驕陽明駒,包裝必勝,威力奔騰,艾兆禮,霍宏聲,2,130,135
2023-12-10,ST,grass,好,1200,236,02,幸運有您,1,3,2,46.29,46.61,0.66,22.78,0.58,69.39,1.24,6 6 2,金鑽貴人,幸運有您,福逸,艾兆禮,霍宏聲,0,126,135
2024-01-28,ST,grass,好,1200,376,02,幸運有您,1,3,7,47.25,47.61,1.66,22.11,-0.09,69.72,1.57,6 4 2,維港智能,幸運有您,福逸,艾兆禮,霍宏聲,0,126,135
2024-03-10,ST,grass,好,1400,490,09,幸運有您,1,3,5,59.55,59.95,1.7,22.95,0.1,82.9,1.8,5 6 6 9,加州星球,錶之銀河,紅運帝王,艾兆禮,霍宏聲,0,126,135
2024-04-07,ST,grass,好,1200,565,09,幸運有您,1,3,3,45.79,46.27,0.32,23.89,1.69,70.16,2.01,7 7 9,金鑽貴人,賢者無敵,威力奔騰,艾兆禮,霍宏聲,0,123,135
2024-04-28,ST,grass,黏,1200,621,06,幸運有您,1,3,10,45.55,46.23,0.28,24.17,1.97,70.4,2.25,5 6 6,賢者無敵,加州星球,綠族無限,艾兆禮,霍宏聲,0,126,135
2024-09-08,ST,grass,好/黏,1200,003,06,幸運有您,1,3,6,46.01,46.41,0.21,22.56,0.31,68.97,0.52,5 6 6,嘉應高昇,美麗第一,八駿巨昇,艾兆禮,霍宏聲,1,127,135
2024-10-20,ST,grass,好/快,1200,117,05,幸運有您,1,3,12,45.21,45.93,-0.02,22.11,-0.09,68.04,-0.11,10 10 5,嘉應高昇,驕陽明駒,加州星球,艾兆禮,霍宏聲,0,115,135
2024-11-17,ST,grass,好,1200,188,06,幸運有您,1,3,8,45.09,45.97,0.02,22.36,0.16,68.33,0.18,8 9 6,嘉應高昇,嫡愛心,驕陽明駒,艾兆禮,霍宏聲,0,123,135
2024-12-08,ST,grass,好,1200,244,08,幸運有您,1,3,7,45.65,46.17,0.22,22.76,0.56,68.93,0.78,8 9 8,嘉應高昇,驕陽明駒,里見夢境,艾兆禮,霍宏聲,0,126,135
2025-01-19,ST,grass,好,1200,361,05,幸運有您,1,3,5,44.84,45.56,-0.39,22.38,0.18,67.94,-0.21,5 6 5,嘉應高昇,驕陽明駒,嫡愛心,艾兆禮,霍宏聲,0,126,135
2025-02-09,ST,grass,好,1200,414,01,幸運有您,1,3,1,46.12,46.4,0.2,22.07,-0.18,68.47,0.02,4 5 1,幸運有您,華麗再勝,魔術控制,霍宏聲,霍宏聲,1,129,135
2025-03-09,ST,grass,好/快,1200,492,01,幸運有您,1,3,7,46.39,46.87,0.67,21.8,-0.45,68.67,0.22,5 6 1,幸運有您,合夥奔馳,飛鷹翱翔,霍宏聲,霍宏聲,1,134,135
2025-03-30,ST,grass,好,1200,549,03,幸運有您,1,3,4,46.3,46.42,0.47,22.33,0.13,68.75,0.6,3 3 3,嘉應高昇,驕陽明駒,幸運有您,霍宏聲,霍宏聲,0,123,135
2025-04-27,ST,grass,好,1200,624,11,幸運有您,1,3,5,45.78,46.62,0.67,22.77,0.57,69.39,1.24,8 12 11,嘉應高昇,里見夢境,驕陽明駒,霍宏聲,霍宏聲,0,126,135
2025-05-31,ST,grass,好,1200,724,08,幸運有您,1,3,10,45.45,45.77,-0.18,23.02,0.82,68.79,0.64,7 7 8,驕陽明駒,賢者無敵,手機錶霸,霍宏聲,霍宏聲,0,122,135
2025-09-07,ST,grass,好,1200,003,09,幸運有您,1,3,10,44.57,45.45,-0.75,23.1,0.85,68.55,0.1,8 10 9,嘉應高昇,金鑽貴人,開心寶寶,艾兆禮,霍宏聲,1,116,135
2025-10-26,ST,grass,好/快,1200,130,07,幸運有您,1,3,4,44.68,45.28,-0.67,22.93,0.73,68.21,0.06,7 6 7,好友心得,精算暴雪,包裝天將,霍宏聲,霍宏聲,0,127,135
2025-11-23,ST,grass,好/快,1200,203,06,幸運有您,1,3,9,45.31,46.15,0.2,21.93,-0.27,68.08,-0.07,10 10 6,嘉應高昇,舉步生風,驕陽明駒,霍宏聲,霍宏聲,0,123,135
2025-12-14,ST,grass,好,1200,258,07,幸運有您,1,3,12,45.16,46.28,0.33,22.58,0.38,68.86,0.71,12 11 7,嘉應高昇,精算暴雪,舉步生風,霍宏聲,霍宏聲,0,126,135
2026-01-25,ST,grass,好/快,1200,379,06,幸運有您,1,3,7,45.72,45.88,-0.07,22.46,0.26,68.34,0.19,3 3 6,嘉應高昇,驕陽明駒,舉步生風,霍宏聲,霍宏聲,0,126,135
