日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-01-19,ST,grass,好/快,1200,366,11,笑傲江湖,3,4,14,47.15,47.75,1.1,22.82,0.47,70.57,1.57,8 8 11,還看今朝,愛馬善,英勇快車,何澤堯,何澤堯,3,131,130
2025-02-16,ST,grass,好/快,1200,436,01,笑傲江湖,3,4,1,45.38,45.94,-0.71,22.5,0.15,68.44,-0.56,7 4 1,笑傲江湖,健康快車,輝煌精英,馬昆,何澤堯,3,124,130
2025-03-23,ST,grass,好/快,1200,532,01,笑傲江湖,3,4,4,46.24,46.64,-0.01,21.88,-0.47,68.52,-0.48,7 5 1,笑傲江湖,凱旋升,英勇快車,莫雅,何澤堯,3,135,130
2025-04-27,ST,grass,好,1400,623,01,笑傲江湖,3,4,1,58.69,58.97,0.62,22.49,-0.61,81.46,0.01,4 4 3 1,笑傲江湖,但求開心,太陽勇士,韋紀力,何澤堯,2,119,130
2025-05-10,ST,grass,好,1200,668,07,笑傲江湖,3,4,5,45.68,46.08,-0.32,22.83,0.58,68.91,0.26,5 6 7,愛馬善,天天同樂,好友心得,希威森,何澤堯,2,126,130
2025-06-08,ST,grass,好/快,1400,743,07,笑傲江湖,3,4,6,57.95,58.27,-0.08,23.75,0.65,82.02,0.57,4 4 6 7,光年魅力,舞林密碼,競駿輝煌,奧爾民,何澤堯,2,130,130
2025-10-26,ST,grass,好/快,1200,130,12,笑傲江湖,3,4,13,44.68,45.8,-0.15,23.5,1.3,69.3,1.15,11 11 12,好友心得,精算暴雪,包裝天將,楊明綸,何澤堯,0,115,130
2025-11-15,ST,grass,好,1200,185,02,笑傲江湖,3,4,6,46.17,46.53,0.13,22.4,0.15,68.93,0.28,7 6 2,錶之星河,笑傲江湖,風再起時,何澤堯,何澤堯,2,132,130
2025-12-07,ST,dirt,好,1200,242,04,笑傲江湖,3,4,1,45.0,45.4,-1.0,23.1,1.15,68.5,0.15,5 4 4,華麗再勝,昇瀧駒,駿步騰飛,何澤堯,何澤堯,2,132,130
2025-12-20,ST,grass,好,1200,281,03,笑傲江湖,3,4,7,47.08,47.52,1.12,22.22,-0.03,69.74,1.09,5 7 3,信心星,魔術控制,笑傲江湖,何澤堯,何澤堯,2,132,130
2026-01-11,ST,grass,好/快,1400,341,08,笑傲江湖,3,4,6,57.49,58.29,-0.06,23.4,0.3,81.69,0.24,9 9 12 8,小鳥天堂,晒冷,駿跑得,何澤堯,何澤堯,2,131,130
2026-01-25,ST,grass,好/快,1200,382,01,笑傲江湖,3,4,1,47.06,47.26,0.86,21.75,-0.5,69.01,0.36,4 3 1,笑傲江湖,競駿輝煌,錶之星河,何澤堯,何澤堯,2,134,130
