日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-12-22,ST,grass,好,1200,279,07,錶之星河,7,8,8,45.46,46.7,-0.2,22.78,0.33,69.48,0.13,11 12 7,非凡達,衝上雲霄,高感,布文,潘頓,4,128,122
2025-01-19,ST,grass,好,1400,359,04,錶之星河,7,8,5,57.74,58.66,0.06,23.25,-0.15,81.91,-0.09,10 11 13 4,博愛先鋒,神馳,準輝煌,梁家俊,潘頓,4,125,122
2025-03-02,ST,grass,好,1400,470,05,錶之星河,7,8,3,58.89,59.49,0.89,22.85,-0.55,82.34,0.34,8 9 8 5,幸運芙蓉,開心五月,精益大師,梁家俊,潘頓,4,126,122
2025-03-26,ST,dirt,好,1200,540,02,錶之星河,7,8,9,45.21,45.97,-0.88,22.61,0.51,68.58,-0.37,9 7 2,扶搖勢勁,錶之星河,五福星,蔡明紹,潘頓,4,125,122
2025-04-27,ST,grass,好,1400,622,01,錶之星河,7,8,8,57.56,58.24,-0.36,23.2,-0.2,81.44,-0.56,10 9 8 1,錶之星河,綠野飛馳,仁仁有餘,潘頓,潘頓,4,125,122
2025-05-10,ST,grass,好,1400,663,01,錶之星河,7,8,1,58.92,59.16,0.56,22.84,-0.56,82.0,0.0,5 5 3 1,錶之星河,幸運芙蓉,美麗在線,潘頓,潘頓,4,134,122
2025-06-14,ST,grass,好,1400,766,01,錶之星河,7,8,4,58.69,59.13,0.63,22.31,-0.84,81.44,-0.21,5 5 5 1,錶之星河,樂勝天下,勇冠群英,潘頓,潘頓,3,121,122
2025-07-05,ST,grass,好/快,1400,818,02,錶之星河,7,8,8,57.92,58.28,-0.22,22.94,-0.21,81.22,-0.43,5 6 5 2,同樣美麗,錶之星河,定數,潘頓,潘頓,3,135,122
2025-09-07,ST,grass,好,1400,010,06,錶之星河,7,8,14,58.47,58.55,0.05,23.33,0.18,81.88,0.23,3 2 2 6,同樣美麗,嘉應巨昇,泰泰精神,潘頓,潘頓,3,135,122
2025-10-19,ST,grass,好/快,1200,111,01,錶之星河,7,8,1,46.07,46.51,-0.14,22.06,-0.29,68.57,-0.43,6 5 1,錶之星河,天賜喜,晒冷,潘頓,潘頓,3,134,122
2025-11-15,ST,grass,好,1200,185,01,錶之星河,7,8,9,46.17,46.33,-0.07,22.55,0.3,68.88,0.23,4 3 1,錶之星河,笑傲江湖,風再起時,潘頓,潘頓,2,124,122
2025-12-20,ST,grass,好,1200,281,04,錶之星河,7,8,9,47.08,47.48,1.08,22.3,0.05,69.78,1.13,9 6 4,信心星,魔術控制,笑傲江湖,潘頓,潘頓,2,128,122
2026-01-25,ST,grass,好/快,1200,382,03,錶之星河,7,8,5,47.06,47.3,0.9,21.89,-0.36,69.19,0.54,3 4 3,笑傲江湖,競駿輝煌,錶之星河,潘頓,潘頓,2,131,122
