日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-06-12,HV,grass,好,1000,749,07,魔術控制,4,6,4,33.18,33.98,-1.67,23.73,2.73,57.71,1.06,7 8 7,年少多好,萬眾開心,英雄豪邁,布文,艾道拿,3,133,127
2024-09-15,ST,grass,好/快,1000,027,01,魔術控制,4,6,10,34.15,34.15,-1.65,21.59,0.94,55.74,-0.71,2 1 1,魔術控制,星際快車,寰宇豐采,蔡明紹,艾道拿,3,132,127
2024-10-01,ST,grass,好/快,1000,071,02,魔術控制,4,6,6,33.81,33.81,-1.49,22.02,1.42,55.83,-0.07,2 1 2,美麗第一,魔術控制,狀元及第,蔡明紹,艾道拿,0,115,127
2024-11-09,ST,grass,好,1000,171,01,魔術控制,4,6,5,34.17,34.17,-1.28,22.19,1.59,56.36,0.31,3 1 1,魔術控制,氣勢,我為您,蔡明紹,艾道拿,2,127,127
2025-01-01,ST,grass,好,1000,310,02,魔術控制,4,6,5,33.8,33.8,-1.5,22.37,1.77,56.17,0.27,2 2 2,嫡愛心,魔術控制,美麗第一,蔡明紹,艾道拿,0,125,127
2025-01-19,ST,grass,好,1200,361,06,魔術控制,4,6,4,44.84,45.16,-0.79,23.23,1.03,68.39,0.24,2 2 6,嘉應高昇,驕陽明駒,嫡愛心,韋紀力,艾道拿,0,126,127
2025-02-09,ST,grass,好,1200,414,03,魔術控制,4,6,5,46.12,46.2,0.0,22.56,0.31,68.76,0.31,2 2 3,幸運有您,華麗再勝,魔術控制,蔡明紹,艾道拿,1,127,127
2025-02-23,ST,grass,好,1000,448,01,魔術控制,4,6,2,33.79,34.19,-1.26,22.21,1.61,56.4,0.35,7 7 1,魔術控制,占士德,同祥和順,薛恩,艾道拿,2,135,127
2025-03-09,ST,grass,好/快,1200,492,06,魔術控制,4,6,8,46.39,47.07,0.87,22.18,-0.07,69.25,0.8,7 7 6,幸運有您,合夥奔馳,飛鷹翱翔,蔡明紹,艾道拿,1,133,127
2025-03-30,ST,grass,好,1200,549,07,魔術控制,4,6,2,46.3,46.66,0.71,23.22,1.02,69.88,1.73,5 6 7,嘉應高昇,驕陽明駒,幸運有您,班德禮,艾道拿,0,123,127
2025-04-27,ST,grass,好,1200,624,07,魔術控制,4,6,11,45.78,45.78,-0.17,23.17,0.97,68.95,0.8,1 1 7,嘉應高昇,里見夢境,驕陽明駒,蘇銘倫,艾道拿,0,126,127
2025-05-31,ST,grass,好,1200,724,11,魔術控制,4,6,8,45.45,45.45,-0.5,23.58,1.38,69.03,0.88,1 1 11,驕陽明駒,賢者無敵,手機錶霸,潘明輝,艾道拿,0,115,127
2025-07-16,HV,grass,好/快,1200,846,05,魔術控制,4,6,2,45.49,45.77,-1.18,23.13,0.78,68.9,-0.4,2 3 5,美麗第一,好友心得,晨曦儷人,陳嘉熙,艾道拿,2,130,127
2025-09-07,ST,grass,好,1200,003,11,魔術控制,4,6,9,44.57,45.53,-0.67,23.2,0.95,68.73,0.28,11 12 11,嘉應高昇,金鑽貴人,開心寶寶,蔡明紹,艾道拿,1,115,127
2025-10-01,ST,grass,好/快,1000,062,03,魔術控制,4,6,5,33.34,33.5,-1.8,22.41,1.81,55.91,0.01,5 4 3,舉步生風,精算暴雪,魔術控制,何澤堯,艾道拿,0,124,127
2025-10-26,ST,grass,好/快,1200,130,09,魔術控制,4,6,6,44.68,45.0,-0.95,23.5,1.3,68.5,0.35,4 3 9,好友心得,精算暴雪,包裝天將,梁家俊,艾道拿,0,118,127
2025-11-30,ST,grass,好,1000,224,07,魔術控制,4,6,13,33.73,34.09,-1.36,22.96,2.36,57.05,1.0,7 6 7,顏色之皇,翠紅,水晶酒杯,麥道朗,艾道拿,2,131,127
2025-12-20,ST,grass,好,1200,281,02,魔術控制,4,6,8,47.08,47.32,0.92,22.37,0.12,69.69,1.04,6 4 2,信心星,魔術控制,笑傲江湖,周俊樂,艾道拿,2,133,127
2026-01-04,ST,grass,好,1000,321,05,魔術控制,4,6,3,33.54,34.1,-1.2,22.49,1.89,56.59,0.69,8 6 5,星際快車,顏色之皇,賢者無敵,周俊樂,艾道拿,0,125,127
2026-01-14,HV,grass,好,1200,352,10,魔術控制,4,6,6,45.05,45.89,-1.06,24.12,1.77,70.01,0.71,7 6 10,風雲武士,至尊瑰寶,勇敢巨星,周俊樂,艾道拿,2,133,127
