日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-12-22,ST,grass,好,1200,281,08,魅力星,5,8,8,46.03,46.59,-0.31,23.53,1.08,70.12,0.77,6 6 8,天賜喜,新力好,熾烈神駒,艾道拿,艾兆禮,4,128,130
2025-01-12,ST,grass,好,1200,340,12,魅力星,5,8,10,45.76,46.08,-0.82,24.97,2.52,71.05,1.7,3 3 12,新力好,旺旺快駒,美神來,賀銘年,艾兆禮,4,127,130
2025-02-12,ST,dirt,濕慢,1200,420,12,魅力星,5,8,3,46.22,46.94,0.09,26.46,4.36,73.4,4.45,10 9 12,日日獎,五福星,火神神樂,布文,艾兆禮,4,128,130
2025-03-15,ST,grass,好/快,1000,507,03,魅力星,5,8,13,33.53,34.09,-1.81,22.54,1.79,56.63,-0.02,10 11 3,金金小子,東方福寶,魅力星,湯普新,艾兆禮,4,124,130
2025-04-13,ST,grass,好,1000,582,11,魅力星,5,8,7,33.98,34.14,-1.76,23.58,2.83,57.72,1.07,2 2 11,勝萬金,展雄威,鼓浪高升,賀銘年,艾兆禮,4,123,130
2025-05-18,ST,grass,好/快,1000,682,06,魅力星,5,8,6,33.66,33.82,-2.08,22.21,1.46,56.03,-0.62,5 5 6,舞林寶典,中環精英,英雄豪邁,巴度,艾兆禮,4,121,130
2025-06-08,ST,grass,好/快,1000,741,06,魅力星,5,8,6,33.52,34.04,-1.86,22.63,1.88,56.67,0.02,9 6 6,不可擋,團結勇士,拉合爾,艾兆禮,艾兆禮,4,120,130
2025-07-01,ST,grass,好,1000,799,05,魅力星,5,8,11,33.51,34.03,-1.87,22.81,2.06,56.84,0.19,7 7 5,銀河勇士,金滙千帥,官金騏,田泰安,艾兆禮,4,122,130
2025-09-07,ST,grass,好,1200,001,05,魅力星,5,8,4,46.04,46.04,-1.11,23.42,1.02,69.46,-0.09,1 1 5,讓愛高飛,伶俐驫駒,快馬加鞭,奧爾民,艾兆禮,5,133,130
2025-09-17,HV,grass,好,1000,029,04,魅力星,5,8,5,34.13,34.45,-1.5,22.94,1.54,57.39,0.04,4 4 4,銀刺勇士,友得盈,天火同心,艾道拿,艾兆禮,5,132,130
2025-10-01,ST,grass,好/快,1200,058,02,魅力星,5,8,6,45.93,45.97,-1.18,23.03,0.63,69.0,-0.55,2 2 2,快樂奇兵,魅力星,同喜,布文,艾兆禮,5,132,130
2025-10-12,ST,grass,好,1200,085,03,魅力星,5,8,5,45.27,45.71,-1.44,23.7,1.3,69.41,-0.14,4 3 3,劍無名,快馬加鞭,魅力星,布文,艾兆禮,5,131,130
2025-10-22,HV,grass,好,1200,115,09,魅力星,5,8,11,45.92,46.32,-1.03,24.75,2.0,71.07,0.97,4 3 9,精英至尊,時間寶,焦點,艾道拿,艾兆禮,5,131,130
2025-11-12,HV,grass,好,1200,171,12,魅力星,5,8,10,45.92,46.48,-0.87,26.94,4.19,73.42,3.32,6 7 12,東方寶寶,同喜,皇金合,麥道朗,艾兆禮,5,129,130
2025-12-10,HV,grass,好,1200,246,03,魅力星,5,8,7,47.26,47.34,-0.01,23.39,0.64,70.73,0.63,2 2 3,幸運傳承,同喜,魅力星,艾兆禮,艾兆禮,5,127,130
2025-12-17,HV,grass,好,1000,265,05,魅力星,5,8,9,34.06,34.5,-1.45,23.15,1.75,57.65,0.3,9 6 5,銀亮濠俠,鼓浪高升,東方魅影,艾兆禮,艾兆禮,5,127,130
2026-01-01,ST,grass,好,1200,305,10,魅力星,5,8,6,46.48,46.64,-0.51,23.8,1.4,70.44,0.89,2 2 10,同喜,首駿,金快飛飛,艾兆禮,艾兆禮,5,124,130
2026-01-21,ST,dirt,好,1200,365,01,魅力星,5,8,4,45.94,46.22,-0.78,23.38,1.03,69.6,0.25,3 4 1,魅力星,銳一,銀亮濠俠,艾兆禮,艾兆禮,5,122,130
2026-02-19,ST,grass,好,1200,444,13,魅力星,5,8,8,46.53,46.93,-0.22,23.95,1.55,70.88,1.33,6 7 13,金快飛飛,首駿,劍無情,艾兆禮,艾兆禮,5,130,130
