日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-02-25,ST,grass,好,1200,450,03,新力好,7,8,1,46.34,46.82,-0.08,23.19,0.74,70.01,0.66,8 6 3,龍之輝,增強,新力好,潘頓,何澤堯,4,129,124
2024-03-31,ST,grass,好,1200,548,07,新力好,7,8,13,46.22,47.34,0.44,23.22,0.77,70.56,1.21,11 12 7,大才,佳運發,勇霸龍,董明朗,何澤堯,4,127,124
2024-04-20,ST,grass,好,1400,599,01,新力好,7,8,6,58.9,58.9,0.3,22.66,-0.74,81.56,-0.44,1 1 1 1,新力好,陸知,無敵勇士,董明朗,何澤堯,4,123,124
2024-05-19,ST,grass,好,1400,682,08,新力好,7,8,6,58.22,58.22,-0.38,24.84,1.44,83.06,1.06,1 1 1 8,龍城強將,妙算高歌,勁好運,董明朗,何澤堯,4,135,124
2024-06-23,ST,grass,好/快,1400,767,13,新力好,7,8,1,57.86,58.18,-0.42,24.88,1.48,83.06,1.06,5 3 4 13,翹峯,連連歡呼,一起美麗,艾兆禮,何澤堯,4,135,124
2024-10-13,ST,grass,好/快,1400,100,09,新力好,7,8,9,58.62,58.94,0.34,23.46,0.06,82.4,0.4,8 8 7 9,紫荊歡呼,快活英雄,騰龍四海,艾兆禮,何澤堯,4,134,124
2024-11-09,ST,grass,好/快,1400,173,09,新力好,7,8,4,58.17,58.29,-0.31,24.28,0.88,82.57,0.57,2 2 2 9,龍城強將,保羅傳奇,川河型駒,董明朗,何澤堯,4,134,124
2024-12-22,ST,grass,好,1200,281,02,新力好,7,8,4,46.03,46.39,-0.51,23.05,0.6,69.44,0.09,3 4 2,天賜喜,新力好,熾烈神駒,潘頓,何澤堯,4,132,124
2025-01-12,ST,grass,好,1200,340,01,新力好,7,8,8,45.76,46.32,-0.58,23.17,0.72,69.49,0.14,8 5 1,新力好,旺旺快駒,美神來,潘頓,何澤堯,4,133,124
2025-01-31,ST,grass,好,1200,396,02,新力好,7,8,6,46.47,46.67,0.02,22.61,0.26,69.28,0.28,4 4 2,駿跑得,新力好,魯班精神,潘頓,何澤堯,3,120,124
2025-03-05,HV,grass,好,1200,482,07,新力好,7,8,7,46.52,47.28,0.23,22.92,0.37,70.2,0.6,8 9 7,友愛心得,無限美麗,雪勇神駒,莫雅,何澤堯,3,126,124
2025-03-30,ST,grass,好,1200,551,07,新力好,7,8,7,46.11,46.51,-0.14,23.5,1.15,70.01,1.01,8 7 7,風再起時,跨境寶馬,順成之星,潘頓,何澤堯,3,123,124
2025-06-08,ST,grass,好/快,1000,745,03,新力好,7,8,13,33.29,33.85,-1.95,22.06,1.41,55.91,-0.54,7 6 3,英勇快車,會長之寶,新力好,艾兆禮,何澤堯,3,123,124
2025-07-01,ST,grass,好,1000,804,13,新力好,7,8,1,33.52,34.4,-1.4,23.14,2.49,57.54,1.09,12 10 13,英雄豪傑,展雄威,會長之寶,艾兆禮,何澤堯,3,123,124
2025-10-26,ST,grass,好/快,1000,131,04,新力好,7,8,1,33.63,34.43,-1.37,22.19,1.54,56.62,0.17,13 11 4,星運傳奇,飛來閃耀,領航君子,霍宏聲,何澤堯,3,127,124
2025-11-09,ST,grass,好,1200,164,02,新力好,7,8,5,46.02,46.62,-0.03,23.58,1.23,70.2,1.2,8 7 2,綫路滿貫,新力好,晒冷,何澤堯,何澤堯,3,123,124
2025-11-23,ST,grass,好,1400,202,08,新力好,7,8,13,57.87,58.99,0.49,22.89,-0.26,81.88,0.23,11 11 10 8,白鷺金剛,光年八十,超勁赤兔,何澤堯,何澤堯,3,125,124
2025-12-20,ST,grass,好,1200,280,10,新力好,7,8,9,46.41,47.25,0.6,22.77,0.42,70.02,1.02,10 10 10,錶之極光,八駿福昇,忠誠明駒,何澤堯,何澤堯,3,124,124
2026-01-18,ST,grass,好/快,1400,363,08,新力好,7,8,11,58.59,59.43,0.93,22.71,-0.44,82.14,0.49,11 10 10 8,天星,綠野飛馳,做好自己,何澤堯,何澤堯,3,125,124
2026-02-01,ST,grass,好,1400,404,03,新力好,7,8,8,58.3,59.1,0.6,22.33,-0.82,81.43,-0.22,12 12 9 3,綠野飛馳,韋金主,新力好,班德禮,何澤堯,3,120,124
