日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-27,HV,grass,好/快,1200,052,10,海藍寶,13,6,8,46.44,46.64,-0.56,24.81,2.11,71.45,1.55,2 2 10,幸運之神,佳運發,宏才,梁家俊,希威森,4,127,121
2023-11-08,HV,grass,好,1200,153,05,海藍寶,13,6,8,46.21,46.21,-0.99,24.17,1.47,70.38,0.48,1 1 5,有財有勢,想見你,風中勁松,賀銘年,希威森,4,127,121
2023-12-13,HV,grass,好,1200,247,05,海藍寶,13,6,1,46.2,46.2,-1.0,24.46,1.76,70.66,0.76,1 1 5,郎善好施,新幹線,想見你,賀銘年,希威森,4,125,121
2024-01-10,HV,grass,好,1200,328,11,海藍寶,13,6,6,46.44,47.32,0.12,24.01,1.31,71.33,1.43,6 7 11,有鴻利,高明駿將,共創成果,艾兆禮,希威森,4,124,121
2024-02-18,ST,grass,好,1200,428,06,海藍寶,13,6,7,46.13,46.13,-0.77,23.85,1.4,69.98,0.63,1 1 6,飲杯,好精神,志勝時機,巴度,希威森,4,122,121
2024-03-16,ST,grass,好,1200,505,01,海藍寶,13,6,1,45.38,45.38,-1.52,23.64,1.19,69.02,-0.33,2 1 1,海藍寶,揚揚大道,讓愛高飛,巴度,希威森,4,120,121
2024-03-31,ST,grass,好,1200,548,11,海藍寶,13,6,9,46.22,46.26,-0.64,24.56,2.11,70.82,1.47,2 2 11,大才,佳運發,勇霸龍,巴度,希威森,4,126,121
2024-04-14,ST,grass,好/快,1200,582,05,海藍寶,13,6,3,46.06,46.06,-0.84,23.31,0.86,69.37,0.02,1 1 5,安康萬里,鑽石星空,千杯敬典,巴度,希威森,4,126,121
2024-05-08,HV,grass,好,1200,651,05,海藍寶,13,6,3,46.53,46.53,-0.67,25.35,2.65,71.88,1.98,1 1 5,正氣青驅,電訊飛車,隼閣,巴度,希威森,4,127,121
2024-06-05,HV,grass,好/黏,1200,726,10,海藍寶,13,6,4,46.31,46.51,-0.69,26.43,3.73,72.94,3.04,2 3 10,真感,金狀元,宇宙動力,黃智弘,希威森,4,119,121
2024-07-06,ST,grass,好/快,1200,806,07,海藍寶,13,6,6,45.34,45.34,-1.56,24.05,1.6,69.39,0.04,1 1 7,超平凡,勝多多,天天耍樂,田泰安,希威森,4,126,121
2024-11-27,HV,grass,好,1200,217,11,海藍寶,13,6,9,46.96,47.88,0.68,23.17,0.47,71.05,1.15,9 9 11,耀寶駒,金匯昇昇,九秒九,艾兆禮,希威森,4,123,121
2024-12-29,ST,grass,好,1200,301,04,海藍寶,13,6,10,46.1,46.1,-0.8,23.49,1.04,69.59,0.24,1 1 4,真心傳奇,天外迎天,加非凡,湯普新,希威森,4,121,121
2025-01-15,HV,grass,好,1200,352,12,海藍寶,13,6,9,46.91,47.03,-0.17,24.02,1.32,71.05,1.15,2 2 12,首飾天空,銳高,銀刺勇士,湯普新,希威森,4,122,121
2025-04-06,ST,grass,好,1200,566,01,海藍寶,13,6,9,46.35,46.35,-0.55,22.76,0.31,69.11,-0.24,1 1 1,海藍寶,天星,幸運旅程,湯普新,希威森,4,118,121
2025-05-10,ST,grass,好,1200,664,02,海藍寶,13,6,1,45.66,46.06,-0.84,23.41,0.96,69.47,0.12,2 3 2,小鳥天堂,海藍寶,快樂高球,湯普新,希威森,4,124,121
2025-06-14,ST,grass,好,1200,758,05,海藍寶,13,6,5,46.91,47.07,0.17,22.63,0.18,69.7,0.35,3 3 5,友瑩亮,飛輪霸,彩虹七色,湯普新,希威森,4,125,121
2025-07-05,ST,grass,好/快,1200,814,05,海藍寶,13,6,5,45.3,45.3,-1.6,24.54,2.09,69.84,0.49,1 1 5,八駿福昇,飛輪霸,高感,黃智弘,希威森,4,120,121
2025-09-07,ST,grass,好/黏,1200,007,12,海藍寶,13,6,14,46.22,46.9,0.0,23.69,1.24,70.59,1.24,8 11 12,高感,凱旋王者,魅力知福,艾兆禮,希威森,4,128,121
2025-09-28,ST,grass,好/快,1200,049,12,海藍寶,13,6,9,46.09,46.49,-0.41,23.76,1.31,70.25,0.9,3 4 12,包裝戰將,辣得準,手錶之星,金誠剛,希威森,4,125,121
2025-12-07,ST,grass,好,1200,237,08,海藍寶,13,6,8,46.19,46.19,-0.71,24.45,2.0,70.64,1.29,2 1 8,香港仔,志滿同行,銳目,鍾易禮,希威森,4,118,121
2026-01-01,ST,grass,好,1200,304,02,海藍寶,13,6,6,46.63,46.67,-0.23,23.52,1.07,70.19,0.84,2 2 2,笑盈喜,海藍寶,仁者荃承,紀仁安,希威森,4,121,121
2026-01-25,ST,grass,好,1200,375,11,海藍寶,13,6,4,46.25,46.69,-0.21,23.5,1.05,70.19,0.84,5 8 11,運高八斗,創寶駒,龍傲綾羅,紀仁安,希威森,4,121,121
