日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-09-08,ST,grass,好/黏,1200,005,07,彭玥,8,14,1,47.49,47.81,0.91,22.85,0.4,70.66,1.31,3 4 7,祝願,非凡達,至旺財,蔡明紹,艾兆禮,4,127,124
2024-09-22,ST,grass,好,1200,039,06,彭玥,8,14,7,45.77,46.01,-0.89,23.46,1.01,69.47,0.12,3 4 6,糖不甩,紫荊歡呼,勇霸龍,蔡明紹,艾兆禮,4,128,124
2024-10-20,ST,grass,好/快,1400,113,06,彭玥,8,14,10,58.92,58.92,0.32,23.84,0.44,82.76,0.76,2 1 1 6,智智多寶,凱旋幸運,極速贏,蔡明紹,艾兆禮,4,128,124
2024-11-17,ST,grass,好,1400,185,06,彭玥,8,14,13,58.92,59.0,0.4,23.26,-0.14,82.26,0.26,3 2 2 6,但求開心,開心樂園,奔妙星,楊明綸,艾兆禮,4,126,124
2024-12-29,ST,grass,好,1400,300,04,彭玥,8,14,5,58.62,58.62,0.02,23.86,0.46,82.48,0.48,3 2 1 4,安泰,紫荊拼搏,滿心星,蔡明紹,艾兆禮,4,123,124
2025-01-12,ST,grass,好,1400,341,05,彭玥,8,14,12,58.53,58.53,-0.07,23.79,0.39,82.32,0.32,4 1 1 5,至尊高超,幸運芙蓉,衝上雲霄,蔡明紹,艾兆禮,4,122,124
2025-02-23,ST,grass,好,1400,449,14,彭玥,8,14,8,58.92,59.4,0.8,24.12,0.72,83.52,1.52,6 8 8 14,首飾天空,南區之星,哈羅威,麥當能,艾兆禮,4,121,124
2025-03-15,ST,grass,好/黏,1400,510,02,彭玥,8,14,14,59.56,59.8,1.2,24.75,1.35,84.55,2.55,6 4 4 2,仁仁有餘,彭玥,開心五月,潘明輝,艾兆禮,4,119,124
2025-04-13,ST,grass,好,1400,587,05,彭玥,8,14,14,57.56,58.2,-0.4,23.82,0.42,82.02,0.02,7 8 10 5,暴風之子,哈羅威,飛躍成就,潘明輝,艾兆禮,4,119,124
2025-05-04,ST,grass,好/快,1400,647,11,彭玥,8,14,10,57.64,58.44,-0.16,23.65,0.25,82.09,0.09,5 4 3 11,一定超,勁沙塵,凱旋幸運,潘明輝,艾兆禮,4,119,124
2025-06-08,ST,grass,好/快,1600,740,03,彭玥,8,14,6,71.75,72.19,1.09,23.23,-0.57,95.42,0.52,4 3 7 3,平海之星,準輝煌,彭玥,田泰安,艾兆禮,4,117,124
2025-06-22,ST,grass,好,1600,770,03,彭玥,8,14,7,71.58,71.82,0.72,23.24,-0.56,95.06,0.16,4 3 4 3,英駿飛駒,火焰閃爍,彭玥,田泰安,艾兆禮,4,115,124
2025-07-01,ST,grass,好,1600,805,01,彭玥,8,14,5,71.44,71.64,0.54,23.28,-0.52,94.92,0.02,4 4 4 1,彭玥,紅衣醒目,禾道威,梁家俊,艾兆禮,4,120,124
2025-09-21,ST,grass,軟,1600,041,02,彭玥,8,14,10,72.44,72.68,1.58,24.45,0.65,97.13,2.23,3 3 3 2,小飛俠,彭玥,開心宇宙,梁家俊,艾兆禮,4,128,124
2025-10-12,ST,grass,好,1600,090,03,彭玥,8,14,6,70.9,71.02,-0.08,23.91,0.11,94.93,0.03,4 4 4 3,林寶精神,開心宇宙,彭玥,梁家俊,艾兆禮,4,127,124
2025-10-26,ST,grass,好/快,1600,126,10,彭玥,8,14,5,70.22,70.66,-0.44,23.97,0.17,94.63,-0.27,6 7 8 10,長峰小子,光明傳承,創科群英,梁家俊,艾兆禮,4,128,124
2025-11-30,ST,grass,好,1600,221,13,彭玥,8,14,13,72.05,72.37,1.27,23.81,0.01,96.18,1.28,9 4 4 13,大千雄心,天蓬貓,君達得,紀仁安,艾兆禮,4,129,124
2026-01-11,ST,grass,好/快,1800,339,07,彭玥,8,14,5,83.35,83.67,0.02,24.89,0.69,108.56,0.71,2 3 4 5 7,中國心,大千雄心,風火恆雲,何澤堯,艾兆禮,4,128,124
