日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-27,HV,grass,好/快,1200,055,03,瑰麗人生,10,2,6,46.4,46.52,-0.53,23.13,0.58,69.65,0.05,3 4 3,閃電,明心知遇,瑰麗人生,希威森,金誠剛,3,117,127
2023-11-08,HV,grass,好,1200,155,03,瑰麗人生,10,2,9,46.39,46.87,-0.18,23.1,0.55,69.97,0.37,4 4 3,美麗邂逅,平常心,瑰麗人生,希威森,金誠剛,3,121,127
2023-12-10,ST,grass,好,1200,240,05,瑰麗人生,10,2,7,45.81,46.89,0.24,22.88,0.53,69.77,0.77,10 13 5,錶之銀河,星運少爵,美麗第一,希威森,金誠剛,3,124,127
2024-01-01,ST,grass,好,1400,306,03,瑰麗人生,10,2,3,59.64,60.08,1.58,23.13,-0.02,83.21,1.56,5 6 6 3,時尚歡欣,一定美麗,瑰麗人生,希威森,金誠剛,3,124,127
2024-01-28,ST,grass,好,1400,378,03,瑰麗人生,10,2,9,58.86,59.26,0.76,23.3,0.15,82.56,0.91,3 6 5 3,堅又威,電子傳奇,瑰麗人生,希威森,金誠剛,3,122,127
2024-02-25,ST,grass,好,1600,453,09,瑰麗人生,10,2,4,70.62,70.86,-0.04,24.12,0.32,94.98,0.28,3 4 3 9,陽明天空,話你知,銀騰,希威森,金誠剛,3,122,127
2024-03-16,ST,grass,好,1400,512,02,瑰麗人生,10,2,3,58.46,58.7,0.2,23.17,0.02,81.87,0.22,2 5 3 2,亞機拉,瑰麗人生,旗幟鬥士,潘頓,金誠剛,3,123,127
2024-04-10,HV,grass,好,1200,577,03,瑰麗人生,10,2,1,45.86,46.3,-0.75,23.8,1.25,70.1,0.5,5 3 3,川河動駒,顏色大皇,瑰麗人生,希威森,金誠剛,3,122,127
2024-05-22,HV,grass,好,1650,692,04,瑰麗人生,10,2,9,75.74,75.86,0.21,24.75,0.5,100.61,0.71,3 2 2 4,浪漫老撾,赤兔猴王,大學生,潘頓,金誠剛,3,123,127
2024-06-12,HV,grass,好,1650,750,10,瑰麗人生,10,2,2,76.22,76.5,0.85,24.44,0.19,100.94,1.04,3 3 3 10,赤兔猴王,唯美主義,久久為攻,班德禮,金誠剛,3,126,127
2024-07-06,ST,grass,好/快,1400,808,06,瑰麗人生,10,2,9,58.86,59.06,0.56,22.96,-0.19,82.02,0.37,3 3 3 6,一定美麗,綠族豐收,陽光勇士,希威森,金誠剛,3,121,127
2024-09-18,HV,grass,好,1200,031,01,瑰麗人生,10,2,4,46.13,46.97,-0.23,23.12,0.42,70.09,0.19,5 5 1,瑰麗人生,你知我得,智勝攻略,希威森,金誠剛,4,135,127
2024-10-16,HV,grass,好/快,1200,110,06,瑰麗人生,10,2,1,46.07,46.43,-0.62,23.36,0.81,69.79,0.19,5 5 6,家樂龍駒,得道猴王,伊臣,希威森,金誠剛,3,123,127
2024-12-08,ST,grass,好,1400,248,11,瑰麗人生,10,2,7,58.61,58.89,0.39,23.55,0.4,82.44,0.79,3 3 4 11,但求開心,川河帥駒,同樣美麗,何澤堯,金誠剛,3,122,127
2025-01-01,ST,grass,好,1200,315,10,瑰麗人生,10,2,3,46.16,46.88,0.23,23.45,1.1,70.33,1.33,9 8 10,勇霸龍,飲杯,自動自覺,希威森,金誠剛,3,125,127
2025-02-16,ST,grass,好/快,1000,435,09,瑰麗人生,10,2,11,33.64,34.16,-1.64,22.68,2.03,56.84,0.39,9 10 9,馬力,錶之極光,連連有盈,董明朗,金誠剛,3,125,127
2025-03-05,HV,grass,好,1200,484,09,瑰麗人生,10,2,6,46.56,47.44,0.39,23.21,0.66,70.65,1.05,6 6 9,椒椒醒,川河動駒,鈁糖武士,希威森,金誠剛,3,120,127
2025-04-16,HV,grass,好/快,1200,595,08,瑰麗人生,10,2,6,46.47,46.99,-0.06,24.18,1.63,71.17,1.57,7 6 8,日馳千里,電源之駒,撼天鐵翼,希威森,金誠剛,3,117,127
2025-05-14,HV,grass,好/快,1200,675,09,瑰麗人生,10,2,5,46.77,47.05,-0.15,23.59,0.89,70.64,0.74,6 5 9,千杯敬典,星火燎原,洛河,希威森,金誠剛,4,134,127
2025-05-28,HV,grass,好/快,1200,711,04,瑰麗人生,10,2,5,46.24,46.76,-0.44,23.49,0.79,70.25,0.35,6 6 4,比特星,雷神太保,喆喆友福,希威森,金誠剛,4,132,127
2025-06-08,ST,grass,好/快,1400,742,13,瑰麗人生,10,2,1,58.74,59.5,0.9,26.33,2.93,85.83,3.83,8 9 9 13,久久為軍,多彩多姿,同心同樂,希威森,金誠剛,4,132,127
2025-11-26,HV,grass,好/快,1200,211,06,瑰麗人生,10,2,1,46.36,46.84,-0.36,23.5,0.8,70.34,0.44,4 5 6,廚神,勇威神駒,飛騰騅,希威森,金誠剛,4,130,127
2025-12-23,HV,grass,好,1200,290,11,瑰麗人生,10,2,7,46.49,47.29,0.09,23.95,1.25,71.24,1.34,10 8 11,佳運發,駿馬之寶,運來伍寶,班德禮,金誠剛,4,132,127
2026-01-28,HV,grass,好/快,1200,387,08,瑰麗人生,10,2,3,46.97,47.37,0.17,23.15,0.45,70.52,0.62,4 4 8,團結勇士,巴閉王,千杯敬典,麥文堅,金誠剛,4,128,127
