日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-06-15,ST,grass,軟,1600,761,04,和平波,2,11,5,71.13,71.33,0.43,24.99,1.19,96.32,1.62,3 2 2 4,話你知,東方飛影,精算謀略,蔡明紹,布文,3,122,134
2024-07-01,ST,grass,好,1600,792,02,和平波,2,11,9,71.92,72.2,1.3,22.82,-0.98,95.02,0.32,2 3 3 2,晴王,和平波,光明傳承,潘頓,布文,3,123,134
2024-07-14,ST,grass,好,1600,830,07,和平波,2,11,2,71.22,71.5,0.6,23.84,0.04,95.34,0.64,6 6 5 7,競駿飛翔,好勁力,星運少爵,蔡明紹,布文,3,123,134
2024-09-15,ST,grass,好/快,1400,028,11,和平波,2,11,2,58.3,58.66,0.16,23.27,0.12,81.93,0.28,7 6 6 11,陽光勇士,將義,勁進駒,蔡明紹,布文,3,121,134
2024-09-28,ST,grass,好,1600,063,01,和平波,2,11,5,70.54,71.18,0.28,23.1,-0.7,94.28,-0.42,2 3 3 1,和平波,遨遊武士,將義,蔡明紹,布文,3,121,134
2024-10-20,ST,grass,好/快,1600,119,08,和平波,2,11,3,71.44,71.56,0.66,23.52,-0.28,95.08,0.38,2 3 3 8,愛心神駒,快路,久久為尊,蔡明紹,布文,3,128,134
2024-11-09,ST,grass,好/快,1600,175,07,和平波,2,11,8,70.04,70.28,-0.62,23.84,0.04,94.12,-0.58,4 4 3 7,遨遊武士,豐盛,久久為尊,蔡明紹,布文,3,126,134
2024-12-08,ST,grass,好,1800,245,02,和平波,2,11,7,83.79,83.79,0.29,23.88,-0.12,107.67,0.17,2 1 1 1 2,加州動員,和平波,愛心神駒,蔡明紹,布文,3,130,134
2025-01-15,HV,grass,好,1650,354,09,和平波,2,11,3,75.87,75.99,0.34,24.53,0.28,100.52,0.62,3 4 3 9,時時精準,太陽勇士,時時稱心,潘頓,布文,3,128,134
2025-02-09,ST,grass,好,1800,415,02,和平波,2,11,11,82.45,82.45,-1.05,24.51,0.51,106.96,-0.54,1 1 1 1 2,加州動員,和平波,包裝明駒,蔡明紹,布文,3,127,134
2025-03-02,ST,grass,好/快,2000,474,02,和平波,2,11,3,98.8,98.92,0.57,22.94,-0.61,121.86,-0.04,1 2 3 2 2,安可,和平波,一支箭,蔡明紹,布文,3,128,134
2025-03-23,ST,grass,好/快,1800,533,05,和平波,2,11,12,82.9,82.9,-0.6,24.01,0.01,106.91,-0.59,1 2 2 1 5,包裝明駒,安可,金勝名駒,蔡明紹,布文,3,126,134
2025-04-20,ST,grass,好/快,1800,606,03,和平波,2,11,11,83.25,83.25,-0.7,22.62,-0.73,105.87,-1.43,2 2 2 1 3,加州動員,遙遙領先,和平波,蔡明紹,布文,2,115,134
2025-05-04,ST,grass,好/快,1600,642,02,和平波,2,11,4,71.78,71.94,1.14,22.12,-1.33,94.06,-0.19,4 4 3 2,康樂高球,和平波,遙遙領先,艾兆禮,布文,2,119,134
2025-05-31,ST,grass,好,1600,722,01,和平波,2,11,8,71.33,71.33,0.68,22.5,-0.75,93.83,-0.07,1 1 1 1,和平波,禪勝輝煌,永遠美麗,蔡明紹,布文,0,115,134
2025-06-22,ST,grass,好,1800,774,04,和平波,2,11,8,84.39,84.39,0.79,22.76,-0.74,107.15,0.05,1 1 1 1 4,美麗同享,百賀飛駒,有目共賞,蔡明紹,布文,0,121,134
2025-09-07,ST,grass,好/黏,1400,008,03,和平波,2,11,6,57.77,57.97,-0.38,23.34,0.24,81.31,-0.14,3 3 3 3,但求開心,潮州精神,和平波,蔡明紹,布文,2,134,134
2025-09-28,ST,grass,好/快,1400,052,13,和平波,2,11,8,58.24,58.28,0.03,23.12,0.27,81.4,0.3,1 2 2 13,祝願,合夥奔馳,越駿歡欣,蔡明紹,布文,0,128,134
2025-11-09,ST,grass,好,1800,166,05,和平波,2,11,7,82.79,82.79,-0.81,24.9,1.4,107.69,0.59,1 1 1 1 5,安遇,越駿歡欣,智取神駒,蔡明紹,布文,0,122,134
2025-11-23,ST,grass,好/快,1600,204,11,和平波,2,11,5,69.25,69.25,-1.4,24.57,1.32,93.82,-0.08,1 1 1 11,錶之銀河,陽光勇士,越駿歡欣,蔡明紹,布文,0,123,134
2025-11-30,ST,grass,好,1600,223,05,和平波,2,11,14,70.66,70.7,-0.1,23.66,0.21,94.36,0.11,2 2 2 5,康樂高球,太陽勇士,遙遙領先,蔡明紹,布文,2,135,134
2025-12-14,ST,grass,好,1600,260,09,和平波,2,11,9,69.99,69.99,-0.66,24.15,0.9,94.14,0.24,1 1 1 9,遨遊氣泡,神志勇進,紅運帝王,巴度,布文,0,126,134
