日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-10-23,ST,dirt,好,1650,127,11,開心五月,2,3,10,75.08,76.0,1.15,25.79,2.04,101.79,3.19,11 11 12 11,都靈福星,堅闖,奮鬥心,蔡明紹,潘頓,3,123,134
2024-11-06,HV,grass,好,1800,163,10,開心五月,2,3,4,85.0,85.44,0.44,25.07,0.62,110.51,1.06,4 4 5 6 10,逐步贏,爭金奪冠,黑桃火箭,艾兆禮,潘頓,3,120,134
2024-12-08,ST,grass,好,1800,245,11,開心五月,2,3,9,83.79,83.99,0.49,24.52,0.52,108.51,1.01,1 3 3 3 11,加州動員,和平波,愛心神駒,希威森,潘頓,3,121,134
2025-01-01,ST,grass,好,1400,312,10,開心五月,2,3,7,58.62,59.1,0.5,24.08,0.68,83.18,1.18,4 5 5 10,一定掂,大才,魅力知福,希威森,潘頓,4,135,134
2025-01-22,HV,grass,好,1650,372,05,開心五月,2,3,6,76.12,76.12,0.27,24.4,0.15,100.52,0.42,1 1 1 5,都靈勇士,爆笑,寶成智星,希威森,潘頓,4,135,134
2025-02-09,ST,grass,好,1400,410,04,開心五月,2,3,7,58.39,58.39,-0.21,23.97,0.57,82.36,0.36,1 1 1 4,旋風傳奇,翠湖烈風,八正道,田泰安,潘頓,4,131,134
2025-03-02,ST,grass,好,1400,470,02,開心五月,2,3,1,58.89,59.05,0.45,22.81,-0.59,81.86,-0.14,2 3 3 2,幸運芙蓉,開心五月,精益大師,田泰安,潘頓,4,131,134
2025-03-15,ST,grass,好/黏,1400,510,03,開心五月,2,3,1,59.56,59.8,1.2,24.75,1.35,84.55,2.55,3 3 5 3,仁仁有餘,彭玥,開心五月,艾兆禮,潘頓,4,134,134
2025-04-06,ST,grass,好,1600,565,01,開心五月,2,3,1,71.38,71.38,0.28,23.48,-0.32,94.86,-0.04,1 1 1 1,開心五月,江南勇士,東方飛影,田泰安,潘頓,4,132,134
2025-04-27,ST,grass,好,1600,628,12,開心五月,2,3,4,70.62,70.62,-0.28,24.88,1.08,95.5,0.8,1 1 1 12,共享富裕,大浪圖田,鐵金剛,田泰安,潘頓,3,118,134
2025-05-21,HV,grass,好/快,1650,695,10,開心五月,2,3,10,75.69,75.69,0.04,24.82,0.57,100.51,0.61,1 1 1 10,納百川,久久為攻,盈妍威楓,鍾易禮,潘頓,3,118,134
2025-07-01,ST,grass,好,1600,807,04,開心五月,2,3,6,70.1,70.42,-0.48,24.48,0.68,94.9,0.2,4 5 4 4,元朗精英,昭易搵,本領輝煌,鍾易禮,潘頓,3,117,134
2025-07-16,HV,grass,好/快,1650,845,07,開心五月,2,3,1,74.19,74.67,-0.98,24.25,0.0,98.92,-0.98,2 3 4 7,智勇名駒,盈好威楓,大學生,鍾易禮,潘頓,3,118,134
2025-09-10,HV,grass,好,1650,014,09,開心五月,2,3,9,75.55,75.55,-0.3,25.61,1.36,101.16,1.06,1 1 1 9,極速滿貫,勁進駒,豐辰,鍾易禮,潘頓,4,133,134
2025-09-28,ST,dirt,好,1200,048,02,開心五月,2,3,9,44.95,45.95,-0.9,23.39,1.29,69.34,0.39,5 6 2,天天耍樂,開心五月,日日獎,鍾易禮,潘頓,4,132,134
2025-10-12,ST,grass,好,1400,088,01,開心五月,2,3,3,58.64,58.84,0.24,22.89,-0.51,81.73,-0.27,3 3 4 1,開心五月,心雄雄,超旺財,鍾易禮,潘頓,4,132,134
2025-10-30,ST,dirt,好,1200,139,07,開心五月,2,3,10,45.57,46.05,-0.45,23.98,1.93,70.03,1.48,4 4 7,時尚風趣,肯佩斯,天天耍樂,蔡明紹,潘頓,3,117,134
2025-11-15,ST,dirt,好,1650,187,06,開心五月,2,3,3,75.38,75.66,0.81,23.47,-0.28,99.13,0.53,3 3 3 6,將睿,皇龍飛將,堅有利,鍾易禮,潘頓,3,120,134
2025-12-07,ST,grass,好,1400,244,11,開心五月,2,3,1,58.5,58.82,0.32,24.03,0.88,82.85,1.2,4 5 6 11,小鳥天堂,喜尊龍,準輝煌,鍾易禮,潘頓,3,117,134
2026-01-04,ST,dirt,好,1200,322,08,開心五月,2,3,10,45.55,46.43,-0.07,22.49,0.44,68.92,0.37,11 11 8,樂勝天下,駿步騰飛,熾烈神駒,鍾易禮,潘頓,3,115,134
2026-01-18,ST,grass,好/快,1400,363,05,開心五月,2,3,3,58.59,59.11,0.61,22.86,-0.29,81.97,0.32,9 7 6 5,天星,綠野飛馳,做好自己,蔡明紹,潘頓,3,117,134
