日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-03-05,HV,grass,好,1200,482,08,太勝駒,14,2,9,46.52,47.36,0.31,22.97,0.42,70.33,0.73,10 10 8,友愛心得,無限美麗,雪勇神駒,霍宏聲,楊明綸,3,123,118
2025-04-02,HV,grass,好/快,1200,561,10,太勝駒,14,2,5,46.55,47.11,0.06,22.84,0.29,69.95,0.35,7 7 10,鈦易搵,天足貓,樂勝天下,霍宏聲,楊明綸,3,124,118
2025-04-27,ST,grass,好,1200,625,09,太勝駒,14,2,4,45.75,46.23,-0.42,23.45,1.1,69.68,0.68,3 3 9,真心傳奇,龍之輝,非凡達,巴度,楊明綸,3,119,118
2025-05-21,HV,grass,好/快,1200,694,12,太勝駒,14,2,10,46.21,47.29,0.24,23.76,1.21,71.05,1.45,10 10 12,人和家興,安康萬里,樂勝天下,巴度,楊明綸,3,117,118
2025-06-28,ST,grass,好,1200,792,11,太勝駒,14,2,10,46.16,46.16,-0.74,25.01,2.56,71.17,1.82,1 1 11,幸運多彩,魅力知福,實力派,巴度,楊明綸,4,133,118
2025-09-14,ST,dirt,好,1200,021,09,太勝駒,14,2,1,45.59,46.19,-0.66,24.4,2.3,70.59,1.64,4 6 9,熾烈神駒,日日獎,囍眼光,奧爾民,楊明綸,4,132,118
2025-09-28,ST,dirt,好,1200,048,11,太勝駒,14,2,11,44.95,45.87,-0.98,25.51,3.41,71.38,2.43,3 4 11,天天耍樂,開心五月,日日獎,奧爾民,楊明綸,4,130,118
2025-12-20,ST,grass,好,1200,274,11,太勝駒,14,2,8,46.69,46.69,-0.21,25.25,2.8,71.94,2.59,1 2 11,金多囍,團結勇士,活力拍檔,巫顯東,楊明綸,4,126,118
2026-01-04,ST,dirt,好,1200,317,11,太勝駒,14,2,5,45.52,46.0,-0.85,25.1,3.0,71.1,2.15,1 6 11,旺旺嘉駒,花果猴王,起舞奜奜,巫顯東,楊明綸,4,122,118
2026-01-25,ST,grass,好/快,1400,378,13,太勝駒,14,2,11,57.92,58.12,-0.48,25.25,1.85,83.37,1.37,1 2 2 13,都靈冠星,威武年代,幸運愉快,金誠剛,楊明綸,4,120,118
2026-02-22,ST,grass,好,1000,455,14,太勝駒,14,2,2,33.39,34.11,-1.79,23.04,2.29,57.15,0.5,8 10 14,閃電小子,日出東方,中環精英,楊明綸,楊明綸,4,118,118
