日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-12-03,ST,grass,好,1000,220,12,巴閉仔,7,1,10,34.07,34.91,-0.89,22.84,2.19,57.75,1.3,11 11 12,攻頂,萬里飛至,幸運之神,董明朗,布文,3,121,125
2023-12-20,HV,grass,好,1200,268,07,巴閉仔,7,1,9,46.38,47.58,0.53,22.8,0.25,70.38,0.78,12 12 7,添開心,縱橫萬里,閃電,董明朗,布文,3,120,125
2024-01-01,ST,grass,好,1200,305,06,巴閉仔,7,1,6,46.44,47.48,0.83,22.48,0.13,69.96,0.96,8 10 6,氣勢,嘉應高昇,綠族無限,董明朗,布文,3,117,125
2024-01-21,ST,grass,好,1400,355,01,巴閉仔,7,1,8,58.65,59.45,0.85,22.9,-0.5,82.35,0.35,8 9 10 1,巴閉仔,陽光勇士,電路九號,布文,布文,4,134,125
2024-02-12,ST,grass,好,1400,417,02,巴閉仔,7,1,11,58.75,59.43,0.93,22.78,-0.37,82.21,0.56,12 12 11 2,跑得好快,巴閉仔,馬林,董明朗,布文,3,122,125
2024-03-03,ST,grass,好,1400,474,04,巴閉仔,7,1,8,58.95,59.43,0.93,23.13,-0.02,82.56,0.91,13 9 8 4,馬林,鐵金剛,大浪圖田,田泰安,布文,3,124,125
2024-03-31,ST,grass,好,1400,547,01,巴閉仔,7,1,6,59.67,59.99,1.49,22.88,-0.27,82.87,1.22,8 8 8 1,巴閉仔,特別美麗,一定美麗,潘頓,布文,3,125,125
2024-05-05,ST,grass,好,1400,646,02,巴閉仔,7,1,1,58.71,58.95,0.45,23.07,-0.08,82.02,0.37,7 6 5 2,飛輪步,巴閉仔,晴王,潘頓,布文,3,131,125
2024-05-26,ST,grass,好,1400,703,13,巴閉仔,7,1,11,58.52,59.36,0.86,23.02,-0.13,82.38,0.73,12 12 11 13,大浪圖田,快搏,球星,希威森,布文,3,126,125
2024-06-23,ST,grass,好,1400,772,05,巴閉仔,7,1,1,57.81,58.69,0.19,23.56,0.41,82.25,0.6,13 10 10 5,球星,同樣美麗,大浪圖田,班德禮,布文,3,132,125
2025-03-30,ST,grass,好,1400,552,09,巴閉仔,7,1,4,58.88,60.0,1.5,22.67,-0.48,82.67,1.02,9 9 9 9,不同世界,元朗精英,鐵金剛,鍾易禮,布文,3,129,125
2025-04-27,ST,grass,好,1600,628,10,巴閉仔,7,1,3,70.62,71.18,0.28,24.04,0.24,95.22,0.52,5 6 8 10,共享富裕,大浪圖田,鐵金剛,艾兆禮,布文,3,131,125
2025-05-18,ST,grass,好/快,1600,687,07,巴閉仔,7,1,12,72.4,73.04,2.14,22.5,-1.3,95.54,0.84,13 14 12 7,金勝名駒,龍城精將,大浪圖田,霍宏聲,布文,3,131,125
2025-06-08,ST,grass,好/快,1400,744,01,巴閉仔,7,1,3,58.58,59.14,0.64,22.81,-0.34,81.95,0.3,7 7 6 1,巴閉仔,神馳,本領輝煌,霍宏聲,布文,3,126,125
2025-07-13,ST,grass,好/快,1400,838,05,巴閉仔,7,1,12,57.83,58.83,0.33,22.76,-0.39,81.59,-0.06,14 13 12 5,美麗星晨,勇冠群英,泰泰精神,霍宏聲,布文,3,135,125
2025-09-14,ST,grass,好/快,1400,028,11,巴閉仔,7,1,10,59.69,60.85,2.35,21.77,-1.38,82.62,0.97,11 12 12 11,勇冠群英,金勝名駒,春風萬里,霍宏聲,布文,3,135,125
2025-10-01,ST,grass,好/快,1400,065,11,巴閉仔,7,1,7,58.13,58.81,0.31,23.09,-0.06,81.9,0.25,11 11 11 11,勁沙塵,銀亮奔騰,喜尊龍,霍宏聲,布文,3,134,125
2025-10-26,ST,grass,好/快,1400,132,12,巴閉仔,7,1,12,58.76,59.72,1.22,22.78,-0.37,82.5,0.85,13 13 13 12,喜尊龍,正極,嘉應奇兵,何澤堯,布文,3,134,125
2025-11-23,ST,grass,好,1400,202,11,巴閉仔,7,1,10,57.87,59.35,0.85,23.1,-0.05,82.45,0.8,12 13 13 11,白鷺金剛,光年八十,超勁赤兔,奧爾民,布文,3,131,125
2025-12-20,ST,grass,好,1600,283,08,巴閉仔,7,1,12,72.02,73.1,2.2,22.72,-1.08,95.82,1.12,14 14 14 8,白鷺金剛,開心勇駒,火焰閃爍,杜苑欣,布文,3,129,125
2026-01-18,ST,grass,好/快,1400,362,09,巴閉仔,7,1,6,58.24,59.28,0.78,22.88,-0.27,82.16,0.51,14 14 14 9,會當凌,閃光燈,至尊高超,梁家俊,布文,3,127,125
2026-02-08,ST,grass,好,1400,423,09,巴閉仔,7,1,1,58.21,58.65,0.15,23.6,0.45,82.25,0.6,10 8 5 9,會當凌,嘉應奇兵,至尊高超,麥文堅,布文,3,124,125
