日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-04-28,ST,grass,黏,1200,619,14,勁大威猛,10,9,13,46.71,47.87,0.97,23.63,1.18,71.5,2.15,7 14 14,鑽石星空,輝煌精英,開心寶寶,潘明輝,巫顯東 (-2),4,125,118
2024-05-19,ST,grass,好,1200,676,06,勁大威猛,10,9,1,45.88,47.08,0.18,23.43,0.98,70.51,1.16,10 10 6,以戰常勝,河好運,四喜鳥,賀銘年,巫顯東 (-2),4,131,118
2024-07-01,ST,grass,好,1400,790,01,勁大威猛,10,9,3,58.97,59.57,0.97,22.43,-0.97,82.0,0.0,7 7 8 1,勁大威猛,綫路神驊,時間寶,賀銘年,巫顯東 (-2),4,127,118
2024-09-15,ST,grass,好/快,1400,023,02,勁大威猛,10,9,11,58.43,58.91,0.31,22.98,-0.42,81.89,-0.11,9 9 7 2,添喜運,勁大威猛,快樂高球,賀銘年,巫顯東 (-2),4,130,118
2024-10-20,ST,grass,好/快,1400,113,10,勁大威猛,10,9,13,58.92,60.2,1.6,23.03,-0.37,83.23,1.23,12 13 12 10,智智多寶,凱旋幸運,極速贏,賀銘年,巫顯東 (-2),4,132,118
2024-12-04,HV,grass,好,1650,233,05,勁大威猛,10,9,4,76.8,77.52,1.67,23.78,-0.47,101.3,1.2,4 4 6 5,青春力量,相映紅,加州活力,杜苑欣,巫顯東 (-2),4,132,118
2025-01-19,ST,grass,好,1600,358,03,勁大威猛,10,9,10,70.34,71.14,0.04,23.58,-0.22,94.72,-0.18,13 13 11 3,金主,卓越蒨鋒,勁大威猛,潘明輝,巫顯東 (-2),4,132,118
2025-02-23,ST,grass,好,1600,452,04,勁大威猛,10,9,2,70.75,71.51,0.41,23.06,-0.74,94.57,-0.33,6 7 9 4,英駿飛駒,東方飛影,金主,周俊樂,巫顯東 (-2),4,130,118
2025-03-30,ST,grass,好,2000,543,01,勁大威猛,10,9,4,97.97,98.81,0.41,23.54,-0.41,122.35,0.0,7 8 10 8 1,勁大威猛,管之友,捷足奔馳,潘明輝,巫顯東 (-2),4,132,118
2025-05-04,ST,grass,好/快,2000,648,07,勁大威猛,10,9,6,99.58,99.86,1.51,23.04,-0.51,122.9,1.0,3 4 4 3 7,奔放,金主,天將龍駒,潘明輝,巫顯東 (-2),3,116,118
2025-05-25,ST,grass,好,2000,706,09,勁大威猛,10,9,4,97.35,97.91,-0.44,23.9,0.35,121.81,-0.09,6 6 8 7 9,金主,奔放,安可,巴度,巫顯東 (-2),3,116,118
2025-06-14,ST,grass,好,1800,764,10,勁大威猛,10,9,5,83.27,83.99,0.49,24.31,0.31,108.3,0.8,7 10 10 9 10,春風萬里,君子傳承,天將龍駒,潘明輝,巫顯東 (-2),3,120,118
2025-10-04,ST,grass,好/快,1800,075,01,勁大威猛,10,9,9,83.58,83.86,0.36,23.41,-0.59,107.27,-0.23,4 5 5 5 1,勁大威猛,君子傳承,艾莉奧,巫顯東,巫顯東 (-2),3,113,118
2025-10-26,ST,grass,好/快,2000,129,08,勁大威猛,10,9,9,95.95,96.27,-2.08,24.37,0.82,120.64,-1.26,1 3 3 3 8,天將龍駒,愛心神駒,發財先鋒,黃智弘,巫顯東 (-2),3,118,118
2026-02-22,ST,grass,好,1400,465,13,勁大威猛,10,9,9,58.22,59.62,1.12,23.42,0.27,83.04,1.39,12 13 14 13,極上紗瓏,確好勁,哈羅威,巫顯東,巫顯東 (-2),3,116,118
