日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-06-02,ST,grass,好/快,1200,718,05,神馳,5,6,9,46.17,47.13,0.23,22.42,-0.03,69.55,0.2,10 10 5,鑽石星空,遙遙領先,還看今朝,布文,麥文堅,4,127,127
2024-06-15,ST,grass,軟,1200,754,03,神馳,5,6,7,46.59,47.35,0.45,23.14,0.69,70.49,1.14,9 7 3,輝煌精英,精彩勇士,神馳,布文,麥文堅,4,127,127
2024-07-14,ST,grass,好,1400,826,02,神馳,5,6,1,58.76,59.0,0.4,23.19,-0.21,82.19,0.19,6 4 3 2,天天得樂,神馳,堅闖,布文,麥文堅,4,128,127
2024-12-08,ST,grass,好,1200,240,02,神馳,5,6,9,46.18,46.7,-0.2,22.63,0.18,69.33,-0.02,7 7 2,開心樂園,神馳,衝上雲霄,布文,麥文堅,4,129,127
2025-01-01,ST,grass,好,1400,311,09,神馳,5,6,6,58.96,59.92,1.32,23.04,-0.36,82.96,0.96,7 9 10 9,十二神將,時尚歡欣,皇仁歡星,布文,麥文堅,4,130,127
2025-01-19,ST,grass,好,1400,359,02,神馳,5,6,8,57.74,58.06,-0.54,23.66,0.26,81.72,-0.28,4 4 4 2,博愛先鋒,神馳,準輝煌,布文,麥文堅,4,130,127
2025-01-31,ST,grass,好,1400,391,01,神馳,5,6,8,58.74,59.7,1.1,22.68,-0.72,82.38,0.38,8 10 11 1,神馳,深心星,大才,布文,麥文堅,4,132,127
2025-02-23,ST,grass,好,1400,455,01,神馳,5,6,10,58.11,58.11,-0.39,22.7,-0.45,80.81,-0.84,2 1 1 1,神馳,宜春火力,同樣美麗,巴度,麥文堅,3,123,127
2025-03-09,ST,grass,好/快,1600,495,04,神馳,5,6,10,70.61,70.81,-0.09,23.32,-0.48,94.13,-0.57,4 4 3 4,錶之宇宙,納百川,光年魅力,巴度,麥文堅,3,129,127
2025-04-06,ST,grass,好,1400,570,01,神馳,5,6,6,58.02,58.78,0.28,22.9,-0.25,81.68,0.03,8 6 6 1,神馳,光年八十,膨才,艾道拿,麥文堅,3,134,127
2025-05-04,ST,grass,好/快,1400,649,06,神馳,5,6,13,58.12,58.4,-0.1,23.26,0.11,81.66,0.01,5 4 4 6,時時歡聲,元朗精英,定數,艾道拿,麥文堅,3,135,127
2025-06-08,ST,grass,好/快,1400,744,02,神馳,5,6,13,58.58,58.86,0.36,23.23,0.08,82.09,0.44,6 3 3 2,巴閉仔,神馳,本領輝煌,布文,麥文堅,3,135,127
2025-07-01,ST,grass,好,1400,802,09,神馳,5,6,12,57.62,57.94,-0.41,23.9,0.8,81.84,0.39,5 4 5 9,光年魅力,米奇,得道猴王,巴度,麥文堅,2,117,127
2025-09-28,ST,grass,好/快,1200,053,05,神馳,5,6,7,45.37,46.25,-0.15,22.36,0.11,68.61,-0.04,11 11 5,好友心得,舞林密碼,駿跑得,巴度,麥文堅,2,120,127
2025-10-19,ST,grass,好/快,1400,112,06,神馳,5,6,5,57.3,58.06,-0.44,23.4,0.25,81.46,-0.19,11 10 11 6,駿奕快車,大眾福星,哈羅威,布文,麥文堅,3,135,127
2025-11-23,ST,grass,好/快,1400,207,08,神馳,5,6,1,58.79,59.27,0.77,23.01,-0.14,82.28,0.63,5 4 4 8,同心同樂,勇冠群英,大眾福星,布文,麥文堅,3,135,127
2025-12-20,ST,grass,好,1600,283,04,神馳,5,6,8,72.02,72.14,1.24,23.24,-0.56,95.38,0.68,4 3 2 4,白鷺金剛,開心勇駒,火焰閃爍,布文,麥文堅,3,132,127
2026-02-22,ST,grass,好,1400,465,07,神馳,5,6,6,58.22,59.14,0.64,22.27,-0.88,81.41,-0.24,13 12 10 7,極上紗瓏,確好勁,哈羅威,麥文堅,麥文堅,3,127,127
