日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-10-30,HV,grass,好,1650,139,07,光輝歲月,5,7,8,76.55,77.31,1.46,23.55,-0.7,100.86,0.76,10 10 9 7,健康之星,獎星,喜勝威龍,何澤堯,紀仁安,4,127,132
2024-12-04,HV,grass,好,1650,233,09,光輝歲月,5,7,9,76.8,78.08,2.23,23.72,-0.53,101.8,1.7,11 11 12 9,青春力量,相映紅,加州活力,何澤堯,紀仁安,4,128,132
2024-12-15,ST,grass,好,1600,263,09,光輝歲月,5,7,3,70.89,71.57,0.47,23.66,-0.14,95.23,0.33,14 14 14 9,一起美麗,一定掂,昭易搵,楊明綸,紀仁安,4,126,132
2025-01-01,ST,grass,好,1600,313,07,光輝歲月,5,7,5,72.15,72.47,1.37,23.44,-0.36,95.91,1.01,3 4 5 7,保羅傳奇,昭易搵,江南勇士,希威森,紀仁安,4,124,132
2025-01-26,ST,grass,好,2000,380,07,光輝歲月,5,7,2,98.48,99.0,0.6,24.15,0.2,123.15,0.8,4 5 5 6 7,小飛俠,發財秘笈,管之友,霍宏聲,紀仁安,4,123,132
2025-09-10,HV,grass,好,1650,016,11,光輝歲月,5,7,2,76.95,77.75,1.9,23.94,-0.31,101.69,1.59,7 6 8 11,爆笑,錶之量子,青春力量,潘明輝,紀仁安,4,118,132
2025-10-01,ST,grass,好/快,1800,060,10,光輝歲月,5,7,4,82.93,83.45,-0.2,24.04,-0.16,107.49,-0.36,6 9 8 9 10,東方飛影,爆出美麗,雙贏,潘大衛,紀仁安,4,117,132
2025-12-07,ST,dirt,好,1650,235,02,光輝歲月,5,7,11,75.29,76.61,1.16,23.4,-0.6,100.01,0.56,11 14 13 2,領創動力,光輝歲月,幻影旋風,霍宏聲,紀仁安,5,134,132
2025-12-27,ST,dirt,好,1800,296,07,光輝歲月,5,7,5,86.39,87.19,1.99,23.67,-0.58,110.86,1.41,4 6 6 6 7,領創動力,香港精神,美麗歡聲,霍宏聲,紀仁安,5,135,132
2026-01-21,ST,dirt,好,1650,366,07,光輝歲月,5,7,13,75.01,76.13,0.68,23.49,-0.51,99.62,0.17,14 14 12 7,悠悠乾坤,幻影旋風,時間寶,霍宏聲,紀仁安,5,135,132
2026-02-22,ST,grass,好,1800,457,04,光輝歲月,5,7,7,84.76,85.16,0.91,23.3,-0.9,108.46,0.01,8 6 6 8 4,型到爆,夢照發,特別美麗,紀仁安,紀仁安,5,132,132
