日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-02-04,ST,grass,好,1000,389,10,富裕君子,8,1,14,34.28,35.12,-0.78,23.01,2.26,58.13,1.48,14 14 10,黑白,酷霸王,精彩勇士,班德禮,黃智弘 (-5),4,127,129
2024-03-24,ST,grass,好,1200,522,10,富裕君子,8,1,13,46.18,47.18,0.28,22.51,0.06,69.69,0.34,13 14 10,開心寶寶,四喜鳥,增強,薛恩,黃智弘 (-5),4,129,129
2024-04-28,ST,grass,黏,1400,620,08,富裕君子,8,1,3,58.55,59.39,0.79,24.4,1.0,83.79,1.79,11 9 9 8,球星,綫路萬里,增強,黃智弘,黃智弘 (-5),4,115,129
2024-05-15,HV,grass,好,1650,672,10,富裕君子,8,1,3,76.23,76.63,0.78,24.96,0.71,101.59,1.49,5 5 5 10,駟跑得,皇仁福星,冠寶駒,陳嘉熙,黃智弘 (-5),4,119,129
2024-06-15,ST,grass,軟,1400,760,08,富裕君子,8,1,3,59.02,59.58,0.98,24.51,1.11,84.09,2.09,14 12 7 8,大勢至富,博愛先鋒,超悅明駒,巴度,黃智弘 (-5),4,122,129
2024-10-23,ST,dirt,好,1200,126,07,富裕君子,8,1,12,45.5,46.9,0.05,23.14,1.04,70.04,1.09,12 10 7,機械騎士,郎善好施,澳華威威,蔡明紹,黃智弘 (-5),4,117,129
2024-11-17,ST,grass,好,1400,185,07,富裕君子,8,1,6,58.92,59.56,0.96,22.94,-0.46,82.5,0.5,9 8 8 7,但求開心,開心樂園,奔妙星,蔡明紹,黃智弘 (-5),4,116,129
2024-12-01,ST,dirt,好,1650,221,06,富裕君子,8,1,4,74.03,75.31,-0.14,24.43,0.43,99.74,0.29,8 8 8 6,天時明駒,精明選擇,星雲浩騰,麥道朗,黃智弘 (-5),5,134,129
2024-12-15,ST,grass,好,1400,259,11,富裕君子,8,1,13,58.91,60.19,1.24,23.08,-0.27,83.27,0.97,14 14 14 11,常常感恩,進優自在,好運寶馬,布文,黃智弘 (-5),5,131,129
2025-04-06,ST,grass,好,1400,563,03,富裕君子,8,1,4,58.36,59.04,0.09,23.2,-0.15,82.24,-0.06,9 8 7 3,帝豪歡星,文明福星,富裕君子,霍宏聲,黃智弘 (-5),5,130,129
2025-04-20,ST,dirt,好,1650,601,02,富裕君子,8,1,8,75.62,76.18,0.73,23.48,-0.52,99.66,0.21,10 8 6 2,大利好運,富裕君子,馬有運,霍宏聲,黃智弘 (-5),5,124,129
2025-05-10,ST,grass,好,1600,659,09,富裕君子,8,1,9,71.2,72.48,0.88,23.59,-0.26,96.07,0.62,12 12 13 9,肥仔精神,背背龍,勝得福,霍宏聲,黃智弘 (-5),5,129,129
2025-06-14,ST,grass,好,1600,757,06,富裕君子,8,1,13,72.73,73.57,1.97,22.53,-1.32,96.1,0.65,14 14 13 6,美麗多盈,勝得福,無極勇將,霍宏聲,黃智弘 (-5),5,129,129
2025-07-05,ST,grass,好/快,1600,811,12,富裕君子,8,1,13,71.48,71.84,0.24,24.16,0.31,96.0,0.55,5 4 6 12,佳福駒,駿彩飛馳,無極勇將,霍宏聲,黃智弘 (-5),5,127,129
2025-09-07,ST,grass,好,1600,002,02,富裕君子,8,1,5,70.88,71.52,-0.08,23.45,-0.4,94.97,-0.48,9 10 10 2,桃花多,富裕君子,同寶寶,何澤堯,黃智弘 (-5),5,122,129
2025-09-28,ST,grass,好,1600,047,06,富裕君子,8,1,13,70.47,71.67,0.07,23.4,-0.45,95.07,-0.38,13 14 14 6,瀧澤飛駒,桃花多,武林至尊,何澤堯,黃智弘 (-5),5,123,129
2025-12-10,HV,grass,好,1650,245,01,富裕君子,8,1,7,76.33,77.09,1.04,23.64,-0.61,100.73,0.43,8 9 10 1,富裕君子,至旺財,勁爽,莫雷拉,黃智弘 (-5),5,123,129
2025-12-27,ST,dirt,好,1800,296,09,富裕君子,8,1,4,86.39,86.91,1.71,24.3,0.05,111.21,1.76,5 4 4 4 9,領創動力,香港精神,美麗歡聲,布文,黃智弘 (-5),5,130,129
2026-01-28,HV,grass,好/快,1650,386,05,富裕君子,8,1,7,75.39,76.03,-0.02,23.88,-0.37,99.91,-0.39,9 9 9 5,同得威,極速之子,電訊驕陽,霍宏聲,黃智弘 (-5),5,129,129
