日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-06-15,ST,grass,軟,1200,754,09,智開心,14,6,11,46.59,47.63,0.73,24.4,1.95,72.03,2.68,10 10 9,輝煌精英,精彩勇士,神馳,艾道拿,巫顯東 (-2),4,127,116
2024-11-17,ST,grass,好,1200,182,07,智開心,14,6,1,45.77,46.49,-0.41,23.51,1.06,70.0,0.65,3 4 7,辣得金,自己話事,勤德俱備,賀銘年,巫顯東 (-2),4,129,116
2024-12-15,ST,grass,好,1400,264,11,智開心,14,6,8,59.25,59.61,1.01,23.55,0.15,83.16,1.16,3 3 5 11,帥帥友福,星運少爵,極速贏,田泰安,巫顯東 (-2),4,123,116
2024-12-26,HV,grass,好,1000,288,07,智開心,14,6,5,33.77,34.37,-1.53,23.6,2.3,57.97,0.77,7 7 7,皇帝英明,超強六十,勁者,賀銘年,巫顯東 (-2),4,122,116
2025-01-15,HV,grass,好,1200,353,12,智開心,14,6,10,46.26,47.34,0.14,24.37,1.67,71.71,1.81,11 12 12,競馬一心,怡昌精神,三代同心,賀銘年,巫顯東 (-2),4,120,116
2025-02-05,HV,grass,好,1200,399,09,智開心,14,6,12,46.0,47.24,0.04,23.66,0.96,70.9,1.0,12 12 9,千杯敬典,超強六十,競馬一心,董明朗,巫顯東 (-2),4,118,116
2025-02-12,ST,dirt,濕慢,1200,418,09,智開心,14,6,2,46.32,47.56,0.56,24.84,2.49,72.4,3.05,7 9 9,隼閣,謙謙君子,鑽飾翱翔,艾兆禮,巫顯東 (-2),5,135,116
2025-03-09,ST,grass,好/快,1400,485,10,智開心,14,6,4,58.9,59.34,0.39,24.03,0.68,83.37,1.07,3 5 6 10,帝豪歡星,進優自在,加州代表,湯普新,巫顯東 (-2),5,133,116
2025-04-09,HV,grass,好/快,1650,572,12,智開心,14,6,10,75.48,76.76,0.71,24.59,0.34,101.35,1.05,11 11 11 12,朗日雪峰,傳承者,威威父子,希威森,巫顯東 (-2),5,130,116
2025-09-17,HV,grass,好,1000,029,08,智開心,14,6,8,34.13,35.05,-0.9,22.65,1.25,57.7,0.35,7 8 8,銀刺勇士,友得盈,天火同心,梁家俊,巫顯東 (-2),5,125,116
2025-10-12,ST,grass,好,1200,085,10,智開心,14,6,7,45.27,46.39,-0.76,24.4,2.0,70.79,1.24,7 8 10,劍無名,快馬加鞭,魅力星,梁家俊,巫顯東 (-2),5,123,116
2025-10-22,HV,grass,好,1200,115,08,智開心,14,6,9,45.92,47.24,-0.11,23.6,0.85,70.84,0.74,12 12 8,精英至尊,時間寶,焦點,楊明綸,巫顯東 (-2),5,121,116
2025-12-20,ST,grass,好,1400,273,12,智開心,14,6,13,58.87,60.03,1.08,23.88,0.53,83.91,1.61,11 13 13 12,綫路萬里,飛躍凱旋,劍無情,巫顯東,巫顯東 (-2),5,117,116
